index,query,summary,label,rationale
19,What are Bank of Baroda's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Based on the provided knowledge graph, here is the summary:

1. **Starting and Ending Entities:** The starting entity is **Bank of Baroda**, and the ending entity is **ICRA** (the credit rating agency).
2. **Business/Financial Summary:** Bank of Baroda is evaluated and rated by the credit rating agency ICRA for its various financial instruments. Specifically, ICRA assigned an AAA rating to the bank's ₹10,000 crore green infrastructure bond programme and reaffirmed an AA+ Stable rating for its AT-1 bonds. 
3. **Numerical Facts:** The relationships involve a ₹10,000 crore green infrastructure bond programme rated AAA, alongside AT-1 bonds rated AA+ Stable by ICRA.",Not relevant,Does not mention ROA or ROE; discusses bond ratings instead.
20,What was Bank of Baroda's total advances (loan book) and deposit growth in the latest quarter?,"1. **Starting and Ending Entities:** The starting entity is **Bank of Baroda**, and the ending entities are its financial performance metrics and credit ratings evaluated by **ICRA**.

2. **Business/Financial Summary:** Bank of Baroda is a public sector universal bank that experienced a 72% year-on-year drop in Q1 FY27 net profit to ₹1,278 crore due to a one-off legal settlement. Despite this profit dip, the bank grew its global advances by 17.4% and maintained strong asset quality with a gross NPA ratio of 1.99%. 

3. **Numerical Facts:** Key metrics for Q1 FY27 include global deposits reaching ₹16,33,559 crore (up 13.8%), a net interest income of ₹12,524 crore (up 9.5%), a standalone capital adequacy ratio of 16.30%, and a CET1 ratio of 13.90%. Additionally, ICRA rated the bank's ₹10,000 crore green infrastructure bond programme as AAA and reaffirmed its AT-1 bonds at AA+ Stable.",Relevant,Provides both advances growth (17.4%) and deposit growth (13.8%) as asked.
21,"What credit ratings has Bank of Baroda received, and from which rating agencies?","Based on the knowledge graph path, the starting entity is **Bank of Baroda** and the ending entities are **ICRA-rated bond issuances**. Specifically, ICRA reaffirmed an **AA+ Stable rating** on Bank of Baroda's AT-1 bonds and assigned an **AAA rating** to its **₹10,000 crore** green infrastructure bond programme.",Relevant,Names ICRA and the specific ratings given to Bank of Baroda's bonds.
22,"Roughly how many branches and ATMs does Bank of Baroda operate, and as of what date?",,Not relevant,No summary/answer was produced by the pipeline — there is no assistant output to address the user's request.
23,"What products and services does Bank of Baroda offer, and which customer segments does it serve?","Based on the provided knowledge graph path, the starting entity is **Bank of Baroda** and the ending entities are its various organizational and market attributes. Headquartered in Vadodara, Gujarat, Bank of Baroda is a Government of India-owned public sector bank operating in 24 countries within the banking sector. It is publicly listed on the NSE and BSE under the ticker BANKBARODA.",Not relevant,"Covers headquarters, ownership and listing but not products/services or customer segments."
24,What is Punjab National Bank's ticker symbol and on which exchange(s) does it trade?,"This knowledge graph path connects **Ashok Chandra** (and other key figures, stakeholders, and attributes) to **Punjab National Bank**. Punjab National Bank is an operational universal bank headquartered in New Delhi and Dwarka, with leadership that includes MD & CEO Ashok Chandra and non-executive chairman K G Ananthakrishnan. Financially, the bank is majority-owned by the Government of India with a 70.08% stake, while foreign institutional investors (FIIs), NRIs, and OCBs collectively hold 6.59%, and mutual funds hold 6.53% (alongside additional stakes held by LIC).",Not relevant,Does not give PNB's ticker or exchange; discusses leadership and ownership instead.
25,"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Punjab National Bank?","1. **Starting and Ending Entities:** The starting entity is Punjab National Bank, which connects to various organizational attributes and descriptors such as its classification as a Public Sector Bank and its country, India.

2. **Business/Financial Summary:** Punjab National Bank is a Government of India-owned universal bank headquartered in New Delhi, operating within the banking industry and sector. It is publicly listed on both the NSE and BSE exchanges under the ticker symbol ""PNB"".",Not relevant,Gives ticker/listing details instead of naming the current MD & CEO/Chairman.
26,"What percentage of Punjab National Bank is held by its government promoter or largest shareholder, and as of what date?","**Starting Entity:** Ashok Chandra / K G Ananthakrishnan (Leadership) and Punjab National Bank  
**Ending Entity:** Punjab National Bank's Ownership and Headquarters  

**Summary:**  
Punjab National Bank is an operational universal bank headquartered in New Delhi and Dwarka, led by MD & CEO Ashok Chandra and non-executive chairman K G Ananthakrishnan. The bank's ownership is heavily backed by the Government of India with a controlling 70.08% stake. Additionally, institutional and other investors hold significant portions, including a combined 6.59% stake shared by FIIs, NRIs, and OCBs, as well as a 6.53% stake held by mutual funds and an unspecified holding by LIC.",Somewhat relevant,States the 70.08% government stake but no date.
27,What was Punjab National Bank's CASA ratio in the most recently reported quarter?,"Based on the provided knowledge graph path, the starting entity is **Punjab National Bank**, and the ending entity is an **operational universal bank**. In simple business terms, Punjab National Bank operates as a universal bank providing comprehensive financial services. No specific numerical facts were included in the provided path data.",Not relevant,Explicitly states no CASA ratio figure is available in the summary.
28,What is Punjab National Bank's net interest margin (NIM) for the latest reported period?,"Based on the knowledge graph path, the starting entity is **Ashok Chandra** (linked through his executive role) and the ending entity is **Punjab National Bank**. 

Ashok Chandra serves as the MD & CEO of Punjab National Bank, which is headquartered in both Dwarka and New Delhi and operates as a universal bank. The bank is majority-owned by the Government of India with a 70.08% stake, while Foreign Institutional Investors (FIIs), Non-Resident Indians (NRIs), and Overseas Corporate Bodies (OCBs) share a 6.59% ownership stake, and mutual funds hold 6.53%. Additionally, the bank is led by K G Ananthakrishnan as non-executive chairman and also has ownership holdings from LIC.",Not relevant,Does not mention NIM; covers leadership and ownership structure instead.
29,What are Punjab National Bank's gross NPA and net NPA ratios?,"This knowledge graph path connects **Ashok Chandra** (the MD & CEO) to **Punjab National Bank**, detailing the bank's leadership, operational status, headquarters, and ownership structure. The Government of India is the majority owner with a **70.08%** stake, while Foreign Institutional Investors (FIIs), Non-Resident Indians (NRIs), and Overseas Corporate Bodies (OCBs) collectively hold **6.59%**, and mutual funds hold **6.53%**.",Not relevant,Does not give gross or net NPA figures.
30,"What is Punjab National Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","**Summary:**

1. **Entities:** The starting entity is **Ashok Chandra** (along with other institutional relationships), and the ending entity is **Punjab National Bank (PNB)**. 
2. **Business Explanation:** Ashok Chandra serves as the MD & CEO of PNB, which is an operational universal bank headquartered in New Delhi and Dwarka. 
3. **Numerical Facts:** The bank is majority-owned by the Government of India with a **70.08%** stake, while Foreign Institutional Investors (FIIs), Non-Resident Indians (NRIs), and Overseas Corporate Bodies (OCBs) share a **6.59%** holding, and mutual funds hold **6.53%**.",Not relevant,Does not mention CRAR or CET1 at all.
31,What are Punjab National Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"**Starting Entity:** Ashok Chandra  
**Ending Entity:** Punjab National Bank  

Ashok Chandra serves as the MD & CEO of Punjab National Bank, an operational universal bank headquartered in New Delhi and Dwarka. The bank's leadership also includes K G Ananthakrishnan as non-executive chairman. Its ownership is heavily backed by the Government of India with a 70.08% stake, alongside institutional and foreign investments such as FIIs, NRIs, and OCBs holding a combined 6.59%, and mutual funds holding 6.53%.",Not relevant,Does not mention ROA or ROE.
32,What was Punjab National Bank's total advances (loan book) and deposit growth in the latest quarter?,"The knowledge graph path connects the starting entity, **Punjab National Bank (PNB)**, to various leadership, institutional stakeholders, and corporate details. PNB is a universal bank headquartered in New Delhi and Dwarka, led by Non-Executive Chairman K G Ananthakrishnan and MD & CEO Ashok Chandra. Major financial stakeholders include the Government of India with a dominant 70.08% ownership stake, alongside foreign institutional investors (FIIs), Non-Resident Indians (NRIs), and Overseas Corporate Bodies (OCBs) sharing a combined 6.59% stake, and mutual funds holding 6.53%.",Not relevant,Does not give advances or deposit growth figures.
33,"What credit ratings has Punjab National Bank received, and from which rating agencies?","Based on the knowledge graph path, the starting entity is **Punjab National Bank**, and the ending entities include its classification as a **Public Sector Bank** operating in the **banking industry**. 

Punjab National Bank is a Government of India-owned universal bank headquartered in New Delhi, operating within the banking sector in India. It is a publicly listed institution on the NSE and BSE under the ticker symbol ""PNB"".",Not relevant,Does not name any credit rating agency or rating for PNB.
34,"Roughly how many branches and ATMs does Punjab National Bank operate, and as of what date?",,Not relevant,No summary/answer was produced by the pipeline — there is no assistant output to address the user's request.
35,"What products and services does Punjab National Bank offer, and which customer segments does it serve?","**Summary:**

The starting entity is Punjab National Bank, which is connected to several descriptive attributes ending with its stock exchange listings on the NSE and BSE. Headquartered in New Delhi, India, it operates as a Government of India-owned universal public sector bank within the banking industry. The institution is publicly listed under the ticker symbol ""PNB"".",Not relevant,"Does not describe products/services or customer segments, only listing/ownership facts."
36,What is Canara Bank's ticker symbol and on which exchange(s) does it trade?,"Based on the provided knowledge graph, the starting entity is **Canara Bank** and the ending entities are its various operational, financial, and risk attributes (such as its **Q1 FY27 financial metrics** and **market exposures**). 

Canara Bank is a major universal bank headquartered in Bengaluru, Karnataka, operating a robust network of 9,861 branches and 7,907 ATMs as of June 2025. Financially, the bank reported a solid return on equity of 18.31% and a return on assets of 1.04% for Q1 FY27, alongside a strong asset quality highlighted by a gross NPA of 1.57% and a provision coverage of 94.76%. While it demonstrates strong advances growth of 17.97%, it faces specific operational challenges, including funding risk tied to a lower CASA ratio of 29.70% and credit risks linked to agricultural seasonality in South India.",Not relevant,Does not give Canara Bank's ticker or exchange; covers unrelated operational/financial metrics.
37,"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Canara Bank?","Based on the provided knowledge graph data, the starting entity is **Canara Bank** and the ending entities include its various descriptive attributes, such as being a **Public Sector Bank** located in **India**. Canara Bank is a Government of India-owned universal bank headquartered in Bengaluru, Karnataka, operating within the banking sector. It is a publicly listed entity trading on the NSE and BSE under the ticker symbol **CANBK**.",Not relevant,Gives ticker and listing info instead of naming the CEO/Chairman.
38,"What percentage of Canara Bank is held by its government promoter or largest shareholder, and as of what date?","**1. Starting and Ending Entity:** 
The starting and ending entity in this knowledge graph is **Canara Bank** (acting as the central subject across a union of operational, financial, and risk-related attributes).

**2. Financial Summary:**
Canara Bank is a major universal bank headquartered in Bengaluru, Karnataka, backed by a 62.93% Government of India ownership stake and led by MD & CEO Brajesh Kumar Singh. Operationally, the bank runs a robust network consisting of 9,861 branches, 7,907 ATMs, and 2,940 cash-recycling machines as of June 2025, while maintaining diverse international operations and cross-selling insurance and asset-management products through joint ventures. Financially, it reported a solid Q1 FY27 performance with a 17.17% capital adequacy ratio, a 1.04% return on assets, an 18.31% return on equity, and a low gross NPA of 1.57%. However, the bank faces funding risks due to a lower CASA base of 29.70% and credit risks tied to the seasonality of its agricultural book.",Somewhat relevant,States the 62.93% government stake but no date for it.
39,What was Canara Bank's CASA ratio in the most recently reported quarter?,"Based on the provided knowledge graph path, the starting entity is **Canara Bank** and the ending entity is its **agricultural credit expansion**. In simple financial terms, Canara Bank's future business growth is primarily driven by the continued expansion of its agricultural lending portfolio. This summary relies solely on the provided relationship without introducing external facts or figures.",Not relevant,"Answers about agricultural credit expansion, not the CASA ratio."
40,What is Canara Bank's net interest margin (NIM) for the latest reported period?,"**Starting Entity:** Canara Bank  
**Ending Entity:** Various financial and operational attributes (such as Q1 FY27 CET1 of 12.91%, gross NPA of 1.57%, and a 62.93% Government of India ownership stake as of March 2026).

**Summary:**  
Canara Bank operates a vast network spanning 9,861 branches and 7,907 ATMs as of June 2025, backed by a universal banking license and majority ownership (62.93%) by the Government of India. Financially, the bank reported a robust profile for Q1 FY27, including a capital adequacy ratio of 17.17%, a CET1 ratio of 12.91%, a gross NPA of 1.57%, and a strong return on equity of 18.31%. However, the knowledge graph also highlights specific vulnerabilities, such as potential funding risks tied to a lower CASA ratio of 29.70% and economic exposure to monsoon-linked agricultural seasonality.",Not relevant,"Does not mention NIM; covers CET1, NPA and ownership instead."
41,What are Canara Bank's gross NPA and net NPA ratios?,"Based on the provided knowledge graph data, the starting entity is **Canara Bank** and the ending entities are its various operational metrics, risks, and characteristics. 

Canara Bank is a major financial institution headquartered in Bengaluru, Karnataka, with majority ownership of 62.93% held by the Government of India as of March 2026. Operationally, the bank maintains an extensive network comprising 9,861 branches and 7,907 ATMs as of June 2025, while holding a strong market presence in retail, agricultural, and MSME sectors. Financially, it reported a robust return on equity of 18.31%, a return on assets of 1.04%, and a capital adequacy ratio of 17.17% for Q1 FY27, alongside solid asset quality reflected by a gross NPA of 1.57% and a net NPA of 0.36%.",Relevant,Gives both gross NPA (1.57%) and net NPA (0.36%) as asked.
42,"What is Canara Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","1. **Starting and Ending Entities:** The starting entity is **Canara Bank**, and the ending entities are its various financial metrics, operational networks, and risk factors as of Q1 FY27.

2. **Simple Business/Financial Explanation:** Canara Bank is a major universal bank headquartered in Karnataka, India, operating a vast network of 9,861 branches and 7,907 ATMs as of June 2025. The bank maintains strong profitability with a return on equity of 18.31% and a return on assets of 1.04%, alongside solid asset quality highlighted by a gross NPA of 1.57% and a provision coverage ratio of 94.76%. 

3. **Important Numerical Facts:** As of Q1 FY27, Canara Bank reported a capital adequacy ratio of 17.17%, a CET1 ratio of 12.91%, a CASA ratio of 29.70%, and a cost-to-income ratio of 49.03%. Additionally, the Government of India holds a 62.93% ownership stake in the bank as of March 2026.",Relevant,Gives both CRAR (17.17%) and CET1 (12.91%) as asked.
43,What are Canara Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"1. **Starting and Ending Entities:** The starting entity is **Canara Bank**, and the ending entities include its various financial metrics, risk factors, and operational attributes (such as its Q1 FY27 CASA ratio of 29.70% and net NPA of 0.36%).

2. **Simple Business/Financial Explanation:** Canara Bank is a major universal bank headquartered in Karnataka, India, operating a large domestic network of 9,861 branches and 7,907 ATMs as of June 2025 alongside international operations. The bank demonstrates solid financial health and profitability, posting a return on equity (ROE) of 18.31% and a return on assets (ROA) of 1.04% for Q1 FY27, alongside strong asset quality represented by a gross NPA of 1.57% and a provision coverage ratio of 94.76%. 

3. **Important Numerical Facts:** 
   - Canara Bank operates **9,861 branches** and **7,907 ATMs** as of June 2025.
   - For Q1 FY27, the bank reported a **CASA ratio of 29.70%**, a **CET1 ratio of 12.91%**, and an overall **capital adequacy of 17.17%**.
   - Asset quality metrics include a **gross NPA of 1.57%**, a **net NPA of 0.36%**, and a **provision coverage of 94.76%**.
   - Profitability indicators for Q1 FY27 include a **return on equity (ROE) of 18.31%** and a **return on assets (ROA) of 1.04%**, while the **Government of India holds a 62.93% ownership stake** as of March 2026.",Relevant,Gives both ROE (18.31%) and ROA (1.04%) as asked.
44,What was Canara Bank's total advances (loan book) and deposit growth in the latest quarter?,"1. **Starting and Ending Entities:** The starting entity is **Canara Bank**, and the ending entities include its various financial metrics, operational networks, and strategic risk factors as of Q1 FY27.

2. **Simple Business/Financial Language:** The knowledge graph details Canara Bank's comprehensive operational and financial profile, highlighting its strong retail, agricultural, and MSME franchises alongside robust profitability metrics. It also outlines key operational assets—such as managing 9,861 branches and 7,907 ATMs as of June 2025—while noting specific vulnerabilities like funding risks tied to a lower CASA base and agricultural credit exposures.

3. **Important Numerical Facts:** Canara Bank reported a CASA ratio of 29.70%, a CET1 ratio of 12.91%, and a total capital adequacy of 17.17% for Q1 FY27. Additionally, the bank achieved a strong return on equity (ROE) of 18.31%, a return on assets (ROA) of 1.04%, a gross NPA of 1.57%, and a net NPA of 0.36% with a high provision coverage of 94.76%.",Not relevant,Does not give an explicit advances or deposit growth figure.
