query,gold_label,predicted_template,template_confidence,template_id,template_match,entities,resolved_entities,masked_query,cypher_parameters,cypher_strategy,kg_row_count,kg_hop_path,summary,error
How does government intervention affect Shipping & Logistics?,T_RegulatoryImpact,T_RegulatoryImpact,0.9562411308288574,regulatory_impact,True,"[""Shipping & Logistics""]","[{""entity"": ""Shipping & Logistics"", ""matched_node_name"": ""Shipping & Logistics"", ""matched_id"": ""S_SHIPPING"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How does government intervention affect <SECTOR>?,"{""entity_id"": ""S_SHIPPING""}",single_entity,4,"Template: regulatory_impact (T_RegulatoryImpact)
Query intent: Policy, subsidy, or regulatory constraints on a company.

Row 1: company_name=Great Eastern Shipping | policy_name=Marine war-risk premium | policy_type=MACRO_VAR | sector_name=Shipping & Logistics
Row 2: company_name=Adani Ports & SEZ | policy_name=Strait of Hormuz disruption | policy_type=EVENT | sector_name=Shipping & Logistics
Row 3: company_name=Container Corp of India | policy_name=Tanker freight rates | policy_type=MACRO_VAR | sector_name=Shipping & Logistics
Row 4: company_name=Transport Corp of India | policy_name=Brent crude price | policy_type=MACRO_VAR | sector_name=Shipping & Logistics",,
Who are the upside names if crude price rally persists?,T_Beneficiary,T_Beneficiary,0.9653079509735107,companies_benefiting_from_shock,True,"[""crude price rally""]","[{""entity"": ""crude price rally"", ""matched_node_name"": ""Brent crude price"", ""matched_id"": ""M_BRENT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",Who are the upside names if <MACRO_VAR> persists?,"{""entity_id"": ""M_BRENT""}",single_entity,6,"Template: companies_benefiting_from_shock (T_Beneficiary)
Query intent: Companies with positive exposure (BENEFITS_FROM) to a shock or macro variable.

Row 1: id=C_ONGC | name=Oil & Natural Gas Corp | node_type=COMPANY | shock_name=Brent crude price
Row 2: id=C_OIL | name=Oil India | node_type=COMPANY | shock_name=Brent crude price
Row 3: id=C_IGL | name=Indraprastha Gas | node_type=COMPANY | shock_name=Brent crude price
Row 4: id=C_BALRAMPUR | name=Balrampur Chini | node_type=COMPANY | shock_name=Brent crude price
Row 5: id=C_TATAMOTORS | name=Tata Motors | node_type=COMPANY | shock_name=Brent crude price
Row 6: id=C_OLECTRA | name=Olectra Greentech | node_type=COMPANY | shock_name=Brent crude price",,
List Indian winners from Gulf producers disruption.,T_Beneficiary,T_Beneficiary,0.7217250466346741,companies_benefiting_from_shock,True,"[""India"", ""Gulf producers""]","[{""entity"": ""India"", ""matched_node_name"": ""India"", ""matched_id"": ""G_INDIA"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Gulf producers"", ""matched_node_name"": ""Gulf producers"", ""matched_id"": ""G_GCC"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",List <GEOGRAPHY>n winners from <GEOGRAPHY> disruption.,"{""source_id"": ""G_INDIA""}",,0,,,
Which policy levers matter for Federal Bank in Metals & Mining?,T_RegulatoryImpact,T_RegulatoryImpact,0.9625969529151917,regulatory_impact,True,"[""Federal Bank"", ""Metals & Mining""]","[{""entity"": ""Federal Bank"", ""matched_node_name"": ""Federal Bank"", ""matched_id"": ""C_FEDERALBNK"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Metals & Mining"", ""matched_node_name"": ""Metals & Mining"", ""matched_id"": ""S_METALS"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Which policy levers matter for <COMPANY> in <SECTOR>?,"{""source_id"": ""C_FEDERALBNK""}",,0,,,
What infrastructure constraints affect Shriram Finance?,T_ConstraintRisk,T_ConstraintRisk,0.9772123694419861,constraint_risk_for_entity,True,"[""Shriram Finance""]","[{""entity"": ""Shriram Finance"", ""matched_node_name"": ""Shriram Finance"", ""matched_id"": ""C_SHRIRAMFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What infrastructure constraints affect <COMPANY>?,"{""entity_id"": ""C_SHRIRAMFIN""}",single_entity,1,"Template: constraint_risk_for_entity (T_ConstraintRisk)
Query intent: Physical or supply bottlenecks constraining an entity or sector.

Row 1: entity_name=Shriram Finance | relationship=HURT_BY | constraint_name=Brent crude price | constraint_type=MACRO_VAR",,
Which peer has greater tanker freight rates exposure: Shriram Finance or GAIL?,T_CompareExposure,T_CompareExposure,0.9752562642097473,compare_entity_exposure,True,"[""tanker freight rates"", ""Shriram Finance"", ""GAIL""]","[{""entity"": ""tanker freight rates"", ""matched_node_name"": ""Tanker freight rates"", ""matched_id"": ""M_FREIGHT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Shriram Finance"", ""matched_node_name"": ""Shriram Finance"", ""matched_id"": ""C_SHRIRAMFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""GAIL"", ""matched_node_name"": ""GAIL (India)"", ""matched_id"": ""C_GAIL"", ""matched_type"": ""COMPANY"", ""similarity"": 0.7724345922470093, ""source"": ""semantic""}]",Which peer has greater <MACRO_VAR> exposure: <COMPANY> or <COMPANY>?,"{""source_id"": ""C_SHRIRAMFIN"", ""target_id"": ""C_GAIL"", ""shock_id"": ""M_FREIGHT""}",primary,1,"Template: compare_entity_exposure (T_CompareExposure)
Query intent: Compare hop distance / exposure paths of two companies to the same shock.

Row 1: company_a=Shriram Finance | company_b=GAIL (India) | shock_name=Tanker freight rates | hops_a=3 | hops_b=2 | path_a=['Shriram Finance', 'Brent crude price', 'Strait of Hormuz disruption', 'Tanker freight rates'] | path_b=['GAIL (India)', 'Strait of Hormuz disruption', 'Tanker freight rates']",,
Who funds Asian Paints expansion?,T_InvestmentFlow,T_InvestmentFlow,0.9767082333564758,investment_into_entity,True,"[""Asian Paints""]","[{""entity"": ""Asian Paints"", ""matched_node_name"": ""Asian Paints"", ""matched_id"": ""C_ASIANPAINT"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Who funds <COMPANY> expansion?,"{""entity_id"": ""C_ASIANPAINT""}",,0,,,
What commodities drive Bharat Petroleum cost base?,T_PriceLinkage,T_PriceLinkage,0.9538360238075256,price_linkage,True,"[""Bharat Petroleum""]","[{""entity"": ""Bharat Petroleum"", ""matched_node_name"": ""Bharat Petroleum"", ""matched_id"": ""C_BPCL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What commodities drive <COMPANY> cost base?,"{""entity_id"": ""C_BPCL""}",single_entity,1,"Template: price_linkage (T_PriceLinkage)
Query intent: Price co-movement between a company/product and a macro or raw material.

Row 1: entity_name=Bharat Petroleum | entity_type=COMPANY | relationship=HURT_BY | linked_name=Saudi LPG contract price | linked_type=MACRO_VAR",,
How do LPG subsidy rules impact Cholamandalam Investment?,T_RegulatoryImpact,T_RegulatoryImpact,0.8627099990844727,regulatory_impact,True,"[""LPG"", ""Cholamandalam Investment"", ""LPG subsidy""]","[{""entity"": ""LPG"", ""matched_node_name"": ""LPG"", ""matched_id"": ""RM_LPG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Cholamandalam Investment"", ""matched_node_name"": ""Cholamandalam Investment"", ""matched_id"": ""C_CHOLAFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LPG subsidy"", ""matched_node_name"": ""Fertiliser and LPG subsidy bill"", ""matched_id"": ""M_SUBSIDY"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",How do <MACRO_VAR> rules impact <COMPANY>?,"{""source_id"": ""C_CHOLAFIN""}",company_hurt_by_policy,1,"Template: regulatory_impact (T_RegulatoryImpact)
Query intent: Policy, subsidy, or regulatory constraints on a company.

Row 1: company_name=Cholamandalam Investment | policy_name=Brent crude price | policy_type=MACRO_VAR | relationship=HURT_BY",,
What derivative hedges does Bajaj Finance run on fertiliser subsidy bill?,T_Hedging,T_Hedging,0.9677957892417908,company_hedging_exposure,True,"[""Bajaj Finance"", ""fertiliser subsidy bill""]","[{""entity"": ""Bajaj Finance"", ""matched_node_name"": ""Bajaj Finance"", ""matched_id"": ""C_BAJFINANCE"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""fertiliser subsidy bill"", ""matched_node_name"": ""Fertiliser and LPG subsidy bill"", ""matched_id"": ""M_SUBSIDY"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",What derivative hedges does <COMPANY> run on <MACRO_VAR>?,"{""source_id"": ""C_BAJFINANCE""}",company_hurt_by,1,"Template: company_hedging_exposure (T_Hedging)
Query intent: Natural or financial hedges used by a company.

Row 1: company_name=Bajaj Finance | risk_name=RBI policy rate | risk_type=MACRO_VAR",,
Downside scenario for Oil & Gas from tanker freight surge.,T_EventScenario,T_EventScenario,0.9502455592155457,event_scenario_impact,True,"[""Oil & Gas"", ""tanker freight surge""]","[{""entity"": ""Oil & Gas"", ""matched_node_name"": ""Oil & Gas"", ""matched_id"": ""S_OILGAS"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""tanker freight surge"", ""matched_node_name"": ""Tanker freight rates"", ""matched_id"": ""M_FREIGHT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",Downside scenario for <SECTOR> from <MACRO_VAR>.,"{""source_id"": ""M_FREIGHT""}",,0,,,
How does spot LNG price flow into Refining valuations?,T_MacroTransmission,T_PriceLinkage,0.5811523199081421,price_linkage,False,"[""LNG"", ""spot LNG price"", ""Refining""]","[{""entity"": ""LNG"", ""matched_node_name"": ""LNG"", ""matched_id"": ""RM_LNG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""spot LNG price"", ""matched_node_name"": ""Spot LNG / JKM"", ""matched_id"": ""M_LNG_SPOT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""Refining"", ""matched_node_name"": ""Gross refining margin"", ""matched_id"": ""M_GRM"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.6042213439941406, ""source"": ""semantic""}]",How does <MACRO_VAR> flow into <MACRO_VAR> valuations?,"{""source_id"": ""RM_LNG""}",,0,,,
Does Oil India hold stakes in other listed entities?,T_OwnershipStructure,T_OwnershipStructure,0.9710034728050232,ownership_structure,True,"[""Oil India""]","[{""entity"": ""Oil India"", ""matched_node_name"": ""Oil India"", ""matched_id"": ""C_OIL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Does <COMPANY> hold stakes in other listed entities?,"{""entity_id"": ""C_OIL""}",sector_peers,1,"Template: ownership_structure (T_OwnershipStructure)
Query intent: Corporate ownership, subsidiaries, and JV structure.

Row 1: sector_name=Oil & Gas | child_name=Oil India",,
Downside scenario for Metals & Mining from LNG curtailment.,T_EventScenario,T_EventScenario,0.9610808491706848,event_scenario_impact,True,"[""Metals & Mining"", ""LNG"", ""LNG curtailment""]","[{""entity"": ""Metals & Mining"", ""matched_node_name"": ""Metals & Mining"", ""matched_id"": ""S_METALS"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LNG"", ""matched_node_name"": ""LNG"", ""matched_id"": ""RM_LNG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LNG curtailment"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Downside scenario for <SECTOR> from <EVENT>.,"{""source_id"": ""E_HORMUZ""}",primary,8,"Template: event_scenario_impact (T_EventScenario)
Query intent: Downstream macro and company impact from an event scenario.

Row 1: event_name=Strait of Hormuz disruption | relationship=HURT_BY | impacted_name=India AI infrastructure capex cycle | impacted_type=EVENT
Row 2: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Brent crude price | impacted_type=MACRO_VAR
Row 3: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Global urea/DAP/sulphur price | impacted_type=MACRO_VAR
Row 4: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Gross refining margin | impacted_type=MACRO_VAR
Row 5: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Marine war-risk premium | impacted_type=MACRO_VAR
Row 6: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Saudi LPG contract price | impacted_type=MACRO_VAR
Row 7: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Spot LNG / JKM | impacted_type=MACRO_VAR
Row 8: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Tanker freight rates | impacted_type=MACRO_VAR",,
How does a shock at Russia propagate to Larsen & Toubro?,T_CausalChain,T_CausalChain,0.9622607231140137,causal_chain_path,True,"[""Russia"", ""Larsen & Toubro""]","[{""entity"": ""Russia"", ""matched_node_name"": ""Russia"", ""matched_id"": ""G_RUSSIA"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Larsen & Toubro"", ""matched_node_name"": ""Larsen & Toubro"", ""matched_id"": ""C_LT"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How does a shock at <GEOGRAPHY> propagate to <COMPANY>?,"{""source_id"": ""G_RUSSIA"", ""target_id"": ""C_LT""}",,0,,,
What capacity bottlenecks slow Chambal Fertilisers rollout?,T_ConstraintRisk,T_ConstraintRisk,0.9776960015296936,constraint_risk_for_entity,True,"[""Chambal Fertilisers""]","[{""entity"": ""Chambal Fertilisers"", ""matched_node_name"": ""Chambal Fertilisers"", ""matched_id"": ""C_CHAMBAL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What capacity bottlenecks slow <COMPANY> rollout?,"{""entity_id"": ""C_CHAMBAL""}",single_entity,1,"Template: constraint_risk_for_entity (T_ConstraintRisk)
Query intent: Physical or supply bottlenecks constraining an entity or sector.

Row 1: entity_name=Chambal Fertilisers | relationship=HURT_BY | constraint_name=Spot LNG / JKM | constraint_type=MACRO_VAR",,
Does Bharat Electronics hold stakes in other listed entities?,T_OwnershipStructure,T_OwnershipStructure,0.9710034728050232,ownership_structure,True,"[""Bharat Electronics""]","[{""entity"": ""Bharat Electronics"", ""matched_node_name"": ""Bharat Electronics"", ""matched_id"": ""C_BEL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Does <COMPANY> hold stakes in other listed entities?,"{""entity_id"": ""C_BEL""}",sector_peers,1,"Template: ownership_structure (T_OwnershipStructure)
Query intent: Corporate ownership, subsidiaries, and JV structure.

Row 1: sector_name=Defence | child_name=Bharat Electronics",,
What happens to Federal Bank when marine war-risk premium rises?,T_MacroTransmission,T_MacroTransmission,0.8583188056945801,macro_transmission_to_company,True,"[""Federal Bank"", ""marine war-risk premium""]","[{""entity"": ""Federal Bank"", ""matched_node_name"": ""Federal Bank"", ""matched_id"": ""C_FEDERALBNK"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""marine war-risk premium"", ""matched_node_name"": ""Marine war-risk premium"", ""matched_id"": ""M_WARRISK"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What happens to <COMPANY> when <MACRO_VAR> rises?,"{""source_id"": ""M_WARRISK"", ""target_id"": ""C_FEDERALBNK""}",primary,1,"Template: macro_transmission_to_company (T_MacroTransmission)
Query intent: How a macro variable transmits to a company through the graph.

Path 1: Marine war-risk premium -> Federal Bank (2 hops)
  Marine war-risk premium -[CAUSES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HEDGES]-> Federal Bank",,
What if Red Sea disruption lasts six months?,T_EventScenario,T_EventScenario,0.9651682376861572,event_scenario_impact,True,"[""Red Sea""]","[{""entity"": ""Red Sea"", ""matched_node_name"": ""Strait of Hormuz"", ""matched_id"": ""G_HORMUZ"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 0.99, ""source"": ""alias""}]",What if <GEOGRAPHY> disruption lasts six months?,"{""entity_id"": ""G_HORMUZ""}",,0,,,
