query,gold_label,predicted_template,template_confidence,template_id,template_match,entities,resolved_entities,masked_query,cypher_parameters,triplet_slots,cypher_strategy,kg_row_count,kg_hop_path,summary,error
What is the mechanism from crude price rally to bank stocks?,F_Simple,F_Simple,0.6313134871839052,simple_triplet,True,"[""crude price rally""]","[{""entity"": ""crude price rally"", ""matched_node_name"": ""Brent crude price"", ""matched_id"": ""M_BRENT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",What is the mechanism from <MACRO_VAR> to bank stocks?,"{""prop1"": ""PRICE_LINKED_TO"", ""nn1"": ""MACRO_VAR"", ""nnp1"": ""M_BRENT""}","{""nnp1"": ""M_BRENT"", ""nnp2"": null, ""nnp3"": null, ""prop1"": ""PRICE_LINKED_TO"", ""nn1"": ""MACRO_VAR"", ""nn2"": null, ""threshold"": null}",relaxed_direction,8,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=Naphtha | object_type=RAW_MATERIAL
Row 2: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=Carbon black feedstock | object_type=RAW_MATERIAL
Row 3: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=Base oil | object_type=RAW_MATERIAL
Row 4: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=Synthetic rubber | object_type=RAW_MATERIAL
Row 5: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=PVC resin | object_type=RAW_MATERIAL
Row 6: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=Petroleum coke | object_type=RAW_MATERIAL
Row 7: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=Liquid light paraffin | object_type=RAW_MATERIAL
Row 8: subject_name=Brent crude price | relationship=PRICE_LINKED_TO | object_name=Aviation turbine fuel | object_type=PRODUCT",,
Which sovereign funds invest in Indian Metals & Mining?,F_QuantMin,F_Simple,0.6562896702189344,simple_triplet,False,"[""India"", ""Metals & Mining""]","[{""entity"": ""India"", ""matched_node_name"": ""India"", ""matched_id"": ""G_INDIA"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Metals & Mining"", ""matched_node_name"": ""Metals & Mining"", ""matched_id"": ""S_METALS"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Which sovereign funds invest in <GEOGRAPHY>n <SECTOR>?,"{""prop1"": ""INVESTS_IN"", ""nn1"": ""GEOGRAPHY"", ""nnp1"": ""G_INDIA""}","{""nnp1"": ""G_INDIA"", ""nnp2"": ""S_METALS"", ""nnp3"": null, ""prop1"": ""INVESTS_IN"", ""nn1"": ""GEOGRAPHY"", ""nn2"": ""SECTOR"", ""threshold"": null}",,0,,,
Does geopolitical escalation hurt Indian Oil investors?,F_Simple,F_Simple,0.4986205240276671,simple_triplet,True,"[""Indian Oil"", ""geopolitical escalation""]","[{""entity"": ""Indian Oil"", ""matched_node_name"": ""Indian Oil"", ""matched_id"": ""C_IOC"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""geopolitical escalation"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Does <EVENT> hurt <COMPANY> investors?,"{""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_IOC""}","{""nnp1"": ""C_IOC"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nn2"": ""EVENT"", ""threshold"": null}",primary,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: subject_name=Indian Oil | relationship=HURT_BY | object_name=Saudi LPG contract price | object_type=MACRO_VAR",,
Can Adani Green Energy secure LNG if Cape of Good Hope closes?,F_Simple,F_Simple,0.45989473509317863,simple_triplet,True,"[""Adani Green Energy"", ""LNG"", ""Cape of Good Hope""]","[{""entity"": ""Adani Green Energy"", ""matched_node_name"": ""Adani Green Energy"", ""matched_id"": ""C_ADANIGREEN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LNG"", ""matched_node_name"": ""LNG"", ""matched_id"": ""RM_LNG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Cape of Good Hope"", ""matched_node_name"": ""Cape of Good Hope reroute"", ""matched_id"": ""G_CAPE"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 0.99, ""source"": ""alias""}]",Can <COMPANY> secure <RAW_MATERIAL> if <GEOGRAPHY> closes?,"{""prop1"": ""CAUSES"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_ADANIGREEN""}","{""nnp1"": ""C_ADANIGREEN"", ""nnp2"": ""RM_LNG"", ""nnp3"": null, ""prop1"": ""CAUSES"", ""nn1"": ""COMPANY"", ""nn2"": ""RAW_MATERIAL"", ""threshold"": null}",propagation_open,25,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Path 1: Adani Green Energy -> RBI policy rate (1 hops)
  Adani Green Energy -[HURT_BY]-> RBI policy rate
Path 2: Adani Green Energy -> India AI infrastructure capex cycle (1 hops)
  Adani Green Energy -[BENEFITS_FROM]-> India AI infrastructure capex cycle
Path 3: Adani Green Energy -> Power & Utilities (1 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
Path 4: Adani Green Energy -> InterGlobe Aviation (2 hops)
  Adani Green Energy -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> InterGlobe Aviation
Path 5: Adani Green Energy -> Reliance Industries (2 hops)
  Adani Green Energy -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Reliance Industries
Path 6: Adani Green Energy -> Adani Ports & SEZ (2 hops)
  Adani Green Energy -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Adani Ports & SEZ
Path 7: Adani Green Energy -> Servotech Renewable Power (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Servotech Renewable Power
Path 8: Adani Green Energy -> Indian Energy Exchange (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Indian Energy Exchange
Path 9: Adani Green Energy -> NHPC (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> NHPC
Path 10: Adani Green Energy -> Torrent Power (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Torrent Power
Path 11: Adani Green Energy -> Exide Industries (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Exide Industries
Path 12: Adani Green Energy -> Inox Wind (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Inox Wind
Path 13: Adani Green Energy -> Waaree Energies (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Waaree Energies
Path 14: Adani Green Energy -> Premier Energies (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Premier Energies
Path 15: Adani Green Energy -> Coal India (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Coal India
Path 16: Adani Green Energy -> Power Grid Corporation (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Power Grid Corporation
Path 17: Adani Green Energy -> NTPC (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> NTPC
Path 18: Adani Green Energy -> NTPC Green Energy (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> NTPC Green Energy
Path 19: Adani Green Energy -> Adani Enterprises (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Adani Enterprises
Path 20: Adani Green Energy -> Tata Power (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Tata Power
Path 21: Adani Green Energy -> Adani Power (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Adani Power
Path 22: Adani Green Energy -> JSW Energy (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> JSW Energy
Path 23: Adani Green Energy -> Suzlon Energy (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Suzlon Energy
Path 24: Adani Green Energy -> KPI Green Energy (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> KPI Green Energy
Path 25: Adani Green Energy -> Amara Raja Energy & Mobility (2 hops)
  Adani Green Energy -[CONTAINS]-> Power & Utilities
  Power & Utilities -[CONTAINS]-> Amara Raja Energy & Mobility",,
Which peer has greater India CPI exposure: State Bank of India or GAIL?,F_LogUnion,F_LogUnion,0.5382019831596545,logical_union,True,"[""India CPI"", ""State Bank of India"", ""India"", ""GAIL""]","[{""entity"": ""India CPI"", ""matched_node_name"": ""India CPI"", ""matched_id"": ""M_CPI"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""State Bank of India"", ""matched_node_name"": ""State Bank of India"", ""matched_id"": ""C_SBIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""India"", ""matched_node_name"": ""India"", ""matched_id"": ""G_INDIA"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""GAIL"", ""matched_node_name"": ""GAIL (India)"", ""matched_id"": ""C_GAIL"", ""matched_type"": ""COMPANY"", ""similarity"": 0.9724345922470092, ""source"": ""semantic""}]",Which peer has greater <MACRO_VAR> exposure: <COMPANY> or <COMPANY>?,"{""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_SBIN""}","{""nnp1"": ""C_SBIN"", ""nnp2"": ""M_CPI"", ""nnp3"": null, ""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",primary,1,"Template: logical_union (F_LogUnion)
Query intent: Union of two relationship patterns from the same subject.

Row 1: subject_name=State Bank of India | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT",,
What is the stock impact of LNG curtailment on Asian Paints?,F_Simple,F_Simple,0.7300009452705651,simple_triplet,True,"[""LNG"", ""Asian Paints"", ""LNG curtailment""]","[{""entity"": ""LNG"", ""matched_node_name"": ""LNG"", ""matched_id"": ""RM_LNG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Asian Paints"", ""matched_node_name"": ""Asian Paints"", ""matched_id"": ""C_ASIANPAINT"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LNG curtailment"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",What is the stock impact of <EVENT> on <COMPANY>?,"{""prop1"": ""HURT_BY"", ""nn1"": ""RAW_MATERIAL"", ""nnp1"": ""RM_LNG""}","{""nnp1"": ""RM_LNG"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""HURT_BY"", ""nn1"": ""RAW_MATERIAL"", ""nn2"": ""EVENT"", ""threshold"": null}",,0,,,
How do freight rates transmit to Cholamandalam Investment costs?,F_Simple,F_Simple,0.5850255066015259,simple_triplet,True,"[""Cholamandalam Investment""]","[{""entity"": ""Cholamandalam Investment"", ""matched_node_name"": ""Cholamandalam Investment"", ""matched_id"": ""C_CHOLAFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How do freight rates transmit to <COMPANY> costs?,"{""prop1"": ""INVESTS_IN"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_CHOLAFIN""}","{""nnp1"": ""C_CHOLAFIN"", ""nnp2"": null, ""nnp3"": null, ""prop1"": ""INVESTS_IN"", ""nn1"": ""COMPANY"", ""nn2"": null, ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=Cholamandalam Investment | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR",,
Who invests in ICICI Lombard?,F_Simple,F_Simple,0.5053021506543238,simple_triplet,True,"[""ICICI Lombard""]","[{""entity"": ""ICICI Lombard"", ""matched_node_name"": ""ICICI Lombard"", ""matched_id"": ""C_ICICIGI"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Who invests in <COMPANY>?,"{""prop1"": ""INVESTS_IN"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_ICICIGI""}","{""nnp1"": ""C_ICICIGI"", ""nnp2"": null, ""nnp3"": null, ""prop1"": ""INVESTS_IN"", ""nn1"": ""COMPANY"", ""nn2"": null, ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=ICICI Lombard",,
What derivative hedges does GAIL run on Singapore GRM?,F_Simple,F_Simple,0.7089342374160461,simple_triplet,True,"[""Singapore GRM"", ""GAIL""]","[{""entity"": ""Singapore GRM"", ""matched_node_name"": ""Gross refining margin"", ""matched_id"": ""M_GRM"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""GAIL"", ""matched_node_name"": ""GAIL (India)"", ""matched_id"": ""C_GAIL"", ""matched_type"": ""COMPANY"", ""similarity"": 0.9724345922470092, ""source"": ""semantic""}]",What derivative hedges does <COMPANY> run on <MACRO_VAR>?,"{""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_GAIL""}","{""nnp1"": ""C_GAIL"", ""nnp2"": ""M_GRM"", ""nnp3"": null, ""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",primary,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: subject_name=GAIL (India) | relationship=HEDGES | object_name=Strait of Hormuz disruption | object_type=EVENT",,
Which physical constraints bind Power & Utilities growth?,F_Simple,F_Simple,0.6120292500000989,simple_triplet,True,"[""Power & Utilities""]","[{""entity"": ""Power & Utilities"", ""matched_node_name"": ""Power & Utilities"", ""matched_id"": ""S_POWER"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Which physical constraints bind <SECTOR> growth?,"{""prop1"": ""CONSTRAINED_BY"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_POWER""}","{""nnp1"": ""S_POWER"", ""nnp2"": null, ""nnp3"": null, ""prop1"": ""CONSTRAINED_BY"", ""nn1"": ""SECTOR"", ""nn2"": null, ""threshold"": null}",single_entity,21,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: sector_name=Power & Utilities | company_name=Coal India | relationship=BENEFITS_FROM | object_name=Spot LNG / JKM | object_type=MACRO_VAR
Row 2: sector_name=Power & Utilities | company_name=Coal India | relationship=BENEFITS_FROM | object_name=Power availability | object_type=CONSTRAINT
Row 3: sector_name=Power & Utilities | company_name=Adani Enterprises | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 4: sector_name=Power & Utilities | company_name=NTPC | relationship=BENEFITS_FROM | object_name=Spot LNG / JKM | object_type=MACRO_VAR
Row 5: sector_name=Power & Utilities | company_name=NTPC Green Energy
Row 6: sector_name=Power & Utilities | company_name=Power Grid Corporation | relationship=BENEFITS_FROM | object_name=Transmission evacuation capacity | object_type=CONSTRAINT
Row 7: sector_name=Power & Utilities | company_name=Tata Power | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 8: sector_name=Power & Utilities | company_name=Adani Power
Row 9: sector_name=Power & Utilities | company_name=Adani Green Energy | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 10: sector_name=Power & Utilities | company_name=JSW Energy
Row 11: sector_name=Power & Utilities | company_name=Torrent Power
Row 12: sector_name=Power & Utilities | company_name=NHPC | relationship=BENEFITS_FROM | object_name=Grid stability under volatile DC load ramps | object_type=CONSTRAINT
Row 13: sector_name=Power & Utilities | company_name=Indian Energy Exchange | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 14: sector_name=Power & Utilities | company_name=Suzlon Energy
Row 15: sector_name=Power & Utilities | company_name=Inox Wind
Row 16: sector_name=Power & Utilities | company_name=KPI Green Energy
Row 17: sector_name=Power & Utilities | company_name=Waaree Energies | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 18: sector_name=Power & Utilities | company_name=Premier Energies
Row 19: sector_name=Power & Utilities | company_name=Exide Industries
Row 20: sector_name=Power & Utilities | company_name=Amara Raja Energy & Mobility
Row 21: sector_name=Power & Utilities | company_name=Servotech Renewable Power",,
Downside scenario for Insurance from geopolitical escalation.,F_Simple,F_Simple,0.6164708375581647,simple_triplet,True,"[""Insurance"", ""geopolitical escalation""]","[{""entity"": ""Insurance"", ""matched_node_name"": ""Banks & NBFCs"", ""matched_id"": ""S_BFSI"", ""matched_type"": ""SECTOR"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""geopolitical escalation"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Downside scenario for <SECTOR> from <EVENT>.,"{""prop1"": ""OWNS"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_BFSI""}","{""nnp1"": ""S_BFSI"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""OWNS"", ""nn1"": ""SECTOR"", ""nn2"": ""EVENT"", ""threshold"": null}",single_entity,18,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: sector_name=Banks & NBFCs | company_name=Bajaj Finance | relationship=HURT_BY | object_name=RBI policy rate | object_type=MACRO_VAR
Row 2: sector_name=Banks & NBFCs | company_name=Cholamandalam Investment | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 3: sector_name=Banks & NBFCs | company_name=Shriram Finance | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 4: sector_name=Banks & NBFCs | company_name=Muthoot Finance | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 5: sector_name=Banks & NBFCs | company_name=Manappuram Finance | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 6: sector_name=Banks & NBFCs | company_name=HDFC Bank
Row 7: sector_name=Banks & NBFCs | company_name=State Bank of India | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 8: sector_name=Banks & NBFCs | company_name=AU Small Finance Bank
Row 9: sector_name=Banks & NBFCs | company_name=Federal Bank | relationship=BENEFITS_FROM | object_name=USD/INR | object_type=MACRO_VAR
Row 10: sector_name=Banks & NBFCs | company_name=South Indian Bank | relationship=BENEFITS_FROM | object_name=USD/INR | object_type=MACRO_VAR
Row 11: sector_name=Banks & NBFCs | company_name=CSB Bank | relationship=HURT_BY | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 12: sector_name=Banks & NBFCs | company_name=Dhanlaxmi Bank
Row 13: sector_name=Banks & NBFCs | company_name=GIC Re
Row 14: sector_name=Banks & NBFCs | company_name=New India Assurance | relationship=BENEFITS_FROM | object_name=Marine war-risk premium | object_type=MACRO_VAR
Row 15: sector_name=Banks & NBFCs | company_name=ICICI Lombard
Row 16: sector_name=Banks & NBFCs | company_name=Power Finance Corporation | relationship=BENEFITS_FROM | object_name=Power availability | object_type=CONSTRAINT
Row 17: sector_name=Banks & NBFCs | company_name=REC Ltd | relationship=BENEFITS_FROM | object_name=Power availability | object_type=CONSTRAINT
Row 18: sector_name=Banks & NBFCs | company_name=IREDA | relationship=BENEFITS_FROM | object_name=Grid stability under volatile DC load ramps | object_type=CONSTRAINT",,
Is GAIL vulnerable to geopolitical escalation?,F_Simple,F_Simple,0.42517524590736383,simple_triplet,True,"[""geopolitical escalation"", ""GAIL""]","[{""entity"": ""geopolitical escalation"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""GAIL"", ""matched_node_name"": ""GAIL (India)"", ""matched_id"": ""C_GAIL"", ""matched_type"": ""COMPANY"", ""similarity"": 0.9724345922470092, ""source"": ""semantic""}]",Is <COMPANY> vulnerable to <EVENT>?,"{""prop1"": ""CAUSES"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_GAIL""}","{""nnp1"": ""C_GAIL"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""CAUSES"", ""nn1"": ""COMPANY"", ""nn2"": ""EVENT"", ""threshold"": null}",propagation_open,25,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Path 1: GAIL (India) -> Oil & Gas (1 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
Path 2: GAIL (India) -> Strait of Hormuz disruption (1 hops)
  GAIL (India) -[HEDGES]-> Strait of Hormuz disruption
Path 3: GAIL (India) -> Tanker freight rates (2 hops)
  GAIL (India) -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Tanker freight rates
Path 4: GAIL (India) -> Castrol India (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Castrol India
Path 5: GAIL (India) -> Spot LNG / JKM (2 hops)
  GAIL (India) -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Spot LNG / JKM
Path 6: GAIL (India) -> Gross refining margin (2 hops)
  GAIL (India) -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Gross refining margin
Path 7: GAIL (India) -> Oil India (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Oil India
Path 8: GAIL (India) -> Gujarat State Petronet (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Gujarat State Petronet
Path 9: GAIL (India) -> Adani Total Gas (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Adani Total Gas
Path 10: GAIL (India) -> Selan Exploration (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Selan Exploration
Path 11: GAIL (India) -> Mangalore Refinery (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Mangalore Refinery
Path 12: GAIL (India) -> Brent crude price (2 hops)
  GAIL (India) -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Brent crude price
Path 13: GAIL (India) -> Saudi LPG contract price (2 hops)
  GAIL (India) -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Saudi LPG contract price
Path 14: GAIL (India) -> Reliance Industries (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Reliance Industries
Path 15: GAIL (India) -> Petronet LNG (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Petronet LNG
Path 16: GAIL (India) -> Indraprastha Gas (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Indraprastha Gas
Path 17: GAIL (India) -> Oil & Natural Gas Corp (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Oil & Natural Gas Corp
Path 18: GAIL (India) -> Mahanagar Gas (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Mahanagar Gas
Path 19: GAIL (India) -> Indian Oil (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Indian Oil
Path 20: GAIL (India) -> Gujarat Gas (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Gujarat Gas
Path 21: GAIL (India) -> Bharat Petroleum (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Bharat Petroleum
Path 22: GAIL (India) -> Hindustan Petroleum (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Hindustan Petroleum
Path 23: GAIL (India) -> Gulf Oil Lubricants (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Gulf Oil Lubricants
Path 24: GAIL (India) -> Chennai Petroleum (2 hops)
  GAIL (India) -[CONTAINS]-> Oil & Gas
  Oil & Gas -[CONTAINS]-> Chennai Petroleum
Path 25: GAIL (India) -> Marine war-risk premium (2 hops)
  GAIL (India) -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Marine war-risk premium",,
