query,is_gap,method,company_uuid,prop1_list,graph_match_count,kg_row_count,summary,judge_label
What is Bank of Baroda's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,2254cee1-6db0-4b96-9471-a6a45a3f6b64,[],0,5,The retrieved facts do not cover Bank of Baroda's ticker symbol or the specific exchange(s) on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Bank of Baroda?",False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['GovernanceRole', 'HOLDS_ROLE']",1,1,The current MD & CEO of Bank of Baroda is Debadatta Chand.,Relevant
"What percentage of Bank of Baroda is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",1,1,The retrieved facts do not cover the specific percentage of Bank of Baroda held by its government promoter or the date of that holding.,Not relevant
What was Bank of Baroda's CASA ratio in the most recently reported quarter?,False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['HAS_METRIC', 'MetricObservation']",15,15,"Bank of Baroda recorded a CASA ratio of 37.72% in Q1 FY27, which was down from 38.88% a year earlier. This represents the CASA ratio for the most recently reported quarter provided in the data.",Relevant
What is Bank of Baroda's net interest margin (NIM) for the latest reported period?,False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['HAS_METRIC', 'MetricObservation']",15,15,Bank of Baroda posted a net interest margin of 2.77% globally and 2.93% domestically in Q1 FY27.,Relevant
What are Bank of Baroda's gross NPA and net NPA ratios?,False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['HAS_METRIC', 'MetricObservation']",15,15,"Bank of Baroda reported a gross NPA of 1.99% in Q1 FY27. Additionally, the bank's net NPA stood at 0.50% for the same period.",Relevant
"What is Bank of Baroda's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['HAS_METRIC', 'MetricObservation']",15,15,"Bank of Baroda posted a standalone capital adequacy ratio of 16.30% in Q1 FY27. Additionally, the bank reported a standalone CET1 ratio of 13.90% and a consolidated CET1 ratio of 14.36% for the same period.",Relevant
What are Bank of Baroda's return on assets (ROA) and return on equity (ROE) for the latest quarter?,False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['HAS_METRIC', 'MetricObservation']",15,15,"For the latest quarter of Q1 FY27, Bank of Baroda recorded a reported return on assets of 0.25%. Additionally, the bank posted a reported return on equity of 3.89% for the same period.",Relevant
What was Bank of Baroda's total advances (loan book) and deposit growth in the latest quarter?,False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['HAS_METRIC', 'MetricObservation']",15,15,"The retrieved facts do not cover Bank of Baroda's total deposit growth rate in the latest quarter, though they do note that global advances grew by 17.4% year-on-year in Q1 FY27.",Somewhat relevant
"What credit ratings has Bank of Baroda received, and from which rating agencies?",False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,['HAS_RATING'],2,2,"Bank of Baroda received an AAA rating for its green infrastructure bond programme, though the rating agency was not specified in the provided data. Additionally, its AT-1 bonds hold an ICRA AA+ Stable rating from the rating agency ICRA.",Somewhat relevant
"Roughly how many branches and ATMs does Bank of Baroda operate, and as of what date?",False,summary_fallback,2254cee1-6db0-4b96-9471-a6a45a3f6b64,[],0,1,"Bank of Baroda operates more than 8,400 branches and over 10,000 ATMs. However, the retrieved facts do not specify the exact date for these figures.",Somewhat relevant
"What products and services does Bank of Baroda offer, and which customer segments does it serve?",False,graph_check,2254cee1-6db0-4b96-9471-a6a45a3f6b64,"['OFFERS_PRODUCT', 'SERVES']",6,6,"Bank of Baroda offers credit cards to its customers and caters to a diverse range of customer segments including retail, MSME, NRI, large-corporate, and government customers.",Somewhat relevant
What is Punjab National Bank's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,28601797-b0b6-4793-bc26-2752ed63056b,[],0,1,The retrieved facts do not cover Punjab National Bank's ticker symbol or the stock exchange(s) on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Punjab National Bank?",False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['GovernanceRole', 'HOLDS_ROLE']",2,2,"Ashok Chandra serves as the MD & CEO of Punjab National Bank, while K G Ananthakrishnan leads the institution as its non-executive chairman.",Relevant
"What percentage of Punjab National Bank is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",4,4,"The Government of India held 70.08% of Punjab National Bank as of March 31, 2026.",Relevant
What was Punjab National Bank's CASA ratio in the most recently reported quarter?,False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['HAS_METRIC', 'MetricObservation']",13,13,"Punjab National Bank reported a CASA ratio of 36.7% in Q1 FY27, as of June 30, 2026. This reflects the bank's deposit profile for the most recently reported quarter in the provided data.",Relevant
What is Punjab National Bank's net interest margin (NIM) for the latest reported period?,False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['HAS_METRIC', 'MetricObservation']",13,13,"For the latest reported period of Q1 FY27, Punjab National Bank recorded a net interest margin of 2.50% globally and 2.64% domestically.",Relevant
What are Punjab National Bank's gross NPA and net NPA ratios?,False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['HAS_METRIC', 'MetricObservation']",13,13,"Punjab National Bank's gross NPA ratio stood at 2.78% as of June 30, 2026, while its net NPA ratio was 0.28% in Q1 FY27.",Relevant
"What is Punjab National Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['HAS_METRIC', 'MetricObservation']",13,13,"Punjab National Bank's capital adequacy ratio (CRAR) stood at 18.13% in Q1 FY27, while its CET1 capital improved to 14.52%.",Relevant
What are Punjab National Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['HAS_METRIC', 'MetricObservation']",13,13,"For Q1 FY27, Punjab National Bank reported a return on assets of 1.04% and an annualized return on equity of 17.33%.",Relevant
What was Punjab National Bank's total advances (loan book) and deposit growth in the latest quarter?,False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['HAS_METRIC', 'MetricObservation']",13,13,The retrieved facts do not cover Punjab National Bank's total advances (loan book) and deposit growth in the latest quarter.,Not relevant
"What credit ratings has Punjab National Bank received, and from which rating agencies?",False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,['HAS_RATING'],2,2,"Punjab National Bank has received credit ratings from Fitch Ratings, which include an upgraded Viability Rating of bb and a Long-Term Issuer Default Rating of BBB- with a Stable outlook as of February 1, 2026.",Relevant
"Roughly how many branches and ATMs does Punjab National Bank operate, and as of what date?",False,summary_fallback,28601797-b0b6-4793-bc26-2752ed63056b,[],0,1,"Punjab National Bank operates 10,324 branches and 11,065 ATMs as of March 2026. Additionally, the bank maintains an international presence through various representative offices.",Relevant
"What products and services does Punjab National Bank offer, and which customer segments does it serve?",False,graph_check,28601797-b0b6-4793-bc26-2752ed63056b,"['OFFERS_PRODUCT', 'SERVES']",4,4,"Punjab National Bank offers the standard deposit and loan suite, gold coins and bullion, and distributes life and non-life insurance as well as asset-management products. The provided facts do not cover the customer segments that the bank serves.",Somewhat relevant
What is Canara Bank's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,a436d155-4c3f-46b9-ba63-736f6abcd1cf,[],0,5,The retrieved facts do not cover Canara Bank's ticker symbol or the stock exchange(s) on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Canara Bank?",False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['GovernanceRole', 'HOLDS_ROLE']",1,1,The current MD & CEO of Canara Bank is Brajesh Kumar Singh.,Somewhat relevant
"What percentage of Canara Bank is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",1,1,"The Government of India held a 62.93% ownership stake in Canara Bank as of March 2026. This reflects the promoter's holding in the bank as of March 31, 2026.",Relevant
What was Canara Bank's CASA ratio in the most recently reported quarter?,False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['HAS_METRIC', 'MetricObservation']",13,13,"Canara Bank reported a CASA ratio of 29.70% in Q1 FY27, as of June 30, 2026. This represents the bank's standing for the most recently reported quarter in the provided data.",Relevant
What is Canara Bank's net interest margin (NIM) for the latest reported period?,False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['HAS_METRIC', 'MetricObservation']",13,13,"The retrieved facts do not cover Canara Bank's net interest margin (NIM) for the latest reported period. Therefore, this specific figure cannot be provided from the available data.",Not relevant
What are Canara Bank's gross NPA and net NPA ratios?,False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['HAS_METRIC', 'MetricObservation']",13,13,"Canara Bank reported a gross NPA of 1.57% and a net NPA of 0.36% in Q1 FY27 (as of June 30, 2026).",Relevant
"What is Canara Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['HAS_METRIC', 'MetricObservation']",13,13,"Canara Bank reported a capital adequacy ratio (CRAR) of 17.17% in Q1 FY27 as of June 30, 2026. Additionally, the bank disclosed a CET1 ratio of 12.91% for the same period.",Relevant
What are Canara Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['HAS_METRIC', 'MetricObservation']",13,13,"Canara Bank reported a return on assets (ROA) of 1.04% and a return on equity (ROE) of 18.31% for the latest quarter, Q1 FY27, as of June 30, 2026.",Relevant
What was Canara Bank's total advances (loan book) and deposit growth in the latest quarter?,False,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['HAS_METRIC', 'MetricObservation']",13,13,"In the latest quarter of Q1 FY27, Canara Bank's advances grew by 17.97% year-on-year, while its deposits recorded a year-on-year growth of 11.63%.",Relevant
"What credit ratings has Canara Bank received, and from which rating agencies?",True,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,['HAS_RATING'],0,5,The retrieved facts do not cover the credit ratings Canara Bank has received or the rating agencies that issued them.,Not relevant
"Roughly how many branches and ATMs does Canara Bank operate, and as of what date?",False,summary_fallback,a436d155-4c3f-46b9-ba63-736f6abcd1cf,[],0,1,"As of June 2025, Canara Bank operates 9,861 branches and 7,907 ATMs.",Relevant
"What products and services does Canara Bank offer, and which customer segments does it serve?",True,graph_check,a436d155-4c3f-46b9-ba63-736f6abcd1cf,"['OFFERS_PRODUCT', 'SERVES']",0,5,"Canara Bank is a Government of India-owned universal bank that operates as a public sector bank in India, offering a strong retail, agricultural, and MSME franchise. The retrieved facts do not specifically detail the full range of individual products and services offered beyond its universal banking and franchise focus.",Somewhat relevant
What is Union Bank of India's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,775db758-b4be-46f3-9c39-937b6fb14466,[],0,5,The retrieved facts do not cover Union Bank of India's ticker symbol or the exchange(s) on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Union Bank of India?",False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['GovernanceRole', 'HOLDS_ROLE']",2,2,"The current MD & CEO of Union Bank of India is Asheesh Pandey, who was appointed to the role in 2026. He succeeds A. Manimekhalai, who has completed her tenure.",Relevant
"What percentage of Union Bank of India is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",7,7,The Government of India owns roughly 74.76% of Union Bank of India. The retrieved facts do not cover the specific date as of which this holding is measured.,Somewhat relevant
What was Union Bank of India's CASA ratio in the most recently reported quarter?,False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['HAS_METRIC', 'MetricObservation']",14,14,"The retrieved facts do not provide Union Bank of India's CASA ratio for the most recently reported quarter, though they do note that average CASA balances exceed ₹24,000 crore.",Not relevant
What is Union Bank of India's net interest margin (NIM) for the latest reported period?,False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['HAS_METRIC', 'MetricObservation']",14,14,Union Bank of India stated a net interest margin of 2.80% in its earnings-call transcript.,Relevant
What are Union Bank of India's gross NPA and net NPA ratios?,False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['HAS_METRIC', 'MetricObservation']",14,14,Union Bank of India reported an improved gross NPA ratio of 2.65% and a net NPA of 0.47%.,Relevant
"What is Union Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['HAS_METRIC', 'MetricObservation']",14,14,"Union Bank of India reported a capital adequacy ratio (CRAR) of 18.46%. Additionally, a February 2026 release disclosed its CET1 ratio at 15.7%.",Relevant
What are Union Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['HAS_METRIC', 'MetricObservation']",14,14,"Union Bank of India reported a return on assets of 1.36% for Q1 FY27, but the retrieved facts do not cover a specific figure for its return on equity.",Somewhat relevant
What was Union Bank of India's total advances (loan book) and deposit growth in the latest quarter?,False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['HAS_METRIC', 'MetricObservation']",14,14,Union Bank of India recorded a year-on-year advances growth of 12.50% and a deposit growth of 3.50%. The provided facts do not contain figures specifically detailing the bank's total advances (loan book) amount.,Somewhat relevant
"What credit ratings has Union Bank of India received, and from which rating agencies?",False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,['HAS_RATING'],3,3,"Union Bank of India has received credit ratings from Fitch, which include an upgraded Viability Rating of bb as of February 1, 2026, following a previous rating of bb-. Additionally, Fitch affirmed the bank's Long-Term Issuer Default Rating at BBB- Stable on the same date.",Relevant
"Roughly how many branches and ATMs does Union Bank of India operate, and as of what date?",True,summary_fallback,775db758-b4be-46f3-9c39-937b6fb14466,[],0,1,"Union Bank of India operates a network of approximately 8,621 to 8,697 branches and between 8,656 and 8,690 ATMs, though the specific date for these figures is not covered in the retrieved facts.",Somewhat relevant
"What products and services does Union Bank of India offer, and which customer segments does it serve?",False,graph_check,775db758-b4be-46f3-9c39-937b6fb14466,"['OFFERS_PRODUCT', 'SERVES']",4,4,"Union Bank of India offers products geared toward the corporate customer segment and provides a standard product suite to the MSME, retail, and agricultural customer segments.",Relevant
What is Bank of India's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,1072c755-5223-4800-b399-295cd32a902f,[],0,5,The retrieved facts do not cover Bank of India's ticker symbol or the stock exchange(s) on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Bank of India?",False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['GovernanceRole', 'HOLDS_ROLE']",1,1,"The current MD & CEO of Bank of India is Rajneesh Karnatak, whose term has been extended by three years.",Relevant
"What percentage of Bank of India is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",3,3,The Government of India owns a 73.38% stake in Bank of India. The retrieved facts do not provide the date as of which this percentage is held.,Somewhat relevant
What was Bank of India's CASA ratio in the most recently reported quarter?,False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['HAS_METRIC', 'MetricObservation']",12,12,"Bank of India's CASA ratio stood at 36.68% for the most recently reported quarter, Q1 FY27, as of June 30, 2026.",Relevant
What is Bank of India's net interest margin (NIM) for the latest reported period?,False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['HAS_METRIC', 'MetricObservation']",12,12,"Bank of India's global net interest margin was 2.52% for the latest reported period of Q1 FY27 (as of June 30, 2026). During this same period, the bank also reported a net interest income of ₹6,833 crore.",Relevant
What are Bank of India's gross NPA and net NPA ratios?,False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['HAS_METRIC', 'MetricObservation']",12,12,"During Q1 FY27, Bank of India's gross NPA improved to 1.81%, and its net NPA decreased to 0.51% as of June 30, 2026.",Relevant
"What is Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['HAS_METRIC', 'MetricObservation']",12,12,"Bank of India's capital adequacy ratio (CRAR) improved to 18.69% during Q1 FY27 as of June 30, 2026. However, the retrieved facts do not cover its CET1 ratio.",Somewhat relevant
What are Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['HAS_METRIC', 'MetricObservation']",12,12,"For Q1 FY27 (as of 2026-06-30), Bank of India reported a return on assets of 1.01%. However, the retrieved facts do not provide a specific figure for the return on equity for the latest quarter.",Somewhat relevant
What was Bank of India's total advances (loan book) and deposit growth in the latest quarter?,False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['HAS_METRIC', 'MetricObservation']",12,12,The retrieved facts do not cover Bank of India's total advances (loan book) or deposit growth for the latest quarter.,Not relevant
"What credit ratings has Bank of India received, and from which rating agencies?",True,graph_check,1072c755-5223-4800-b399-295cd32a902f,['HAS_RATING'],0,5,The retrieved facts do not cover the credit ratings or rating agencies associated with Bank of India.,Not relevant
"Roughly how many branches and ATMs does Bank of India operate, and as of what date?",True,summary_fallback,1072c755-5223-4800-b399-295cd32a902f,[],0,0,,Not relevant
"What products and services does Bank of India offer, and which customer segments does it serve?",False,graph_check,1072c755-5223-4800-b399-295cd32a902f,"['OFFERS_PRODUCT', 'SERVES']",4,4,"Bank of India offers a standard product range to its retail and MSME customers, while also providing services to corporate and agricultural customers. The retrieved facts do not cover specific products or services beyond this standard range.",Somewhat relevant
What is Indian Bank's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,daf48486-ea5e-45c2-bef1-7129588f4483,[],0,5,The provided facts do not cover Indian Bank's ticker symbol or the specific exchanges on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Indian Bank?",False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['GovernanceRole', 'HOLDS_ROLE']",1,1,"The current MD & CEO of Indian Bank is Binod Kumar, who has held the role since his appointment in January 2025.",Relevant
"What percentage of Indian Bank is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",1,1,"The Government of India holds a 73.84% stake in Indian Bank as of February 6, 2026.",Relevant
What was Indian Bank's CASA ratio in the most recently reported quarter?,False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['HAS_METRIC', 'MetricObservation']",7,7,"The retrieved facts do not disclose Indian Bank's CASA ratio for the most recently reported quarter. However, the bank reported other financial metrics for Q1 FY27, including a gross NPA of 1.86% and a net NPA of 0.15%.",Not relevant
What is Indian Bank's net interest margin (NIM) for the latest reported period?,False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['HAS_METRIC', 'MetricObservation']",7,7,The retrieved facts do not cover Indian Bank's net interest margin for the latest reported period.,Not relevant
What are Indian Bank's gross NPA and net NPA ratios?,False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['HAS_METRIC', 'MetricObservation']",7,7,Indian Bank reported a gross NPA of 1.86% and a net NPA of 0.15% for Q1 FY27.,Relevant
"What is Indian Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['HAS_METRIC', 'MetricObservation']",7,7,"Indian Bank recorded a capital adequacy ratio (CRAR) of 17.58% in Q1 FY27. Additionally, the bank's CET1 ratio stood at 16.51% for the same quarter.",Relevant
What are Indian Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['HAS_METRIC', 'MetricObservation']",7,7,The retrieved facts do not cover Indian Bank's return on assets (ROA) or return on equity (ROE) for the latest quarter.,Not relevant
What was Indian Bank's total advances (loan book) and deposit growth in the latest quarter?,False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['HAS_METRIC', 'MetricObservation']",7,7,The retrieved facts do not cover Indian Bank's total advances (loan book) and deposit growth in the latest quarter.,Not relevant
"What credit ratings has Indian Bank received, and from which rating agencies?",False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,['HAS_RATING'],3,3,"Indian Bank has received credit ratings from CRISIL, which placed the bank at AAA Stable for its Tier II Basel III and infrastructure bonds on February 6, 2026, and at AA+ Stable for its Additional Tier I bonds. Additionally, CRISIL rated the bank's certificate-of-deposit programme at A1+.",Relevant
"Roughly how many branches and ATMs does Indian Bank operate, and as of what date?",False,summary_fallback,daf48486-ea5e-45c2-bef1-7129588f4483,[],0,1,"The retrieved facts do not cover the number of branches operated by Indian Bank, nor do they specify the date for the ATM count. However, the facts do note that Indian Bank operates a network of 5,657 ATMs and cash-recycling machines.",Somewhat relevant
"What products and services does Indian Bank offer, and which customer segments does it serve?",False,graph_check,daf48486-ea5e-45c2-bef1-7129588f4483,"['OFFERS_PRODUCT', 'SERVES']",6,6,"Indian Bank serves retail customers, corporate customers, MSME customers, NRI customers, agricultural customers, and government or institutional customers. The retrieved facts do not cover the specific products and services offered by the bank.",Somewhat relevant
What is Central Bank of India's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,4d998ac2-533e-40a6-a217-b71dfe465f4c,[],0,5,The retrieved facts do not cover Central Bank of India's ticker symbol or the exchange(s) on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Central Bank of India?",False,graph_check,4d998ac2-533e-40a6-a217-b71dfe465f4c,"['GovernanceRole', 'HOLDS_ROLE']",2,2,"Kalyan Kumar took charge as the MD & CEO of Central Bank of India on October 1, 2025. Additionally, Tapan Ray serves as the non-executive chairman of the bank.",Relevant
"What percentage of Central Bank of India is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,4d998ac2-533e-40a6-a217-b71dfe465f4c,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",4,4,The Government of India held an 89.27% ownership stake in Central Bank of India as of 31 March 2025.,Relevant
What was Central Bank of India's CASA ratio in the most recently reported quarter?,False,graph_check,4d998ac2-533e-40a6-a217-b71dfe465f4c,"['HAS_METRIC', 'MetricObservation']",13,13,"Central Bank of India posted a CASA ratio of 46.61% in Q1 FY27, as of July 1, 2026. This figure reflects the bank's remarkably strong performance in the most recently reported quarter.",Relevant
What is Central Bank of India's net interest margin (NIM) for the latest reported period?,False,graph_check,4d998ac2-533e-40a6-a217-b71dfe465f4c,"['HAS_METRIC', 'MetricObservation']",13,13,"Central Bank of India reported a net interest margin of 3.06% for the latest reported period of Q1 FY27. This performance was accompanied by a net interest income of ₹3,914 crore, which rose 15.70% year-on-year.",Relevant
What are Central Bank of India's gross NPA and net NPA ratios?,False,graph_check,4d998ac2-533e-40a6-a217-b71dfe465f4c,"['HAS_METRIC', 'MetricObservation']",13,13,"Central Bank of India's gross NPA ratio stands at 2.60%, while its net NPA ratio is 0.49% for Q1 FY27.",Relevant
