text,label
Who benefits from higher marine war-risk premium?,T_Beneficiary
What protects InterGlobe Aviation margins from LPG spikes?,T_Hedging
"Between New India Assurance and ONGC, who faces more Hormuz disruption risk?",T_CompareExposure
List stocks that gain from Russia rerouting.,T_Beneficiary
What is the Shipping & Logistics peer set for Bharat Electronics?,T_SectorExposure
How do subsidy revisions change Solar Industries outlook?,T_RegulatoryImpact
What is transit exposure of PVC resin via Saudi Arabia?,T_TransitRisk
Compare insurers vs banks on Hormuz risk.,T_CompareExposure
Is Indian Oil regulated on sulphur pricing?,T_RegulatoryImpact
What is the mechanism from crude price rally to bank stocks?,T_CausalChain
Which sovereign funds invest in Indian Metals & Mining?,T_InvestmentFlow
Does geopolitical escalation hurt Indian Oil investors?,T_StockImpact
Can Adani Green Energy secure LNG if Cape of Good Hope closes?,T_SupplyDisruption
Which peer has greater India CPI exposure: State Bank of India or GAIL?,T_CompareExposure
What is the stock impact of LNG curtailment on Asian Paints?,T_StockImpact
How do freight rates transmit to Cholamandalam Investment costs?,T_MacroTransmission
Who invests in ICICI Lombard?,T_InvestmentFlow
What derivative hedges does GAIL run on Singapore GRM?,T_Hedging
Which physical constraints bind Power & Utilities growth?,T_ConstraintRisk
Downside scenario for Insurance from geopolitical escalation.,T_EventScenario
Is GAIL vulnerable to geopolitical escalation?,T_StockImpact
Map corporate structure of Voltamp Transformers.,T_OwnershipStructure
Who funds Muthoot Finance expansion?,T_InvestmentFlow
Break down Power & Utilities sensitivity to marine war-risk premium.,T_SectorExposure
What power availability risk hits Cochin Shipyard?,T_ConstraintRisk
How does gross refining margin feed into Paints & Adhesives earnings?,T_CausalChain
How do India CPI moves show up in Adani Green Energy P&L?,T_MacroTransmission
How does a shock at Oman propagate to Chambal Fertilisers?,T_CausalChain
What is the price linkage between aviation turbine fuel and Tata Power?,T_PriceLinkage
How does Red Sea affect ammonia and then Bharat Petroleum?,T_CausalChain
Which Power & Utilities stocks should I screen for Oman risk?,T_SectorExposure
What is the price linkage between urea and NTPC?,T_PriceLinkage
What supply chain risk does Qatar pose for ONGC?,T_SupplyDisruption
Which Aviation stocks are in the Hormuz theme?,T_SectorExposure
How does rerouting via Cape affect Federal Bank?,T_TransitRisk
Which Metals & Mining stocks should I screen for Red Sea risk?,T_SectorExposure
What if Russia closes completely?,T_EventScenario
Give me Paints & Adhesives players affected by oil shock.,T_SectorExposure
Walk through the causal links from crude oil to tanker freight rates.,T_CausalChain
Explain how India disruption hits Bharat Electronics equity.,T_StockImpact
How do bond yields moves show up in Bajaj Finance P&L?,T_MacroTransmission
Does Hormuz disruption hurt Bharat Petroleum investors?,T_StockImpact
What infrastructure constraints affect Infosys?,T_ConstraintRisk
What intermediate nodes connect Hormuz disruption and Federal Bank?,T_CausalChain
How is InterGlobe Aviation linked to tanker freight rates?,T_PriceLinkage
Compare Hindustan Petroleum and Indian Oil exposure to oil supply shock.,T_CompareExposure
What FII flows affect Larsen & Toubro?,T_InvestmentFlow
Which companies are in Paints & Adhesives?,T_SectorExposure
How does Hormuz disruption affect Oil India share price?,T_StockImpact
What supply bottlenecks hit Metals & Mining from tanker freight surge?,T_SupplyDisruption
What protects Hindustan Petroleum margins from LPG spikes?,T_Hedging
What share of imports passes Gulf producers?,T_TransitRisk
What happens if Brent hits $120 again?,T_EventScenario
What is the mechanism from tanker freight surge to bank stocks?,T_CausalChain
List subsidiaries under Hindustan Petroleum.,T_OwnershipStructure
What happens to Shriram Finance when marine war-risk premium rises?,T_MacroTransmission
Which supply bottlenecks hurt IT Services?,T_ConstraintRisk
Which routes are affected if Saudi Arabia closes?,T_TransitRisk
Which physical constraints bind Telecom & Connectivity growth?,T_ConstraintRisk
Which peer has greater Singapore GRM exposure: Adani Ports or GAIL?,T_CompareExposure
What supply chain risk does UAE pose for SpiceJet?,T_SupplyDisruption
What happens to Shriram Finance when Singapore GRM rises?,T_MacroTransmission
List subsidiaries under New India Assurance.,T_OwnershipStructure
Does Bharat Petroleum offset RBI policy rate risk via FX hedges?,T_Hedging
What derivative hedges does Netweb Technologies run on Brent crude price?,T_Hedging
Which NBFCs sit in the impact chain for Coal India?,T_SectorExposure
Which suppliers are disrupted by UAE tension?,T_SupplyDisruption
Does CAD widening hurt Coal India?,T_MacroTransmission
What if UAE disruption lasts six months?,T_EventScenario
Does a weaker rupee help or hurt ONGC?,T_MacroTransmission
What is the beta of Cochin Shipyard to marine war-risk premium?,T_PriceLinkage
Where is Blackstone deploying capital in India?,T_InvestmentFlow
How is Oil India linked to ONGC group?,T_OwnershipStructure
Map corporate structure of Shriram Finance.,T_OwnershipStructure
Does CAD widening hurt Coromandel International?,T_MacroTransmission
Which sovereign funds invest in Indian Oil & Gas?,T_InvestmentFlow
Does New India Assurance face feedstock shortage from Strait of Hormuz?,T_SupplyDisruption
What land or water constraints affect Federal Bank?,T_ConstraintRisk
Is Muthoot Finance realization tied to Brent?,T_PriceLinkage
Which NBFC is more sensitive to Brent crude price?,T_CompareExposure
What Banks & NBFCs names are linked to naphtha?,T_SectorExposure
Does Federal Bank hedge LNG price volatility?,T_Hedging
What happens to markets if marine war-risk premium doubles?,T_EventScenario
What infrastructure constraints affect Adani Ports?,T_ConstraintRisk
Does Power Grid Corporation face feedstock shortage from Russia?,T_SupplyDisruption
How does grid evacuation limit ONGC?,T_ConstraintRisk
How does LNG curtailment affect Adani Ports?,T_SupplyDisruption
Give me Metals & Mining players affected by oil shock.,T_SectorExposure
How does oil supply shock affect Tata Power share price?,T_StockImpact
Which supply bottlenecks hurt Shipping & Logistics?,T_ConstraintRisk
Which physical constraints bind IT Services growth?,T_ConstraintRisk
Which policy levers matter for Asian Paints in IT Services?,T_RegulatoryImpact
How does Strait of Hormuz closure lead to higher fertiliser subsidy bill?,T_CausalChain
Show all Capital Goods names with India CPI linkage.,T_SectorExposure
How do subsidy revisions change State Bank of India outlook?,T_RegulatoryImpact
Who benefits from higher RBI policy rate?,T_Beneficiary
How does naphtha price affect New India Assurance margins?,T_PriceLinkage
What is the Defence peer set for Tata Motors?,T_SectorExposure
Which physical constraints bind Fertilisers growth?,T_ConstraintRisk
How does grid evacuation limit Hindustan Petroleum?,T_ConstraintRisk
Compare InterGlobe Aviation and Indian Oil exposure to geopolitical escalation.,T_CompareExposure
How does Brent crude price flow into Telecom & Connectivity valuations?,T_MacroTransmission
"Between NTPC and ONGC, who faces more oil supply shock risk?",T_CompareExposure
What percentage of LNG flows through Strait of Hormuz?,T_TransitRisk
What intermediate nodes connect LPG import disruption and GAIL?,T_CausalChain
What commodities drive Muthoot Finance cost base?,T_PriceLinkage
Is Solar Industries pricing indexed to spot LNG price?,T_PriceLinkage
How does excise duty change hit SpiceJet?,T_RegulatoryImpact
Who is more hurt by Brent rally: Tata Power or Tata Motors?,T_CompareExposure
Explain how Red Sea disruption hits Reliance Industries equity.,T_StockImpact
What capacity bottlenecks slow ONGC rollout?,T_ConstraintRisk
What is the downside for ICICI Lombard from oil supply shock?,T_StockImpact
Who are the major backers of Indian Oil?,T_InvestmentFlow
How does government intervention affect Metals & Mining?,T_RegulatoryImpact
Does Adani Green Energy hedge PVC resin price volatility?,T_Hedging
Which global funds are buying into New India Assurance?,T_InvestmentFlow
Which regulations constrain Bajaj Finance margins?,T_RegulatoryImpact
What subsidiaries does NTPC have?,T_OwnershipStructure
Who are the upside names if geopolitical escalation persists?,T_Beneficiary
Which regulations constrain GIC Re margins?,T_RegulatoryImpact
How does New India Assurance manage India CPI sensitivity?,T_Hedging
Rank Federal Bank versus sector peers on India risk.,T_CompareExposure
Which refiners benefit from marine war-risk premium widening?,T_Beneficiary
Which Power & Utilities stocks are in the Hormuz theme?,T_SectorExposure
Why is CSB Bank moving on fertiliser subsidy bill news?,T_StockImpact
What capacity bottlenecks slow Federal Bank rollout?,T_ConstraintRisk
What policy tailwinds support Federal Bank?,T_RegulatoryImpact
Enumerate Defence companies tied to LPG import disruption.,T_SectorExposure
Who is the parent of Bharat Petroleum?,T_OwnershipStructure
Which Fertilisers stocks should I screen for Strait of Hormuz risk?,T_SectorExposure
Enumerate Insurance companies tied to LNG curtailment.,T_SectorExposure
"Between ONGC and ONGC, who faces more LNG curtailment risk?",T_CompareExposure
How does naphtha price impact Cholamandalam Investment?,T_PriceLinkage
Which group company controls GIC Re?,T_OwnershipStructure
What is the promoter shareholding in Chambal Fertilisers?,T_OwnershipStructure
How does Hindustan Unilever source base oil during disruption?,T_SupplyDisruption
"If Oman shuts, how much PVC resin supply is at risk?",T_TransitRisk
How closely does Voltamp Transformers follow base oil prices?,T_PriceLinkage
Which hedges reduce Hindustan Unilever oil exposure?,T_Hedging
Which companies are in Capital Goods?,T_SectorExposure
List Insurance constituents exposed to LNG curtailment.,T_SectorExposure
Which physical constraints bind Metals & Mining growth?,T_ConstraintRisk
What is RBI rate impact on Great Eastern Shipping?,T_MacroTransmission
What land or water constraints affect New India Assurance?,T_ConstraintRisk
What is the promoter shareholding in Mangalore Refinery?,T_OwnershipStructure
Does ADIA have exposure to Indian Capital Goods?,T_InvestmentFlow
What is Hormuz transit risk for Indian crude oil?,T_TransitRisk
Explain how Red Sea disruption hits SpiceJet equity.,T_StockImpact
What is the downside for Chambal Fertilisers from LNG curtailment?,T_StockImpact
Should investors worry about Hindustan Petroleum after oil supply shock?,T_StockImpact
What capacity bottlenecks slow Adani Ports rollout?,T_ConstraintRisk
Where is Temasek deploying capital in India?,T_InvestmentFlow
Link Cochin Shipyard earnings to Brent crude price.,T_PriceLinkage
Trace the path from UAE to Great Eastern Shipping via Singapore GRM.,T_CausalChain
Rank Bharat Petroleum versus sector peers on Strait of Hormuz risk.,T_CompareExposure
How does INR depreciation impact Indian Oil?,T_MacroTransmission
Stress test Great Eastern Shipping for prolonged tanker freight surge.,T_EventScenario
How does Gulf producers disruption cause changes in Singapore GRM?,T_CausalChain
Why is Coal India moving on INR depreciation news?,T_StockImpact
Does Tata Motors hold stakes in other listed entities?,T_OwnershipStructure
Why is SpiceJet moving on Brent crude price news?,T_StockImpact
Downside scenario for Insurance from Strait of Hormuz closure.,T_EventScenario
Which policy levers matter for ONGC in Insurance?,T_RegulatoryImpact
Who invests in Bajaj Finance?,T_InvestmentFlow
What percentage of LNG flows through Qatar?,T_TransitRisk
How does government intervention affect Fertilisers?,T_RegulatoryImpact
Downside scenario for Oil & Gas from LNG curtailment.,T_EventScenario
What derivative hedges does Petronet LNG run on fertiliser subsidy bill?,T_Hedging
Which companies benefit from oil supply shock?,T_Beneficiary
How is Power Grid Corporation affected by fuel subsidy policy?,T_RegulatoryImpact
Show transmission from sulphur shock to Infosys.,T_CausalChain
Which global funds are buying into Great Eastern Shipping?,T_InvestmentFlow
What subsidiaries does Larsen & Toubro have?,T_OwnershipStructure
What is the Telecom & Connectivity peer set for Cochin Shipyard?,T_SectorExposure
Who benefits from higher Brent crude price?,T_Beneficiary
What links Red Sea closure to Aviation stocks?,T_CausalChain
What JVs does Coromandel International operate?,T_OwnershipStructure
Model escalation scenario for Red Sea.,T_EventScenario
Stress test Adani Ports for prolonged geopolitical escalation.,T_EventScenario
How does a shock at Cape of Good Hope propagate to Coal India?,T_CausalChain
Which NBFCs sit in the impact chain for New India Assurance?,T_SectorExposure
What procurement risk does LNG curtailment create for Asian Paints?,T_SupplyDisruption
Benchmark ICICI Lombard against peers on marine war-risk premium linkage.,T_CompareExposure
Who are the major backers of ICICI Lombard?,T_InvestmentFlow
Which bottlenecks limit IT Services expansion?,T_ConstraintRisk
"If UAE shuts, how much PVC resin supply is at risk?",T_TransitRisk
Which global funds are buying into Coromandel International?,T_InvestmentFlow
Run a bear case for Solar Industries under LNG curtailment.,T_EventScenario
How does Hormuz disruption affect Coal India share price?,T_StockImpact
How does gross refining margin flow into Telecom & Connectivity valuations?,T_MacroTransmission
Map corporate structure of Mangalore Refinery.,T_OwnershipStructure
Does Oil India pass through RBI policy rate changes?,T_PriceLinkage
Map Temasek investments in Indian markets.,T_InvestmentFlow
Does CAD widening hurt Mangalore Refinery?,T_MacroTransmission
Which NBFCs sit in the impact chain for GIC Re?,T_SectorExposure
What derivative hedges does Muthoot Finance run on spot LNG price?,T_Hedging
What earnings line moves first when RBI policy rate shifts?,T_MacroTransmission
Is State Bank of India realization tied to Brent?,T_PriceLinkage
How does CPI shock affect IT Services demand?,T_MacroTransmission
How is CSB Bank affected by fuel subsidy policy?,T_RegulatoryImpact
Which bottlenecks limit Shipping & Logistics expansion?,T_ConstraintRisk
Who profits from higher marine war-risk premium in Aviation?,T_Beneficiary
Who gains when gross refining margin rises?,T_Beneficiary
How does transmission capacity limit Power Grid Corporation?,T_ConstraintRisk
Explain hedging strategy of Indian Oil for bond yields.,T_Hedging
What intermediate nodes connect LPG import disruption and ONGC?,T_CausalChain
How does Chambal Fertilisers source crude oil during disruption?,T_SupplyDisruption
What government action caps Great Eastern Shipping pricing?,T_RegulatoryImpact
Who gains when fertiliser subsidy bill rises?,T_Beneficiary
What policy response affects SpiceJet after LNG curtailment?,T_RegulatoryImpact
How does INR depreciation impact Coromandel International?,T_MacroTransmission
How does Hormuz disruption affect Infosys share price?,T_StockImpact
What subsidiaries does New India Assurance have?,T_OwnershipStructure
How does excise duty change hit Adani Green Energy?,T_RegulatoryImpact
Is CSB Bank realization tied to Brent?,T_PriceLinkage
Which feedstocks are at risk from Hormuz disruption?,T_SupplyDisruption
Does Tata Motors hedge sulphur price volatility?,T_Hedging
What is transit exposure of sulphur via Oman?,T_TransitRisk
Which hedges reduce Adani Ports oil exposure?,T_Hedging
How does rerouting via Cape affect Coal India?,T_TransitRisk
Show transmission from crude oil shock to Federal Bank.,T_CausalChain
What is the price linkage between LNG and ONGC?,T_PriceLinkage
What PE capital is entering Indian Paints & Adhesives?,T_InvestmentFlow
Does tanker freight surge hurt Cholamandalam Investment investors?,T_StockImpact
Is Federal Bank regulated on urea pricing?,T_RegulatoryImpact
How much Indian carbon black transits through Cape of Good Hope?,T_TransitRisk
What policy response affects ONGC after LPG import disruption?,T_RegulatoryImpact
Explain how Cape of Good Hope disruption hits CSB Bank equity.,T_StockImpact
Compare Bajaj Finance and Indian Oil exposure to marine war-risk spike.,T_CompareExposure
"If Saudi Arabia shuts, how much base oil supply is at risk?",T_TransitRisk
Does Voltamp Transformers hold stakes in other listed entities?,T_OwnershipStructure
How do subsidy revisions change Federal Bank outlook?,T_RegulatoryImpact
Break down Insurance sensitivity to USD/INR.,T_SectorExposure
Who profits from higher tanker freight rates in Power & Utilities?,T_Beneficiary
Who profits from higher USD/INR in Paints & Adhesives?,T_Beneficiary
Which policy levers matter for GIC Re in Oil & Gas?,T_RegulatoryImpact
"Between Tata Motors and ONGC, who faces more marine war-risk spike risk?",T_CompareExposure
Which stocks rally when tanker freight rates increases?,T_Beneficiary
Track investment from Warburg Pincin into Indian tech infra.,T_InvestmentFlow
How does India chokepoint impact Indian energy imports?,T_TransitRisk
What power availability risk hits SpiceJet?,T_ConstraintRisk
What derivative hedges does InterGlobe Aviation run on current account deficit?,T_Hedging
Is Shriram Finance pricing indexed to USD/INR?,T_PriceLinkage
Can New India Assurance secure ammonia if Cape of Good Hope closes?,T_SupplyDisruption
Which group company controls Bajaj Finance?,T_OwnershipStructure
How does Red Sea chokepoint impact Indian energy imports?,T_TransitRisk
What commodities drive Netweb Technologies cost base?,T_PriceLinkage
What is the stock impact of marine war-risk spike on GAIL?,T_StockImpact
Map ADIA investments in Indian markets.,T_InvestmentFlow
How does bond yields flow into Power & Utilities valuations?,T_MacroTransmission
What supply bottlenecks hit Telecom & Connectivity from crude price rally?,T_SupplyDisruption
How does CPI shock affect Paints & Adhesives demand?,T_MacroTransmission
Is Hindustan Unilever realization tied to Brent?,T_PriceLinkage
What resource shortages cap Power & Utilities expansion?,T_ConstraintRisk
Why did Chambal Fertilisers fall after Saudi Arabia headlines?,T_StockImpact
Benchmark Tata Power against peers on marine war-risk premium linkage.,T_CompareExposure
Explain hedging strategy of Federal Bank for tanker freight rates.,T_Hedging
Which companies have positive exposure to tanker freight rates?,T_Beneficiary
Which refiners benefit from current account deficit widening?,T_Beneficiary
Which supply bottlenecks hurt Insurance?,T_ConstraintRisk
How does refinery outage disrupt LNG supply?,T_SupplyDisruption
Which hedges reduce Coromandel International oil exposure?,T_Hedging
How does base oil price affect Federal Bank margins?,T_PriceLinkage
Rank Infosys versus sector peers on Gulf producers risk.,T_CompareExposure
Which inputs become scarce after tanker freight surge?,T_SupplyDisruption
Which stocks rally when current account deficit increases?,T_Beneficiary
How does rerouting via Cape affect Shriram Finance?,T_TransitRisk
Stress test Adani Green Energy for prolonged Strait of Hormuz closure.,T_EventScenario
How is Bajaj Finance affected by fuel subsidy policy?,T_RegulatoryImpact
What commodities drive CSB Bank cost base?,T_PriceLinkage
How does bond yields flow into Insurance valuations?,T_MacroTransmission
What derivative hedges does Bharat Petroleum run on Singapore GRM?,T_Hedging
Is ICICI Lombard realization tied to Brent?,T_PriceLinkage
What PE capital is entering Indian Metals & Mining?,T_InvestmentFlow
Does GIC Re face feedstock shortage from UAE?,T_SupplyDisruption
What happens to markets if bond yields doubles?,T_EventScenario
How does transmission capacity limit NTPC?,T_ConstraintRisk
How does transmission capacity limit State Bank of India?,T_ConstraintRisk
Which stocks rally when spot LNG price increases?,T_Beneficiary
What if Saudi Arabia closes completely?,T_EventScenario
What happens to Larsen & Toubro when RBI policy rate rises?,T_MacroTransmission
Which companies have positive exposure to India CPI?,T_Beneficiary
What infrastructure constraints affect Mangalore Refinery?,T_ConstraintRisk
What intermediate nodes connect crude price rally and Bharat Petroleum?,T_CausalChain
Does Power Grid Corporation pass through marine war-risk premium changes?,T_PriceLinkage
Which companies have positive exposure to Singapore GRM?,T_Beneficiary
What capital flows into Metals & Mining from Temasek?,T_InvestmentFlow
Which is more exposed: CSB Bank or Reliance Industries?,T_CompareExposure
Show transmission from urea shock to Solar Industries.,T_CausalChain
Which companies are in Refining?,T_SectorExposure
How vulnerable is InterGlobe Aviation's PVC resin sourcing to UAE?,T_SupplyDisruption
Can ONGC secure aviation turbine fuel if Gulf producers closes?,T_SupplyDisruption
Which Fertilisers names are beneficiaries of spot LNG price?,T_Beneficiary
Give me IT Services players affected by oil shock.,T_SectorExposure
How correlated is Shriram Finance with fertiliser subsidy bill?,T_PriceLinkage
Show ownership map for Tata Motors.,T_OwnershipStructure
Map GIC investments in Indian markets.,T_InvestmentFlow
What procurement risk does crude price rally create for State Bank of India?,T_SupplyDisruption
How does LNG curtailment affect Asian Paints?,T_SupplyDisruption
Who invests in Bharat Petroleum?,T_InvestmentFlow
What macro channel links crude price rally to Coromandel International?,T_MacroTransmission
What risk mitigants does Coromandel International use for oil supply shock?,T_Hedging
Why are Tata Power shares under pressure from fertiliser subsidy bill?,T_StockImpact
What if Qatar disruption lasts six months?,T_EventScenario
Which Oil & Gas stocks are in the Hormuz theme?,T_SectorExposure
Which constraints gate Fertilisers capex?,T_ConstraintRisk
How is fertiliser subsidy linked to Netweb Technologies?,T_RegulatoryImpact
What share of imports passes Cape of Good Hope?,T_TransitRisk
Which sovereign funds invest in Indian Insurance?,T_InvestmentFlow
Is Muthoot Finance regulated on LNG pricing?,T_RegulatoryImpact
Which group company controls Chambal Fertilisers?,T_OwnershipStructure
List Telecom & Connectivity constituents exposed to Strait of Hormuz closure.,T_SectorExposure
Which companies have positive exposure to Brent crude price?,T_Beneficiary
Link Tata Motors earnings to gross refining margin.,T_PriceLinkage
Trace the path from Russia to Hindustan Petroleum via marine war-risk premium.,T_CausalChain
What government action caps Tata Power pricing?,T_RegulatoryImpact
Does CAD widening hurt NTPC?,T_MacroTransmission
Model base and bull cases for Metals & Mining after marine war-risk spike.,T_EventScenario
Show all Insurance names with spot LNG price linkage.,T_SectorExposure
What infrastructure constraints affect CSB Bank?,T_ConstraintRisk
How does Bajaj Finance hedge against current account deficit?,T_Hedging
Can Bharat Petroleum secure base oil if Saudi Arabia closes?,T_SupplyDisruption
Scenario analysis for geopolitical escalation on Nifty energy.,T_EventScenario
Is Adani Ports hedged for marine war-risk?,T_Hedging
How is Solar Industries linked to ONGC group?,T_OwnershipStructure
What PE capital is entering Indian Shipping & Logistics?,T_InvestmentFlow
How much of Asian Paints's fertiliser subsidy bill risk is hedged?,T_Hedging
How vulnerable is Federal Bank's LPG sourcing to Russia?,T_SupplyDisruption
Rank Bajaj Finance versus sector peers on Qatar risk.,T_CompareExposure
What supply bottlenecks hit Paints & Adhesives from geopolitical escalation?,T_SupplyDisruption
Does NTPC hedge carbon black price volatility?,T_Hedging
Walk through the causal links from crude oil to spot LNG price.,T_CausalChain
Model escalation scenario for Strait of Hormuz.,T_EventScenario
Rank NTPC versus sector peers on UAE risk.,T_CompareExposure
Map corporate structure of Adani Ports.,T_OwnershipStructure
How does Brent crude price affect Indian Oil?,T_MacroTransmission
Does a weaker rupee help or hurt Reliance Industries?,T_MacroTransmission
Does KKR have exposure to Indian Power & Utilities?,T_InvestmentFlow
Who is the parent of State Bank of India?,T_OwnershipStructure
How does grid evacuation limit Shriram Finance?,T_ConstraintRisk
Does Bharat Electronics hedge urea price volatility?,T_Hedging
List subsidiaries under SpiceJet.,T_OwnershipStructure
Stress test Reliance Industries for prolonged crude price rally.,T_EventScenario
Show ownership map for SpiceJet.,T_OwnershipStructure
What FII flows affect Asian Paints?,T_InvestmentFlow
What risk mitigants does Bajaj Finance use for tanker freight surge?,T_Hedging
Who is more hurt by Brent rally: Bharat Electronics or Tata Motors?,T_CompareExposure
How does Gulf producers disruption cause changes in INR depreciation?,T_CausalChain
How does rerouting via Cape affect Tata Power?,T_TransitRisk
List subsidiaries under Netweb Technologies.,T_OwnershipStructure
How does Brent crude price flow into Capital Goods valuations?,T_MacroTransmission
How does marine war-risk premium feed into Defence earnings?,T_CausalChain
Does Reliance Industries track USD/INR?,T_PriceLinkage
What regulatory risk does Larsen & Toubro face in Refining?,T_RegulatoryImpact
How is Great Eastern Shipping linked to fertiliser subsidy bill?,T_PriceLinkage
Name beneficiaries in Refining from Hormuz disruption.,T_Beneficiary
Who are the major backers of SpiceJet?,T_InvestmentFlow
Who is the more defensive name: Indian Oil or Bharat Electronics?,T_CompareExposure
What power availability risk hits Shriram Finance?,T_ConstraintRisk
Which physical constraints bind Paints & Adhesives growth?,T_ConstraintRisk
Explain hedging strategy of GAIL for India CPI.,T_Hedging
Stress test Reliance Industries for prolonged LPG import disruption.,T_EventScenario
Downside scenario for Refining from oil supply shock.,T_EventScenario
What land or water constraints affect Reliance Industries?,T_ConstraintRisk
What is the IT Services peer set for Shriram Finance?,T_SectorExposure
How does crude price rally lead to higher current account deficit?,T_CausalChain
Explain hedging strategy of NTPC for gross refining margin.,T_Hedging
What drives Bharat Petroleum selloff after Russia tension?,T_StockImpact
Which Defence stocks should I screen for India risk?,T_SectorExposure
Is Cochin Shipyard pricing indexed to INR depreciation?,T_PriceLinkage
Which NBFCs sit in the impact chain for Chambal Fertilisers?,T_SectorExposure
What macro channel links Strait of Hormuz closure to Coal India?,T_MacroTransmission
What policy tailwinds support GAIL?,T_RegulatoryImpact
Is Bajaj Finance realization tied to Brent?,T_PriceLinkage
Who are the major shareholders of Bharat Petroleum?,T_OwnershipStructure
