source,target,source_name,target_name,source_type,target_type,edge_type
C_HPCL,M_LPG_SAUDI_CP,Hindustan Petroleum,Saudi LPG contract price,COMPANY,MACRO_VAR,HURT_BY
C_ONGC,C_HPCL,Oil & Natural Gas Corp,Hindustan Petroleum,COMPANY,COMPANY,OWNS
S_OILGAS,C_PETRONET,Oil & Gas,Petronet LNG,SECTOR,COMPANY,CONTAINS
C_PETRONET,E_HORMUZ,Petronet LNG,Strait of Hormuz disruption,COMPANY,EVENT,HURT_BY
S_OILGAS,C_IGL,Oil & Gas,Indraprastha Gas,SECTOR,COMPANY,CONTAINS
C_IGL,M_LNG_SPOT,Indraprastha Gas,Spot LNG / JKM,COMPANY,MACRO_VAR,HURT_BY
E_HORMUZ,M_LNG_SPOT,Strait of Hormuz disruption,Spot LNG / JKM,EVENT,MACRO_VAR,CAUSES
S_OILGAS,C_MGL,Oil & Gas,Mahanagar Gas,SECTOR,COMPANY,CONTAINS
C_MGL,M_LNG_SPOT,Mahanagar Gas,Spot LNG / JKM,COMPANY,MACRO_VAR,HURT_BY
S_OILGAS,C_GUJGAS,Oil & Gas,Gujarat Gas,SECTOR,COMPANY,CONTAINS
C_GUJGAS,M_LNG_SPOT,Gujarat Gas,Spot LNG / JKM,COMPANY,MACRO_VAR,HURT_BY
C_TATACOMM,CU_HYPERSCALER,Tata Communications,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)",COMPANY,CUSTOMER,SUPPLIES_TO
S_OILGAS,C_OIL,Oil & Gas,Oil India,SECTOR,COMPANY,CONTAINS
C_OIL,M_BRENT,Oil India,Brent crude price,COMPANY,MACRO_VAR,BENEFITS_FROM
C_ONGC,M_BRENT,Oil & Natural Gas Corp,Brent crude price,COMPANY,MACRO_VAR,BENEFITS_FROM
C_IGL,M_BRENT,Indraprastha Gas,Brent crude price,COMPANY,MACRO_VAR,BENEFITS_FROM
M_LPG_SAUDI_CP,M_SUBSIDY,Saudi LPG contract price,Fertiliser and LPG subsidy bill,MACRO_VAR,MACRO_VAR,CAUSES
M_UREA,M_SUBSIDY,Global urea/DAP/sulphur price,Fertiliser and LPG subsidy bill,MACRO_VAR,MACRO_VAR,CAUSES
E_HORMUZ,M_UREA,Strait of Hormuz disruption,Global urea/DAP/sulphur price,EVENT,MACRO_VAR,CAUSES
C_COROMANDEL,M_SUBSIDY,Coromandel International,Fertiliser and LPG subsidy bill,COMPANY,MACRO_VAR,HURT_BY
C_COROMANDEL,E_HORMUZ,Coromandel International,Strait of Hormuz disruption,COMPANY,EVENT,HURT_BY
E_HORMUZ,M_FREIGHT,Strait of Hormuz disruption,Tanker freight rates,EVENT,MACRO_VAR,CAUSES
C_GESHIP,M_FREIGHT,Great Eastern Shipping,Tanker freight rates,COMPANY,MACRO_VAR,BENEFITS_FROM
C_GESHIP,M_WARRISK,Great Eastern Shipping,Marine war-risk premium,COMPANY,MACRO_VAR,HURT_BY
C_MUTHOOT,E_HORMUZ,Muthoot Finance,Strait of Hormuz disruption,COMPANY,EVENT,BENEFITS_FROM
S_BFSI,C_MUTHOOT,Banks & NBFCs,Muthoot Finance,SECTOR,COMPANY,CONTAINS
S_BFSI,C_MANAPPURAM,Banks & NBFCs,Manappuram Finance,SECTOR,COMPANY,CONTAINS
C_MANAPPURAM,E_HORMUZ,Manappuram Finance,Strait of Hormuz disruption,COMPANY,EVENT,BENEFITS_FROM
S_BFSI,C_FEDERALBNK,Banks & NBFCs,Federal Bank,SECTOR,COMPANY,CONTAINS
S_BFSI,C_CSBBANK,Banks & NBFCs,CSB Bank,SECTOR,COMPANY,CONTAINS
C_CSBBANK,E_HORMUZ,CSB Bank,Strait of Hormuz disruption,COMPANY,EVENT,HURT_BY
C_BEL,E_HORMUZ,Bharat Electronics,Strait of Hormuz disruption,COMPANY,EVENT,BENEFITS_FROM
S_DEFENCE,C_BEL,Defence,Bharat Electronics,SECTOR,COMPANY,CONTAINS
S_DEFENCE,C_SOLARINDS,Defence,Solar Industries,SECTOR,COMPANY,CONTAINS
C_SOLARINDS,E_HORMUZ,Solar Industries,Strait of Hormuz disruption,COMPANY,EVENT,BENEFITS_FROM
S_DEFENCE,C_COCHINSHIP,Defence,Cochin Shipyard,SECTOR,COMPANY,CONTAINS
C_COCHINSHIP,E_HORMUZ,Cochin Shipyard,Strait of Hormuz disruption,COMPANY,EVENT,BENEFITS_FROM
S_SHIPPING,C_ADANIPORTS,Shipping & Logistics,Adani Ports & SEZ,SECTOR,COMPANY,CONTAINS
S_SHIPPING,C_GESHIP,Shipping & Logistics,Great Eastern Shipping,SECTOR,COMPANY,CONTAINS
S_SHIPPING,C_SCI,Shipping & Logistics,Shipping Corporation of India,SECTOR,COMPANY,CONTAINS
C_SCI,M_FREIGHT,Shipping Corporation of India,Tanker freight rates,COMPANY,MACRO_VAR,BENEFITS_FROM
S_SHIPPING,C_CONCOR,Shipping & Logistics,Container Corp of India,SECTOR,COMPANY,CONTAINS
C_CONCOR,M_FREIGHT,Container Corp of India,Tanker freight rates,COMPANY,MACRO_VAR,HURT_BY
S_SHIPPING,C_TCI,Shipping & Logistics,Transport Corp of India,SECTOR,COMPANY,CONTAINS
C_TCI,M_BRENT,Transport Corp of India,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_AVIATION,C_INDIGO,Aviation,InterGlobe Aviation,SECTOR,COMPANY,CONTAINS
S_AVIATION,C_SPICEJET,Aviation,SpiceJet,SECTOR,COMPANY,CONTAINS
C_SPICEJET,M_BRENT,SpiceJet,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
C_INDIGO,M_BRENT,InterGlobe Aviation,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
M_BRENT,M_CAD,Brent crude price,Current account deficit,MACRO_VAR,MACRO_VAR,CAUSES
M_CAD,M_INR,Current account deficit,USD/INR,MACRO_VAR,MACRO_VAR,CAUSES
C_ULTRACEMCO,M_BRENT,UltraTech Cement,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
C_ULTRACEMCO,P_DATACENTRE,UltraTech Cement,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
C_LT,P_DATACENTRE,Larsen & Toubro,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
C_LT,E_HORMUZ,Larsen & Toubro,Strait of Hormuz disruption,COMPANY,EVENT,HEDGES
C_CHOLAFIN,M_BRENT,Cholamandalam Investment,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_BFSI,C_CHOLAFIN,Banks & NBFCs,Cholamandalam Investment,SECTOR,COMPANY,CONTAINS
C_SHRIRAMFIN,M_BRENT,Shriram Finance,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_BFSI,C_SHRIRAMFIN,Banks & NBFCs,Shriram Finance,SECTOR,COMPANY,CONTAINS
RM_BASEOIL,M_BRENT,Base oil,Brent crude price,RAW_MATERIAL,MACRO_VAR,PRICE_LINKED_TO
C_CASTROL,RM_BASEOIL,Castrol India,Base oil,COMPANY,RAW_MATERIAL,HURT_BY
S_OILGAS,C_CASTROL,Oil & Gas,Castrol India,SECTOR,COMPANY,CONTAINS
C_GULFOIL,RM_BASEOIL,Gulf Oil Lubricants,Base oil,COMPANY,RAW_MATERIAL,HURT_BY
S_OILGAS,C_GULFOIL,Oil & Gas,Gulf Oil Lubricants,SECTOR,COMPANY,CONTAINS
C_SIB,M_INR,South Indian Bank,USD/INR,COMPANY,MACRO_VAR,BENEFITS_FROM
S_BFSI,C_SIB,Banks & NBFCs,South Indian Bank,SECTOR,COMPANY,CONTAINS
M_INR,C_NETWEB,USD/INR,Netweb Technologies,MACRO_VAR,COMPANY,HURT_BY
C_NETWEB,CN_GPU,Netweb Technologies,GPU supply,COMPANY,CONSTRAINT,CONSTRAINED_BY
E_AIBUILD,CN_GPU,India AI infrastructure capex cycle,GPU supply,EVENT,CONSTRAINT,CONSTRAINED_BY
C_INDIGO,P_ATF,InterGlobe Aviation,Aviation turbine fuel,COMPANY,PRODUCT,NEEDS
P_ATF,M_BRENT,Aviation turbine fuel,Brent crude price,PRODUCT,MACRO_VAR,PRICE_LINKED_TO
C_SBIN,E_AIBUILD,State Bank of India,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
S_BFSI,C_SBIN,Banks & NBFCs,State Bank of India,SECTOR,COMPANY,CONTAINS
S_BFSI,C_GICRE,Banks & NBFCs,GIC Re,SECTOR,COMPANY,CONTAINS
C_GICRE,M_WARRISK,GIC Re,Marine war-risk premium,COMPANY,MACRO_VAR,HEDGES
S_BFSI,C_NIACL,Banks & NBFCs,New India Assurance,SECTOR,COMPANY,CONTAINS
C_NIACL,M_WARRISK,New India Assurance,Marine war-risk premium,COMPANY,MACRO_VAR,BENEFITS_FROM
S_BFSI,C_PFC,Banks & NBFCs,Power Finance Corporation,SECTOR,COMPANY,CONTAINS
C_PFC,CN_POWER,Power Finance Corporation,Power availability,COMPANY,CONSTRAINT,BENEFITS_FROM
E_AIBUILD,CN_POWER,India AI infrastructure capex cycle,Power availability,EVENT,CONSTRAINT,CONSTRAINED_BY
S_BFSI,C_RECLTD,Banks & NBFCs,REC Ltd,SECTOR,COMPANY,CONTAINS
C_RECLTD,CN_POWER,REC Ltd,Power availability,COMPANY,CONSTRAINT,BENEFITS_FROM
C_ADANIENT,E_AIBUILD,Adani Enterprises,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
S_POWER,C_ADANIENT,Power & Utilities,Adani Enterprises,SECTOR,COMPANY,CONTAINS
S_POWER,C_COALINDIA,Power & Utilities,Coal India,SECTOR,COMPANY,CONTAINS
C_COALINDIA,M_LNG_SPOT,Coal India,Spot LNG / JKM,COMPANY,MACRO_VAR,BENEFITS_FROM
C_COALINDIA,CN_POWER,Coal India,Power availability,COMPANY,CONSTRAINT,BENEFITS_FROM
S_POWER,C_NTPC,Power & Utilities,NTPC,SECTOR,COMPANY,CONTAINS
C_NTPC,M_LNG_SPOT,NTPC,Spot LNG / JKM,COMPANY,MACRO_VAR,BENEFITS_FROM
S_POWER,C_POWERGRID,Power & Utilities,Power Grid Corporation,SECTOR,COMPANY,CONTAINS
C_POWERGRID,CN_TRANSMISSION,Power Grid Corporation,Transmission evacuation capacity,COMPANY,CONSTRAINT,BENEFITS_FROM
E_AIBUILD,CN_TRANSMISSION,India AI infrastructure capex cycle,Transmission evacuation capacity,EVENT,CONSTRAINT,CONSTRAINED_BY
S_POWER,C_TATAPOWER,Power & Utilities,Tata Power,SECTOR,COMPANY,CONTAINS
C_TATAPOWER,E_AIBUILD,Tata Power,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
S_POWER,C_ADANIGREEN,Power & Utilities,Adani Green Energy,SECTOR,COMPANY,CONTAINS
C_ADANIGREEN,E_AIBUILD,Adani Green Energy,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
S_POWER,C_IEX,Power & Utilities,Indian Energy Exchange,SECTOR,COMPANY,CONTAINS
C_IEX,E_AIBUILD,Indian Energy Exchange,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
S_POWER,C_WAAREE,Power & Utilities,Waaree Energies,SECTOR,COMPANY,CONTAINS
C_WAAREE,E_HORMUZ,Waaree Energies,Strait of Hormuz disruption,COMPANY,EVENT,BENEFITS_FROM
S_TELECOM,C_STLTECH,Telecom & Connectivity,Sterlite Technologies,SECTOR,COMPANY,CONTAINS
C_STLTECH,P_DATACENTRE,Sterlite Technologies,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_TELECOM,C_TEJASNET,Telecom & Connectivity,Tejas Networks,SECTOR,COMPANY,CONTAINS
C_TEJASNET,P_DATACENTRE,Tejas Networks,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
C_TECHNOE,E_AIBUILD,Techno Electric & Engineering,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
S_EPC,C_TECHNOE,EPC & Infrastructure,Techno Electric & Engineering,SECTOR,COMPANY,CONTAINS
S_EPC,C_LT,EPC & Infrastructure,Larsen & Toubro,SECTOR,COMPANY,CONTAINS
S_EPC,C_KALPATPOWR,EPC & Infrastructure,Kalpataru Projects,SECTOR,COMPANY,CONTAINS
C_KALPATPOWR,CN_TRANSMISSION,Kalpataru Projects,Transmission evacuation capacity,COMPANY,CONSTRAINT,SUPPLIES_TO
S_EPC,C_KEC,EPC & Infrastructure,KEC International,SECTOR,COMPANY,CONTAINS
C_KEC,G_GCC,KEC International,Gulf producers,COMPANY,GEOGRAPHY,EXPOSED_TO_ORDERBOOK
C_LT,G_GCC,Larsen & Toubro,Gulf producers,COMPANY,GEOGRAPHY,EXPOSED_TO_ORDERBOOK
C_KEC,CN_TRANSMISSION,KEC International,Transmission evacuation capacity,COMPANY,CONSTRAINT,SUPPLIES_TO
M_REPO,C_ADANIGREEN,RBI policy rate,Adani Green Energy,MACRO_VAR,COMPANY,HURT_BY
C_BAJFINANCE,M_REPO,Bajaj Finance,RBI policy rate,COMPANY,MACRO_VAR,HURT_BY
S_BFSI,C_BAJFINANCE,Banks & NBFCs,Bajaj Finance,SECTOR,COMPANY,CONTAINS
C_CHAMBAL,M_LNG_SPOT,Chambal Fertilisers,Spot LNG / JKM,COMPANY,MACRO_VAR,HURT_BY
S_FERTILISER,C_CHAMBAL,Fertilisers & Agri-inputs,Chambal Fertilisers,SECTOR,COMPANY,CONTAINS
S_FERTILISER,C_COROMANDEL,Fertilisers & Agri-inputs,Coromandel International,SECTOR,COMPANY,CONTAINS
S_POWER,C_NHPC,Power & Utilities,NHPC,SECTOR,COMPANY,CONTAINS
C_NHPC,CN_GRIDSTAB,NHPC,Grid stability under volatile DC load ramps,COMPANY,CONSTRAINT,BENEFITS_FROM
CN_GRIDSTAB,C_HITACHIENER,Grid stability under volatile DC load ramps,Hitachi Energy India,CONSTRAINT,COMPANY,CAUSES
S_CAPGOODS,C_HITACHIENER,Capital Goods & Electricals,Hitachi Energy India,SECTOR,COMPANY,CONTAINS
S_CAPGOODS,C_PRAJ,Capital Goods & Electricals,Praj Industries,SECTOR,COMPANY,CONTAINS
C_PRAJ,E_HORMUZ,Praj Industries,Strait of Hormuz disruption,COMPANY,EVENT,BENEFITS_FROM
C_HITACHIENER,P_DATACENTRE,Hitachi Energy India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
CN_GRIDSTAB,C_EXIDE,Grid stability under volatile DC load ramps,Exide Industries,CONSTRAINT,COMPANY,CAUSES
S_POWER,C_EXIDE,Power & Utilities,Exide Industries,SECTOR,COMPANY,CONTAINS
CN_GRIDSTAB,C_AMARAJA,Grid stability under volatile DC load ramps,Amara Raja Energy & Mobility,CONSTRAINT,COMPANY,CAUSES
S_POWER,C_AMARAJA,Power & Utilities,Amara Raja Energy & Mobility,SECTOR,COMPANY,CONTAINS
C_IREDA,CN_GRIDSTAB,IREDA,Grid stability under volatile DC load ramps,COMPANY,CONSTRAINT,BENEFITS_FROM
S_BFSI,C_IREDA,Banks & NBFCs,IREDA,SECTOR,COMPANY,CONTAINS
M_INR,M_CPI,USD/INR,India CPI,MACRO_VAR,MACRO_VAR,CAUSES
C_BALRAMPUR,M_BRENT,Balrampur Chini,Brent crude price,COMPANY,MACRO_VAR,BENEFITS_FROM
S_FMCG,C_BALRAMPUR,FMCG,Balrampur Chini,SECTOR,COMPANY,CONTAINS
S_FMCG,C_HUL,FMCG,Hindustan Unilever,SECTOR,COMPANY,CONTAINS
C_HUL,M_BRENT,Hindustan Unilever,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_FMCG,C_SUNPHARMA,FMCG,Sun Pharmaceutical,SECTOR,COMPANY,CONTAINS
C_SUNPHARMA,M_INR,Sun Pharmaceutical,USD/INR,COMPANY,MACRO_VAR,BENEFITS_FROM
S_FMCG,C_DIVIS,FMCG,Divi's Laboratories,SECTOR,COMPANY,CONTAINS
C_DIVIS,M_BRENT,Divi's Laboratories,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
C_TATAMOTORS,M_BRENT,Tata Motors,Brent crude price,COMPANY,MACRO_VAR,BENEFITS_FROM
S_AUTO,C_TATAMOTORS,Automobiles,Tata Motors,SECTOR,COMPANY,CONTAINS
S_AUTO,C_MARUTI,Automobiles,Maruti Suzuki,SECTOR,COMPANY,CONTAINS
C_MARUTI,M_BRENT,Maruti Suzuki,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_AUTO,C_HEROMOTOCO,Automobiles,Hero MotoCorp,SECTOR,COMPANY,CONTAINS
C_HEROMOTOCO,M_BRENT,Hero MotoCorp,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_AUTO,C_MM,Automobiles,Mahindra & Mahindra,SECTOR,COMPANY,CONTAINS
C_MM,M_UREA,Mahindra & Mahindra,Global urea/DAP/sulphur price,COMPANY,MACRO_VAR,HURT_BY
S_AUTO,C_OLECTRA,Automobiles,Olectra Greentech,SECTOR,COMPANY,CONTAINS
C_OLECTRA,M_BRENT,Olectra Greentech,Brent crude price,COMPANY,MACRO_VAR,BENEFITS_FROM
C_ASIANPAINT,M_BRENT,Asian Paints,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_PAINTS,C_ASIANPAINT,Paints & Adhesives,Asian Paints,SECTOR,COMPANY,CONTAINS
S_PAINTS,C_BERGER,Paints & Adhesives,Berger Paints,SECTOR,COMPANY,CONTAINS
C_BERGER,M_BRENT,Berger Paints,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_PAINTS,C_INDIGOPNT,Paints & Adhesives,Indigo Paints,SECTOR,COMPANY,CONTAINS
C_INDIGOPNT,M_BRENT,Indigo Paints,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
C_MRF,M_BRENT,MRF,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_TYRES,C_MRF,Tyres,MRF,SECTOR,COMPANY,CONTAINS
S_TYRES,C_BALKRISHNA,Tyres,Balkrishna Industries,SECTOR,COMPANY,CONTAINS
C_BALKRISHNA,M_INR,Balkrishna Industries,USD/INR,COMPANY,MACRO_VAR,HEDGES
C_PCBL,M_BRENT,PCBL,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_CHEMICALS,C_PCBL,Chemicals,PCBL,SECTOR,COMPANY,CONTAINS
S_CHEMICALS,C_SRF,Chemicals,SRF,SECTOR,COMPANY,CONTAINS
C_SRF,M_BRENT,SRF,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_CHEMICALS,C_TATACHEM,Chemicals,Tata Chemicals,SECTOR,COMPANY,CONTAINS
C_TATACHEM,M_LNG_SPOT,Tata Chemicals,Spot LNG / JKM,COMPANY,MACRO_VAR,HURT_BY
S_CHEMICALS,C_GHCL,Chemicals,GHCL,SECTOR,COMPANY,CONTAINS
C_GHCL,M_LNG_SPOT,GHCL,Spot LNG / JKM,COMPANY,MACRO_VAR,HURT_BY
C_ABB,P_DATACENTRE,ABB India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_ABB,Capital Goods & Electricals,ABB India,SECTOR,COMPANY,CONTAINS
C_SIEMENS,P_DATACENTRE,Siemens India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_SIEMENS,Capital Goods & Electricals,Siemens India,SECTOR,COMPANY,CONTAINS
C_SIEMENSENER,P_DATACENTRE,Siemens Energy India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_SIEMENSENER,Capital Goods & Electricals,Siemens Energy India,SECTOR,COMPANY,CONTAINS
C_GEVERNOVA,P_DATACENTRE,GE Vernova T&D India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_GEVERNOVA,Capital Goods & Electricals,GE Vernova T&D India,SECTOR,COMPANY,CONTAINS
C_SCHNEIDER,P_DATACENTRE,Schneider Electric Infrastructure,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_SCHNEIDER,Capital Goods & Electricals,Schneider Electric Infrastructure,SECTOR,COMPANY,CONTAINS
C_CGPOWER,P_DATACENTRE,CG Power & Industrial Solutions,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_CGPOWER,Capital Goods & Electricals,CG Power & Industrial Solutions,SECTOR,COMPANY,CONTAINS
C_VOLTAMP,P_DATACENTRE,Voltamp Transformers,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_VOLTAMP,Capital Goods & Electricals,Voltamp Transformers,SECTOR,COMPANY,CONTAINS
C_TRIL,P_DATACENTRE,Transformers & Rectifiers India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_TRIL,Capital Goods & Electricals,Transformers & Rectifiers India,SECTOR,COMPANY,CONTAINS
C_SHILCHAR,P_DATACENTRE,Shilchar Technologies,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_SHILCHAR,Capital Goods & Electricals,Shilchar Technologies,SECTOR,COMPANY,CONTAINS
C_CUMMINSIND,P_DATACENTRE,Cummins India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_CUMMINSIND,Capital Goods & Electricals,Cummins India,SECTOR,COMPANY,CONTAINS
C_KOEL,P_DATACENTRE,Kirloskar Oil Engines,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_KOEL,Capital Goods & Electricals,Kirloskar Oil Engines,SECTOR,COMPANY,CONTAINS
