id,text,node_type,node_name
RM_PROPYLENE,"Type: RAW_MATERIAL
Name: Propylene
Relationships:
",RAW_MATERIAL,Propylene
RM_BENZENE,"Type: RAW_MATERIAL
Name: Benzene
Relationships:
",RAW_MATERIAL,Benzene
RM_CBFS,"Type: RAW_MATERIAL
Name: Carbon black feedstock
Relationships:
PRICE_LINKED_TO: Brent crude price",RAW_MATERIAL,Carbon black feedstock
RM_CARBONBLACK,"Type: RAW_MATERIAL
Name: Carbon black
Relationships:
NEEDS: Carbon black feedstock",RAW_MATERIAL,Carbon black
RM_BASEOIL,"Type: RAW_MATERIAL
Name: Base oil
Relationships:
PRICE_LINKED_TO: Brent crude price",RAW_MATERIAL,Base oil
RM_SYNRUBBER,"Type: RAW_MATERIAL
Name: Synthetic rubber
Relationships:
PRICE_LINKED_TO: Brent crude price",RAW_MATERIAL,Synthetic rubber
RM_NATRUBBER,"Type: RAW_MATERIAL
Name: Natural rubber
Relationships:
",RAW_MATERIAL,Natural rubber
RM_TIO2,"Type: RAW_MATERIAL
Name: Titanium dioxide
Relationships:
",RAW_MATERIAL,Titanium dioxide
RM_SOLVENT,"Type: RAW_MATERIAL
Name: Solvents
Relationships:
",RAW_MATERIAL,Solvents
RM_MONOMER,"Type: RAW_MATERIAL
Name: Acrylic monomers
Relationships:
",RAW_MATERIAL,Acrylic monomers
RM_HDPE,"Type: RAW_MATERIAL
Name: HDPE/LLDPE/PP resin
Relationships:
PRICE_LINKED_TO: Naphtha",RAW_MATERIAL,HDPE/LLDPE/PP resin
RM_PVC,"Type: RAW_MATERIAL
Name: PVC resin
Relationships:
PRICE_LINKED_TO: Brent crude price",RAW_MATERIAL,PVC resin
RM_PTA_MEG,"Type: RAW_MATERIAL
Name: PTA/MEG
Relationships:
",RAW_MATERIAL,PTA/MEG
RM_VAM,"Type: RAW_MATERIAL
Name: Vinyl acetate monomer
Relationships:
",RAW_MATERIAL,Vinyl acetate monomer
RM_LAB,"Type: RAW_MATERIAL
Name: Linear alkyl benzene
Relationships:
",RAW_MATERIAL,Linear alkyl benzene
RM_PETCOKE,"Type: RAW_MATERIAL
Name: Petroleum coke
Relationships:
PRICE_LINKED_TO: Brent crude price",RAW_MATERIAL,Petroleum coke
RM_LLP,"Type: RAW_MATERIAL
Name: Liquid light paraffin
Relationships:
PRICE_LINKED_TO: Brent crude price",RAW_MATERIAL,Liquid light paraffin
RM_UREA,"Type: RAW_MATERIAL
Name: Urea
Relationships:
TRANSITS: Strait of Hormuz",RAW_MATERIAL,Urea
RM_UREA,"Type: RAW_MATERIAL
Name: Urea
Relationships:
SOURCED_FROM: Oman",RAW_MATERIAL,Urea
RM_SULPHUR,"Type: RAW_MATERIAL
Name: Sulphur
Relationships:
TRANSITS: Strait of Hormuz",RAW_MATERIAL,Sulphur
RM_SULPHUR,"Type: RAW_MATERIAL
Name: Sulphur
Relationships:
SOURCED_FROM: Gulf producers",RAW_MATERIAL,Sulphur
RM_AMMONIA,"Type: RAW_MATERIAL
Name: Ammonia
Relationships:
TRANSITS: Strait of Hormuz",RAW_MATERIAL,Ammonia
RM_PHOSACID,"Type: RAW_MATERIAL
Name: Phosphoric acid
Relationships:
",RAW_MATERIAL,Phosphoric acid
RM_COPPER,"Type: RAW_MATERIAL
Name: Copper
Relationships:
",RAW_MATERIAL,Copper
RM_ALUMINIUM,"Type: RAW_MATERIAL
Name: Aluminium
Relationships:
",RAW_MATERIAL,Aluminium
RM_CRGO_STEEL,"Type: RAW_MATERIAL
Name: CRGO electrical steel
Relationships:
",RAW_MATERIAL,CRGO electrical steel
RM_REFRIGERANT,"Type: RAW_MATERIAL
Name: Refrigerant / dielectric fluid
Relationships:
",RAW_MATERIAL,Refrigerant / dielectric fluid
RM_BATTERY,"Type: RAW_MATERIAL
Name: Battery cells
Relationships:
",RAW_MATERIAL,Battery cells
RM_GPU,"Type: RAW_MATERIAL
Name: GPU / AI accelerator
Relationships:
",RAW_MATERIAL,GPU / AI accelerator
P_ATF,"Type: PRODUCT
Name: Aviation turbine fuel
Relationships:
PRICE_LINKED_TO: Brent crude price",PRODUCT,Aviation turbine fuel
P_DIESEL,"Type: PRODUCT
Name: Diesel
Relationships:
",PRODUCT,Diesel
P_PETROL,"Type: PRODUCT
Name: Petrol
Relationships:
",PRODUCT,Petrol
P_ETHANOL,"Type: PRODUCT
Name: Ethanol
Relationships:
SUBSTITUTES_FOR: Petrol",PRODUCT,Ethanol
P_PAINT,"Type: PRODUCT
Name: Decorative paint
Relationships:
NEEDS: Titanium dioxide NEEDS: Solvents NEEDS: Acrylic monomers",PRODUCT,Decorative paint
P_TYRE,"Type: PRODUCT
Name: Tyre
Relationships:
NEEDS: Carbon black NEEDS: Synthetic rubber NEEDS: Natural rubber",PRODUCT,Tyre
P_PVC_PIPE,"Type: PRODUCT
Name: PVC pipe
Relationships:
NEEDS: PVC resin",PRODUCT,PVC pipe
P_CEMENT,"Type: PRODUCT
Name: Cement
Relationships:
NEEDS: Petroleum coke NEEDS: Diesel",PRODUCT,Cement
P_UREA,"Type: PRODUCT
Name: Urea fertiliser
Relationships:
NEEDS: Natural gas",PRODUCT,Urea fertiliser
P_DAP,"Type: PRODUCT
Name: DAP/NPK fertiliser
Relationships:
NEEDS: Sulphur NEEDS: Ammonia NEEDS: Phosphoric acid",PRODUCT,DAP/NPK fertiliser
P_DATACENTRE,"Type: PRODUCT
Name: Data centre capacity (MW IT load)
Relationships:
NEEDS: Power transformer NEEDS: Switchgear / MV-LV distribution NEEDS: UPS / DC power backup NEEDS: Diesel genset NEEDS: Precision cooling / CDU NEEDS: Power cable NEEDS: Optical fibre / interconnect NEEDS: Firm 24x7 power supply",PRODUCT,Data centre capacity (MW IT load)
P_TRANSFORMER,"Type: PRODUCT
Name: Power transformer
Relationships:
",PRODUCT,Power transformer
P_SWITCHGEAR,"Type: PRODUCT
Name: Switchgear / MV-LV distribution
Relationships:
",PRODUCT,Switchgear / MV-LV distribution
P_UPS,"Type: PRODUCT
Name: UPS / DC power backup
Relationships:
NEEDS: Battery cells",PRODUCT,UPS / DC power backup
P_GENSET,"Type: PRODUCT
Name: Diesel genset
Relationships:
",PRODUCT,Diesel genset
P_COOLING,"Type: PRODUCT
Name: Precision cooling / CDU
Relationships:
",PRODUCT,Precision cooling / CDU
P_CHILLER,"Type: PRODUCT
Name: Chiller
Relationships:
NEEDS: Refrigerant / dielectric fluid",PRODUCT,Chiller
P_POWERCABLE,"Type: PRODUCT
Name: Power cable
Relationships:
NEEDS: PVC resin NEEDS: Copper",PRODUCT,Power cable
P_FIBRE,"Type: PRODUCT
Name: Optical fibre / interconnect
Relationships:
",PRODUCT,Optical fibre / interconnect
P_AISERVER,"Type: PRODUCT
Name: AI server / GPU system
Relationships:
NEEDS: GPU / AI accelerator NEEDS: HBM / advanced packaging",PRODUCT,AI server / GPU system
P_FIRMPOWER,"Type: PRODUCT
Name: Firm 24x7 power supply
Relationships:
",PRODUCT,Firm 24x7 power supply
P_GRIDEQUIP,"Type: PRODUCT
Name: Grid stability equipment (BESS/STATCOM)
Relationships:
",PRODUCT,Grid stability equipment (BESS/STATCOM)
CN_POWER,"Type: CONSTRAINT
Name: Power availability
Relationships:
",CONSTRAINT,Power availability
CN_TRANSMISSION,"Type: CONSTRAINT
Name: Transmission evacuation capacity
Relationships:
",CONSTRAINT,Transmission evacuation capacity
CN_GRIDSTAB,"Type: CONSTRAINT
Name: Grid stability under volatile DC load ramps
Relationships:
CAUSES: Grid stability equipment (BESS/STATCOM) CAUSES: Hitachi Energy India CAUSES: Exide Industries CAUSES: Amara Raja Energy & Mobility",CONSTRAINT,Grid stability under volatile DC load ramps
CN_WATER,"Type: CONSTRAINT
Name: Water availability
Relationships:
CAUSES: VA Tech Wabag",CONSTRAINT,Water availability
CN_GPU,"Type: CONSTRAINT
Name: GPU supply
Relationships:
",CONSTRAINT,GPU supply
CN_HBM,"Type: CONSTRAINT
Name: HBM / advanced packaging
Relationships:
",CONSTRAINT,HBM / advanced packaging
CN_CRGO,"Type: CONSTRAINT
Name: CRGO electrical steel imports
Relationships:
CONSTRAINS: Power transformer CONSTRAINS: Voltamp Transformers",CONSTRAINT,CRGO electrical steel imports
CN_LAND,"Type: CONSTRAINT
Name: Infra-ready land
Relationships:
",CONSTRAINT,Infra-ready land
CN_SKILLS,"Type: CONSTRAINT
Name: Liquid cooling / HV commissioning talent
Relationships:
",CONSTRAINT,Liquid cooling / HV commissioning talent
T_GENAI,"Type: TECHNOLOGY
Name: Generative AI
Relationships:
CAUSES: India AI infrastructure capex cycle",TECHNOLOGY,Generative AI
T_LIQUIDCOOL,"Type: TECHNOLOGY
Name: Liquid cooling
Relationships:
CAUSES: Refrigerant / dielectric fluid CAUSES: Precision cooling / CDU",TECHNOLOGY,Liquid cooling
T_HIGHDENSITY,"Type: TECHNOLOGY
Name: High-density racks
Relationships:
CAUSES: Liquid cooling",TECHNOLOGY,High-density racks
POL_LPG_SUBSIDY,"Type: POLICY
Name: Administered LPG pricing
Relationships:
",POLICY,Administered LPG pricing
POL_EXCISE_CUT,"Type: POLICY
Name: Fuel excise duty cuts (2026)
Relationships:
",POLICY,Fuel excise duty cuts (2026)
POL_WINDFALL_TAX,"Type: POLICY
Name: Windfall tax / SAED on upstream
Relationships:
",POLICY,Windfall tax / SAED on upstream
POL_APM_GAS,"Type: POLICY
Name: APM gas price ceiling
Relationships:
",POLICY,APM gas price ceiling
POL_GAS_CONTROL_ORDER,"Type: POLICY
Name: Natural Gas Control Order (rationing)
Relationships:
",POLICY,Natural Gas Control Order (rationing)
POL_NBS_SUBSIDY,"Type: POLICY
Name: Nutrient Based Subsidy
Relationships:
",POLICY,Nutrient Based Subsidy
POL_DC_TAX,"Type: POLICY
Name: 21-year DC tax holiday to 2047
Relationships:
ENABLES: India AI infrastructure capex cycle",POLICY,21-year DC tax holiday to 2047
POL_INDIAAI,"Type: POLICY
Name: IndiaAI Mission
Relationships:
ENABLES: India AI infrastructure capex cycle",POLICY,IndiaAI Mission
POL_PLI_IT,"Type: POLICY
Name: IT hardware PLI
Relationships:
",POLICY,IT hardware PLI
POL_SEMICON,"Type: POLICY
Name: India Semiconductor Mission / OSAT
Relationships:
",POLICY,India Semiconductor Mission / OSAT
CU_HYPERSCALER,"Type: CUSTOMER
Name: Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)
Relationships:
CAUSES: India AI infrastructure capex cycle",CUSTOMER,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)"
CU_HYPERSCALER,"Type: CUSTOMER
Name: Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)
Relationships:
CUSTOMER_OF: Reliance Industries",CUSTOMER,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)"
CU_INDIAAI,"Type: CUSTOMER
Name: IndiaAI sovereign compute
Relationships:
",CUSTOMER,IndiaAI sovereign compute
CU_GCC_ENT,"Type: CUSTOMER
Name: Global Capability Centres
Relationships:
",CUSTOMER,Global Capability Centres
IN_BLACKSTONE,"Type: INVESTOR
Name: Blackstone
Relationships:
INVESTS_IN: Neysa INVESTS_IN: AirTrunk",INVESTOR,Blackstone
IN_BROOKFIELD,"Type: INVESTOR
Name: Brookfield
Relationships:
",INVESTOR,Brookfield
AS_JAMNAGAR_DC,"Type: ASSET
Name: Reliance Jamnagar AI campus
Relationships:
LOCATED_IN: Gujarat",ASSET,Reliance Jamnagar AI campus
AS_VIZAG_DC,"Type: ASSET
Name: Google Visakhapatnam AI hub
Relationships:
LOCATED_IN: Andhra Pradesh",ASSET,Google Visakhapatnam AI hub
PC_ADANICONNEX,"Type: PRIVATE_CO
Name: AdaniConneX
Relationships:
",PRIVATE_CO,AdaniConneX
PC_CTRLS,"Type: PRIVATE_CO
Name: CtrlS Datacenters
Relationships:
JV_WITH: NTPC Green Energy",PRIVATE_CO,CtrlS Datacenters
PC_YOTTA,"Type: PRIVATE_CO
Name: Yotta
Relationships:
",PRIVATE_CO,Yotta
PC_NXTRA,"Type: PRIVATE_CO
Name: Nxtra by Airtel
Relationships:
",PRIVATE_CO,Nxtra by Airtel
PC_NEYSA,"Type: PRIVATE_CO
Name: Neysa
Relationships:
",PRIVATE_CO,Neysa
PC_AIRTRUNK,"Type: PRIVATE_CO
Name: AirTrunk
Relationships:
",PRIVATE_CO,AirTrunk
PC_EQUINIX,"Type: PRIVATE_CO
Name: Equinix India
Relationships:
",PRIVATE_CO,Equinix India
PC_NVIDIA,"Type: PRIVATE_CO
Name: NVIDIA
Relationships:
SUPPLIES_TO: Netweb Technologies",PRIVATE_CO,NVIDIA
PC_NAYARA,"Type: PRIVATE_CO
Name: Nayara Energy
Relationships:
",PRIVATE_CO,Nayara Energy
S_OILGAS,"Type: SECTOR
Name: Oil & Gas
Relationships:
CONTAINS: Oil & Natural Gas Corp CONTAINS: Oil India CONTAINS: GAIL (India) CONTAINS: Indian Oil CONTAINS: Bharat Petroleum CONTAINS: Hindustan Petroleum CONTAINS: Mangalore Refinery CONTAINS: Chennai Petroleum CONTAINS: Reliance Industries CONTAINS: Petronet LNG CONTAINS: Gujarat State Petronet CONTAINS: Indraprastha Gas CONTAINS: Mahanagar Gas CONTAINS: Gujarat Gas CONTAINS: Adani Total Gas CONTAINS: Selan Exploration CONTAINS: Castrol India CONTAINS: Gulf Oil Lubricants",SECTOR,Oil & Gas
S_SHIPPING,"Type: SECTOR
Name: Shipping & Logistics
Relationships:
CONTAINS: Great Eastern Shipping CONTAINS: Shipping Corporation of India CONTAINS: Seamec CONTAINS: Adani Ports & SEZ CONTAINS: JSW Infrastructure CONTAINS: Container Corp of India CONTAINS: Allcargo Logistics CONTAINS: Transport Corp of India",SECTOR,Shipping & Logistics
S_AVIATION,"Type: SECTOR
Name: Aviation
Relationships:
CONTAINS: InterGlobe Aviation CONTAINS: SpiceJet",SECTOR,Aviation
S_CHEMICALS,"Type: SECTOR
Name: Chemicals
Relationships:
CONTAINS: PCBL CONTAINS: Himadri Speciality Chemical CONTAINS: Supreme Industries CONTAINS: Astral CONTAINS: Finolex Industries CONTAINS: Prince Pipes CONTAINS: Polyplex CONTAINS: Cosmo First CONTAINS: UFlex CONTAINS: EPL Ltd CONTAINS: Time Technoplast CONTAINS: SRF CONTAINS: Navin Fluorine CONTAINS: Gujarat Fluorochemicals CONTAINS: Aarti Industries CONTAINS: Deepak Nitrite CONTAINS: Atul CONTAINS: Vinati Organics CONTAINS: Tata Chemicals CONTAINS: GHCL CONTAINS: Alkyl Amines",SECTOR,Chemicals
S_FERTILISER,"Type: SECTOR
Name: Fertilisers & Agri-inputs
Relationships:
CONTAINS: Chambal Fertilisers CONTAINS: Coromandel International CONTAINS: GNFC CONTAINS: GSFC CONTAINS: Rashtriya Chemicals & Fertilizers CONTAINS: National Fertilizers CONTAINS: Deepak Fertilisers CONTAINS: Paradeep Phosphates CONTAINS: FACT CONTAINS: UPL CONTAINS: PI Industries CONTAINS: Rallis India",SECTOR,Fertilisers & Agri-inputs
S_PAINTS,"Type: SECTOR
Name: Paints & Adhesives
Relationships:
CONTAINS: Asian Paints CONTAINS: Berger Paints CONTAINS: Kansai Nerolac CONTAINS: Indigo Paints CONTAINS: Akzo Nobel India CONTAINS: Pidilite Industries CONTAINS: Grasim Industries",SECTOR,Paints & Adhesives
S_TYRES,"Type: SECTOR
Name: Tyres
Relationships:
CONTAINS: MRF CONTAINS: Apollo Tyres CONTAINS: CEAT CONTAINS: JK Tyre CONTAINS: Balkrishna Industries",SECTOR,Tyres
S_CAPGOODS,"Type: SECTOR
Name: Capital Goods & Electricals
Relationships:
CONTAINS: Praj Industries CONTAINS: ABB India CONTAINS: Siemens India CONTAINS: Siemens Energy India CONTAINS: Hitachi Energy India CONTAINS: GE Vernova T&D India CONTAINS: Schneider Electric Infrastructure CONTAINS: CG Power & Industrial Solutions CONTAINS: Voltamp Transformers CONTAINS: Transformers & Rectifiers India CONTAINS: Shilchar Technologies CONTAINS: Cummins India CONTAINS: Kirloskar Oil Engines CONTAINS: HBL Engineering CONTAINS: Apar Industries CONTAINS: HPL Electric & Power CONTAINS: BHEL CONTAINS: Thermax",SECTOR,Capital Goods & Electricals
S_COOLING,"Type: SECTOR
Name: HVAC & Thermal Management
Relationships:
CONTAINS: Blue Star CONTAINS: Voltas CONTAINS: KRN Heat Exchanger CONTAINS: Amber Enterprises CONTAINS: Johnson Controls-Hitachi AC India CONTAINS: EPACK Durable",SECTOR,HVAC & Thermal Management
S_CABLES,"Type: SECTOR
Name: Cables & Wires
Relationships:
CONTAINS: Polycab India CONTAINS: KEI Industries CONTAINS: R R Kabel CONTAINS: Finolex Cables CONTAINS: Ram Ratna Wires CONTAINS: Precision Wires India CONTAINS: Skipper",SECTOR,Cables & Wires
S_EMS,"Type: SECTOR
Name: EMS & Compute Hardware
Relationships:
CONTAINS: Netweb Technologies CONTAINS: Dixon Technologies CONTAINS: Kaynes Technology CONTAINS: Syrma SGS Technology CONTAINS: Cyient DLM CONTAINS: Tata Elxsi CONTAINS: MosChip Technologies",SECTOR,EMS & Compute Hardware
S_POWER,"Type: SECTOR
Name: Power & Utilities
Relationships:
CONTAINS: Coal India CONTAINS: Adani Enterprises CONTAINS: NTPC CONTAINS: NTPC Green Energy CONTAINS: Power Grid Corporation CONTAINS: Tata Power CONTAINS: Adani Power CONTAINS: Adani Green Energy CONTAINS: JSW Energy CONTAINS: Torrent Power CONTAINS: NHPC CONTAINS: Indian Energy Exchange CONTAINS: Suzlon Energy CONTAINS: Inox Wind CONTAINS: KPI Green Energy CONTAINS: Waaree Energies CONTAINS: Premier Energies CONTAINS: Exide Industries CONTAINS: Amara Raja Energy & Mobility CONTAINS: Servotech Renewable Power",SECTOR,Power & Utilities
S_TELECOM,"Type: SECTOR
Name: Telecom & Connectivity
Relationships:
CONTAINS: Bharti Airtel CONTAINS: Tata Communications CONTAINS: RailTel Corporation CONTAINS: Sterlite Technologies CONTAINS: HFCL CONTAINS: Tejas Networks CONTAINS: Indus Towers",SECTOR,Telecom & Connectivity
S_REALESTATE,"Type: SECTOR
Name: Real Estate & REITs
Relationships:
CONTAINS: Anant Raj CONTAINS: Macrotech Developers CONTAINS: DLF CONTAINS: Embassy Office Parks REIT CONTAINS: Mindspace Business Parks REIT CONTAINS: Brigade Enterprises",SECTOR,Real Estate & REITs
S_BFSI,"Type: SECTOR
Name: Banks & NBFCs
Relationships:
CONTAINS: Bajaj Finance CONTAINS: Cholamandalam Investment CONTAINS: Shriram Finance CONTAINS: Muthoot Finance CONTAINS: Manappuram Finance CONTAINS: HDFC Bank CONTAINS: State Bank of India CONTAINS: AU Small Finance Bank CONTAINS: Federal Bank CONTAINS: South Indian Bank CONTAINS: CSB Bank CONTAINS: Dhanlaxmi Bank CONTAINS: GIC Re CONTAINS: New India Assurance CONTAINS: ICICI Lombard CONTAINS: Power Finance Corporation CONTAINS: REC Ltd CONTAINS: IREDA",SECTOR,Banks & NBFCs
S_IT,"Type: SECTOR
Name: IT Services
Relationships:
CONTAINS: Tata Consultancy Services CONTAINS: Infosys CONTAINS: HCL Technologies CONTAINS: Wipro CONTAINS: LTIMindtree CONTAINS: Persistent Systems CONTAINS: Coforge CONTAINS: Quick Heal Technologies CONTAINS: TeamLease Services CONTAINS: Quess Corp",SECTOR,IT Services
S_DEFENCE,"Type: SECTOR
Name: Defence
Relationships:
CONTAINS: Hindustan Aeronautics CONTAINS: Bharat Electronics CONTAINS: Bharat Dynamics CONTAINS: Solar Industries CONTAINS: Cochin Shipyard CONTAINS: Mazagon Dock CONTAINS: Garden Reach Shipbuilders CONTAINS: Data Patterns CONTAINS: Astra Microwave",SECTOR,Defence
S_METALS,"Type: SECTOR
Name: Metals & Mining
Relationships:
CONTAINS: Hindalco CONTAINS: National Aluminium CONTAINS: Vedanta CONTAINS: JSW Steel CONTAINS: Tata Steel CONTAINS: Hindustan Copper",SECTOR,Metals & Mining
S_CEMENT,"Type: SECTOR
Name: Cement
Relationships:
CONTAINS: UltraTech Cement CONTAINS: Ambuja Cements CONTAINS: Shree Cement CONTAINS: Dalmia Bharat",SECTOR,Cement
S_AUTO,"Type: SECTOR
Name: Automobiles
Relationships:
CONTAINS: Maruti Suzuki CONTAINS: Hero MotoCorp CONTAINS: Bajaj Auto CONTAINS: TVS Motor CONTAINS: Tata Motors CONTAINS: Mahindra & Mahindra CONTAINS: Olectra Greentech",SECTOR,Automobiles
S_FMCG,"Type: SECTOR
Name: FMCG
Relationships:
CONTAINS: Balrampur Chini CONTAINS: Triveni Engineering CONTAINS: Shree Renuka Sugars CONTAINS: Hindustan Unilever CONTAINS: Marico CONTAINS: Godrej Consumer CONTAINS: Dabur India CONTAINS: Jyothy Labs CONTAINS: Sun Pharmaceutical CONTAINS: Dr Reddy's Laboratories CONTAINS: Cipla CONTAINS: Divi's Laboratories",SECTOR,FMCG
S_EPC,"Type: SECTOR
Name: EPC & Infrastructure
Relationships:
CONTAINS: Larsen & Toubro CONTAINS: Techno Electric & Engineering CONTAINS: Kalpataru Projects CONTAINS: KEC International CONTAINS: Ahluwalia Contracts CONTAINS: PSP Projects CONTAINS: Afcons Infrastructure",SECTOR,EPC & Infrastructure
S_WATER,"Type: SECTOR
Name: Water & Environment
Relationships:
CONTAINS: VA Tech Wabag CONTAINS: Ion Exchange India",SECTOR,Water & Environment
C_ONGC,"Type: COMPANY
Name: Oil & Natural Gas Corp
Relationships:
PRODUCES: Crude oil",COMPANY,Oil & Natural Gas Corp
C_ONGC,"Type: COMPANY
Name: Oil & Natural Gas Corp
Relationships:
BENEFITS_FROM: Brent crude price",COMPANY,Oil & Natural Gas Corp
C_ONGC,"Type: COMPANY
Name: Oil & Natural Gas Corp
Relationships:
HURT_BY: Windfall tax / SAED on upstream",COMPANY,Oil & Natural Gas Corp
C_ONGC,"Type: COMPANY
Name: Oil & Natural Gas Corp
Relationships:
OWNS: Hindustan Petroleum OWNS: Mangalore Refinery",COMPANY,Oil & Natural Gas Corp
C_OIL,"Type: COMPANY
Name: Oil India
Relationships:
BENEFITS_FROM: Brent crude price",COMPANY,Oil India
C_GAIL,"Type: COMPANY
Name: GAIL (India)
Relationships:
HEDGES: Strait of Hormuz disruption",COMPANY,GAIL (India)
C_IOC,"Type: COMPANY
Name: Indian Oil
Relationships:
BENEFITS_FROM: Gross refining margin",COMPANY,Indian Oil
C_IOC,"Type: COMPANY
Name: Indian Oil
Relationships:
HURT_BY: Saudi LPG contract price",COMPANY,Indian Oil
C_IOC,"Type: COMPANY
Name: Indian Oil
Relationships:
NEEDS: Crude oil",COMPANY,Indian Oil
C_IOC,"Type: COMPANY
Name: Indian Oil
Relationships:
REGULATED_BY: Administered LPG pricing",COMPANY,Indian Oil
C_BPCL,"Type: COMPANY
Name: Bharat Petroleum
Relationships:
HURT_BY: Saudi LPG contract price",COMPANY,Bharat Petroleum
