source,target,source_name,target_name,source_type,target_type,text,edge_type
22,23,Global urea/DAP/sulphur price,Fertiliser and LPG subsidy bill,MACRO_VAR,MACRO_VAR,Global urea/DAP/sulphur price causes Fertiliser and LPG subsidy bill,CAUSES
24,2,Crude oil,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,Crude oil transits Strait of Hormuz,TRANSITS
25,2,LNG,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,LNG transits Strait of Hormuz,TRANSITS
25,5,LNG,Qatar,RAW_MATERIAL,GEOGRAPHY,LNG sourced from Qatar,SOURCED_FROM
26,2,LPG,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,LPG transits Strait of Hormuz,TRANSITS
28,25,Coal,LNG,RAW_MATERIAL,RAW_MATERIAL,Coal substitutes for LNG,SUBSTITUTES_FOR
29,12,Naphtha,Brent crude price,RAW_MATERIAL,MACRO_VAR,Naphtha price linked to Brent crude price,PRICE_LINKED_TO
32,12,Carbon black feedstock,Brent crude price,RAW_MATERIAL,MACRO_VAR,Carbon black feedstock price linked to Brent crude price,PRICE_LINKED_TO
33,32,Carbon black,Carbon black feedstock,RAW_MATERIAL,RAW_MATERIAL,Carbon black needs Carbon black feedstock,NEEDS
34,12,Base oil,Brent crude price,RAW_MATERIAL,MACRO_VAR,Base oil price linked to Brent crude price,PRICE_LINKED_TO
35,12,Synthetic rubber,Brent crude price,RAW_MATERIAL,MACRO_VAR,Synthetic rubber price linked to Brent crude price,PRICE_LINKED_TO
40,29,HDPE/LLDPE/PP resin,Naphtha,RAW_MATERIAL,RAW_MATERIAL,HDPE/LLDPE/PP resin price linked to Naphtha,PRICE_LINKED_TO
41,12,PVC resin,Brent crude price,RAW_MATERIAL,MACRO_VAR,PVC resin price linked to Brent crude price,PRICE_LINKED_TO
45,12,Petroleum coke,Brent crude price,RAW_MATERIAL,MACRO_VAR,Petroleum coke price linked to Brent crude price,PRICE_LINKED_TO
46,12,Liquid light paraffin,Brent crude price,RAW_MATERIAL,MACRO_VAR,Liquid light paraffin price linked to Brent crude price,PRICE_LINKED_TO
47,2,Urea,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,Urea transits Strait of Hormuz,TRANSITS
47,6,Urea,Oman,RAW_MATERIAL,GEOGRAPHY,Urea sourced from Oman,SOURCED_FROM
48,2,Sulphur,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,Sulphur transits Strait of Hormuz,TRANSITS
48,4,Sulphur,Gulf producers,RAW_MATERIAL,GEOGRAPHY,Sulphur sourced from Gulf producers,SOURCED_FROM
49,2,Ammonia,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,Ammonia transits Strait of Hormuz,TRANSITS
57,12,Aviation turbine fuel,Brent crude price,PRODUCT,MACRO_VAR,Aviation turbine fuel price linked to Brent crude price,PRICE_LINKED_TO
60,59,Ethanol,Petrol,PRODUCT,PRODUCT,Ethanol substitutes for Petrol,SUBSTITUTES_FOR
61,37,Decorative paint,Titanium dioxide,PRODUCT,RAW_MATERIAL,Decorative paint needs Titanium dioxide,NEEDS
61,38,Decorative paint,Solvents,PRODUCT,RAW_MATERIAL,Decorative paint needs Solvents,NEEDS
61,39,Decorative paint,Acrylic monomers,PRODUCT,RAW_MATERIAL,Decorative paint needs Acrylic monomers,NEEDS
62,33,Tyre,Carbon black,PRODUCT,RAW_MATERIAL,Tyre needs Carbon black,NEEDS
62,35,Tyre,Synthetic rubber,PRODUCT,RAW_MATERIAL,Tyre needs Synthetic rubber,NEEDS
62,36,Tyre,Natural rubber,PRODUCT,RAW_MATERIAL,Tyre needs Natural rubber,NEEDS
63,41,PVC pipe,PVC resin,PRODUCT,RAW_MATERIAL,PVC pipe needs PVC resin,NEEDS
64,45,Cement,Petroleum coke,PRODUCT,RAW_MATERIAL,Cement needs Petroleum coke,NEEDS
64,58,Cement,Diesel,PRODUCT,PRODUCT,Cement needs Diesel,NEEDS
65,27,Urea fertiliser,Natural gas,PRODUCT,RAW_MATERIAL,Urea fertiliser needs Natural gas,NEEDS
66,48,DAP/NPK fertiliser,Sulphur,PRODUCT,RAW_MATERIAL,DAP/NPK fertiliser needs Sulphur,NEEDS
66,49,DAP/NPK fertiliser,Ammonia,PRODUCT,RAW_MATERIAL,DAP/NPK fertiliser needs Ammonia,NEEDS
66,50,DAP/NPK fertiliser,Phosphoric acid,PRODUCT,RAW_MATERIAL,DAP/NPK fertiliser needs Phosphoric acid,NEEDS
67,68,Data centre capacity (MW IT load),Power transformer,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs Power transformer,NEEDS
67,69,Data centre capacity (MW IT load),Switchgear / MV-LV distribution,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs Switchgear / MV-LV distribution,NEEDS
67,70,Data centre capacity (MW IT load),UPS / DC power backup,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs UPS / DC power backup,NEEDS
67,71,Data centre capacity (MW IT load),Diesel genset,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs Diesel genset,NEEDS
67,72,Data centre capacity (MW IT load),Precision cooling / CDU,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs Precision cooling / CDU,NEEDS
67,74,Data centre capacity (MW IT load),Power cable,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs Power cable,NEEDS
67,75,Data centre capacity (MW IT load),Optical fibre / interconnect,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs Optical fibre / interconnect,NEEDS
67,77,Data centre capacity (MW IT load),Firm 24x7 power supply,PRODUCT,PRODUCT,Data centre capacity (MW IT load) needs Firm 24x7 power supply,NEEDS
70,55,UPS / DC power backup,Battery cells,PRODUCT,RAW_MATERIAL,UPS / DC power backup needs Battery cells,NEEDS
73,54,Chiller,Refrigerant / dielectric fluid,PRODUCT,RAW_MATERIAL,Chiller needs Refrigerant / dielectric fluid,NEEDS
74,41,Power cable,PVC resin,PRODUCT,RAW_MATERIAL,Power cable needs PVC resin,NEEDS
74,51,Power cable,Copper,PRODUCT,RAW_MATERIAL,Power cable needs Copper,NEEDS
76,56,AI server / GPU system,GPU / AI accelerator,PRODUCT,RAW_MATERIAL,AI server / GPU system needs GPU / AI accelerator,NEEDS
76,84,AI server / GPU system,HBM / advanced packaging,PRODUCT,CONSTRAINT,AI server / GPU system needs HBM / advanced packaging,NEEDS
81,78,Grid stability under volatile DC load ramps,Grid stability equipment (BESS/STATCOM),CONSTRAINT,PRODUCT,Grid stability under volatile DC load ramps causes Grid stability equipment (BESS/STATCOM),CAUSES
81,289,Grid stability under volatile DC load ramps,Hitachi Energy India,CONSTRAINT,COMPANY,Grid stability under volatile DC load ramps causes Hitachi Energy India,CAUSES
81,349,Grid stability under volatile DC load ramps,Exide Industries,CONSTRAINT,COMPANY,Grid stability under volatile DC load ramps causes Exide Industries,CAUSES
81,350,Grid stability under volatile DC load ramps,Amara Raja Energy & Mobility,CONSTRAINT,COMPANY,Grid stability under volatile DC load ramps causes Amara Raja Energy & Mobility,CAUSES
82,355,Water availability,VA Tech Wabag,CONSTRAINT,COMPANY,Water availability causes VA Tech Wabag,CAUSES
85,68,CRGO electrical steel imports,Power transformer,CONSTRAINT,PRODUCT,CRGO electrical steel imports constrains Power transformer,CONSTRAINS
85,293,CRGO electrical steel imports,Voltamp Transformers,CONSTRAINT,COMPANY,CRGO electrical steel imports constrains Voltamp Transformers,CONSTRAINS
88,1,Generative AI,India AI infrastructure capex cycle,TECHNOLOGY,EVENT,Generative AI causes India AI infrastructure capex cycle,CAUSES
89,54,Liquid cooling,Refrigerant / dielectric fluid,TECHNOLOGY,RAW_MATERIAL,Liquid cooling causes Refrigerant / dielectric fluid,CAUSES
89,72,Liquid cooling,Precision cooling / CDU,TECHNOLOGY,PRODUCT,Liquid cooling causes Precision cooling / CDU,CAUSES
90,89,High-density racks,Liquid cooling,TECHNOLOGY,TECHNOLOGY,High-density racks causes Liquid cooling,CAUSES
97,1,21-year DC tax holiday to 2047,India AI infrastructure capex cycle,POLICY,EVENT,21-year DC tax holiday to 2047 enables India AI infrastructure capex cycle,ENABLES
98,1,IndiaAI Mission,India AI infrastructure capex cycle,POLICY,EVENT,IndiaAI Mission enables India AI infrastructure capex cycle,ENABLES
101,1,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)",India AI infrastructure capex cycle,CUSTOMER,EVENT,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI) causes India AI infrastructure capex cycle",CAUSES
101,148,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)",Reliance Industries,CUSTOMER,COMPANY,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI) customer of Reliance Industries",CUSTOMER_OF
104,112,Blackstone,Neysa,INVESTOR,PRIVATE_CO,Blackstone invests in Neysa,INVESTS_IN
104,113,Blackstone,AirTrunk,INVESTOR,PRIVATE_CO,Blackstone invests in AirTrunk,INVESTS_IN
106,11,Reliance Jamnagar AI campus,Gujarat,ASSET,GEOGRAPHY,Reliance Jamnagar AI campus located in Gujarat,LOCATED_IN
107,10,Google Visakhapatnam AI hub,Andhra Pradesh,ASSET,GEOGRAPHY,Google Visakhapatnam AI hub located in Andhra Pradesh,LOCATED_IN
109,335,CtrlS Datacenters,NTPC Green Energy,PRIVATE_CO,COMPANY,CtrlS Datacenters jv with NTPC Green Energy,JV_WITH
115,309,NVIDIA,Netweb Technologies,PRIVATE_CO,COMPANY,NVIDIA supplies to Netweb Technologies,SUPPLIES_TO
117,140,Oil & Gas,Oil & Natural Gas Corp,SECTOR,COMPANY,Oil & Gas contains Oil & Natural Gas Corp,CONTAINS
117,141,Oil & Gas,Oil India,SECTOR,COMPANY,Oil & Gas contains Oil India,CONTAINS
117,142,Oil & Gas,GAIL (India),SECTOR,COMPANY,Oil & Gas contains GAIL (India),CONTAINS
117,143,Oil & Gas,Indian Oil,SECTOR,COMPANY,Oil & Gas contains Indian Oil,CONTAINS
117,144,Oil & Gas,Bharat Petroleum,SECTOR,COMPANY,Oil & Gas contains Bharat Petroleum,CONTAINS
117,145,Oil & Gas,Hindustan Petroleum,SECTOR,COMPANY,Oil & Gas contains Hindustan Petroleum,CONTAINS
117,146,Oil & Gas,Mangalore Refinery,SECTOR,COMPANY,Oil & Gas contains Mangalore Refinery,CONTAINS
117,147,Oil & Gas,Chennai Petroleum,SECTOR,COMPANY,Oil & Gas contains Chennai Petroleum,CONTAINS
117,148,Oil & Gas,Reliance Industries,SECTOR,COMPANY,Oil & Gas contains Reliance Industries,CONTAINS
117,149,Oil & Gas,Petronet LNG,SECTOR,COMPANY,Oil & Gas contains Petronet LNG,CONTAINS
117,150,Oil & Gas,Gujarat State Petronet,SECTOR,COMPANY,Oil & Gas contains Gujarat State Petronet,CONTAINS
117,151,Oil & Gas,Indraprastha Gas,SECTOR,COMPANY,Oil & Gas contains Indraprastha Gas,CONTAINS
117,152,Oil & Gas,Mahanagar Gas,SECTOR,COMPANY,Oil & Gas contains Mahanagar Gas,CONTAINS
117,153,Oil & Gas,Gujarat Gas,SECTOR,COMPANY,Oil & Gas contains Gujarat Gas,CONTAINS
117,154,Oil & Gas,Adani Total Gas,SECTOR,COMPANY,Oil & Gas contains Adani Total Gas,CONTAINS
117,155,Oil & Gas,Selan Exploration,SECTOR,COMPANY,Oil & Gas contains Selan Exploration,CONTAINS
117,221,Oil & Gas,Castrol India,SECTOR,COMPANY,Oil & Gas contains Castrol India,CONTAINS
117,222,Oil & Gas,Gulf Oil Lubricants,SECTOR,COMPANY,Oil & Gas contains Gulf Oil Lubricants,CONTAINS
118,156,Shipping & Logistics,Great Eastern Shipping,SECTOR,COMPANY,Shipping & Logistics contains Great Eastern Shipping,CONTAINS
118,157,Shipping & Logistics,Shipping Corporation of India,SECTOR,COMPANY,Shipping & Logistics contains Shipping Corporation of India,CONTAINS
118,158,Shipping & Logistics,Seamec,SECTOR,COMPANY,Shipping & Logistics contains Seamec,CONTAINS
118,159,Shipping & Logistics,Adani Ports & SEZ,SECTOR,COMPANY,Shipping & Logistics contains Adani Ports & SEZ,CONTAINS
118,160,Shipping & Logistics,JSW Infrastructure,SECTOR,COMPANY,Shipping & Logistics contains JSW Infrastructure,CONTAINS
118,161,Shipping & Logistics,Container Corp of India,SECTOR,COMPANY,Shipping & Logistics contains Container Corp of India,CONTAINS
118,162,Shipping & Logistics,Allcargo Logistics,SECTOR,COMPANY,Shipping & Logistics contains Allcargo Logistics,CONTAINS
118,163,Shipping & Logistics,Transport Corp of India,SECTOR,COMPANY,Shipping & Logistics contains Transport Corp of India,CONTAINS
119,164,Aviation,InterGlobe Aviation,SECTOR,COMPANY,Aviation contains InterGlobe Aviation,CONTAINS
119,165,Aviation,SpiceJet,SECTOR,COMPANY,Aviation contains SpiceJet,CONTAINS
120,178,Chemicals,PCBL,SECTOR,COMPANY,Chemicals contains PCBL,CONTAINS
120,179,Chemicals,Himadri Speciality Chemical,SECTOR,COMPANY,Chemicals contains Himadri Speciality Chemical,CONTAINS
120,180,Chemicals,Supreme Industries,SECTOR,COMPANY,Chemicals contains Supreme Industries,CONTAINS
120,181,Chemicals,Astral,SECTOR,COMPANY,Chemicals contains Astral,CONTAINS
120,182,Chemicals,Finolex Industries,SECTOR,COMPANY,Chemicals contains Finolex Industries,CONTAINS
120,183,Chemicals,Prince Pipes,SECTOR,COMPANY,Chemicals contains Prince Pipes,CONTAINS
120,184,Chemicals,Polyplex,SECTOR,COMPANY,Chemicals contains Polyplex,CONTAINS
120,185,Chemicals,Cosmo First,SECTOR,COMPANY,Chemicals contains Cosmo First,CONTAINS
120,186,Chemicals,UFlex,SECTOR,COMPANY,Chemicals contains UFlex,CONTAINS
120,187,Chemicals,EPL Ltd,SECTOR,COMPANY,Chemicals contains EPL Ltd,CONTAINS
120,188,Chemicals,Time Technoplast,SECTOR,COMPANY,Chemicals contains Time Technoplast,CONTAINS
120,189,Chemicals,SRF,SECTOR,COMPANY,Chemicals contains SRF,CONTAINS
120,190,Chemicals,Navin Fluorine,SECTOR,COMPANY,Chemicals contains Navin Fluorine,CONTAINS
120,191,Chemicals,Gujarat Fluorochemicals,SECTOR,COMPANY,Chemicals contains Gujarat Fluorochemicals,CONTAINS
120,192,Chemicals,Aarti Industries,SECTOR,COMPANY,Chemicals contains Aarti Industries,CONTAINS
120,193,Chemicals,Deepak Nitrite,SECTOR,COMPANY,Chemicals contains Deepak Nitrite,CONTAINS
120,194,Chemicals,Atul,SECTOR,COMPANY,Chemicals contains Atul,CONTAINS
120,195,Chemicals,Vinati Organics,SECTOR,COMPANY,Chemicals contains Vinati Organics,CONTAINS
120,196,Chemicals,Tata Chemicals,SECTOR,COMPANY,Chemicals contains Tata Chemicals,CONTAINS
120,197,Chemicals,GHCL,SECTOR,COMPANY,Chemicals contains GHCL,CONTAINS
120,198,Chemicals,Alkyl Amines,SECTOR,COMPANY,Chemicals contains Alkyl Amines,CONTAINS
121,199,Fertilisers & Agri-inputs,Chambal Fertilisers,SECTOR,COMPANY,Fertilisers & Agri-inputs contains Chambal Fertilisers,CONTAINS
121,200,Fertilisers & Agri-inputs,Coromandel International,SECTOR,COMPANY,Fertilisers & Agri-inputs contains Coromandel International,CONTAINS
121,201,Fertilisers & Agri-inputs,GNFC,SECTOR,COMPANY,Fertilisers & Agri-inputs contains GNFC,CONTAINS
121,202,Fertilisers & Agri-inputs,GSFC,SECTOR,COMPANY,Fertilisers & Agri-inputs contains GSFC,CONTAINS
121,203,Fertilisers & Agri-inputs,Rashtriya Chemicals & Fertilizers,SECTOR,COMPANY,Fertilisers & Agri-inputs contains Rashtriya Chemicals & Fertilizers,CONTAINS
121,204,Fertilisers & Agri-inputs,National Fertilizers,SECTOR,COMPANY,Fertilisers & Agri-inputs contains National Fertilizers,CONTAINS
121,205,Fertilisers & Agri-inputs,Deepak Fertilisers,SECTOR,COMPANY,Fertilisers & Agri-inputs contains Deepak Fertilisers,CONTAINS
121,206,Fertilisers & Agri-inputs,Paradeep Phosphates,SECTOR,COMPANY,Fertilisers & Agri-inputs contains Paradeep Phosphates,CONTAINS
121,207,Fertilisers & Agri-inputs,FACT,SECTOR,COMPANY,Fertilisers & Agri-inputs contains FACT,CONTAINS
121,208,Fertilisers & Agri-inputs,UPL,SECTOR,COMPANY,Fertilisers & Agri-inputs contains UPL,CONTAINS
121,209,Fertilisers & Agri-inputs,PI Industries,SECTOR,COMPANY,Fertilisers & Agri-inputs contains PI Industries,CONTAINS
121,210,Fertilisers & Agri-inputs,Rallis India,SECTOR,COMPANY,Fertilisers & Agri-inputs contains Rallis India,CONTAINS
122,166,Paints & Adhesives,Asian Paints,SECTOR,COMPANY,Paints & Adhesives contains Asian Paints,CONTAINS
122,167,Paints & Adhesives,Berger Paints,SECTOR,COMPANY,Paints & Adhesives contains Berger Paints,CONTAINS
122,168,Paints & Adhesives,Kansai Nerolac,SECTOR,COMPANY,Paints & Adhesives contains Kansai Nerolac,CONTAINS
122,169,Paints & Adhesives,Indigo Paints,SECTOR,COMPANY,Paints & Adhesives contains Indigo Paints,CONTAINS
122,170,Paints & Adhesives,Akzo Nobel India,SECTOR,COMPANY,Paints & Adhesives contains Akzo Nobel India,CONTAINS
122,171,Paints & Adhesives,Pidilite Industries,SECTOR,COMPANY,Paints & Adhesives contains Pidilite Industries,CONTAINS
122,172,Paints & Adhesives,Grasim Industries,SECTOR,COMPANY,Paints & Adhesives contains Grasim Industries,CONTAINS
123,173,Tyres,MRF,SECTOR,COMPANY,Tyres contains MRF,CONTAINS
123,174,Tyres,Apollo Tyres,SECTOR,COMPANY,Tyres contains Apollo Tyres,CONTAINS
123,175,Tyres,CEAT,SECTOR,COMPANY,Tyres contains CEAT,CONTAINS
123,176,Tyres,JK Tyre,SECTOR,COMPANY,Tyres contains JK Tyre,CONTAINS
123,177,Tyres,Balkrishna Industries,SECTOR,COMPANY,Tyres contains Balkrishna Industries,CONTAINS
124,215,Capital Goods & Electricals,Praj Industries,SECTOR,COMPANY,Capital Goods & Electricals contains Praj Industries,CONTAINS
124,286,Capital Goods & Electricals,ABB India,SECTOR,COMPANY,Capital Goods & Electricals contains ABB India,CONTAINS
124,287,Capital Goods & Electricals,Siemens India,SECTOR,COMPANY,Capital Goods & Electricals contains Siemens India,CONTAINS
124,288,Capital Goods & Electricals,Siemens Energy India,SECTOR,COMPANY,Capital Goods & Electricals contains Siemens Energy India,CONTAINS
124,289,Capital Goods & Electricals,Hitachi Energy India,SECTOR,COMPANY,Capital Goods & Electricals contains Hitachi Energy India,CONTAINS
124,290,Capital Goods & Electricals,GE Vernova T&D India,SECTOR,COMPANY,Capital Goods & Electricals contains GE Vernova T&D India,CONTAINS
124,291,Capital Goods & Electricals,Schneider Electric Infrastructure,SECTOR,COMPANY,Capital Goods & Electricals contains Schneider Electric Infrastructure,CONTAINS
124,292,Capital Goods & Electricals,CG Power & Industrial Solutions,SECTOR,COMPANY,Capital Goods & Electricals contains CG Power & Industrial Solutions,CONTAINS
124,293,Capital Goods & Electricals,Voltamp Transformers,SECTOR,COMPANY,Capital Goods & Electricals contains Voltamp Transformers,CONTAINS
124,294,Capital Goods & Electricals,Transformers & Rectifiers India,SECTOR,COMPANY,Capital Goods & Electricals contains Transformers & Rectifiers India,CONTAINS
124,295,Capital Goods & Electricals,Shilchar Technologies,SECTOR,COMPANY,Capital Goods & Electricals contains Shilchar Technologies,CONTAINS
124,296,Capital Goods & Electricals,Cummins India,SECTOR,COMPANY,Capital Goods & Electricals contains Cummins India,CONTAINS
124,297,Capital Goods & Electricals,Kirloskar Oil Engines,SECTOR,COMPANY,Capital Goods & Electricals contains Kirloskar Oil Engines,CONTAINS
124,298,Capital Goods & Electricals,HBL Engineering,SECTOR,COMPANY,Capital Goods & Electricals contains HBL Engineering,CONTAINS
124,299,Capital Goods & Electricals,Apar Industries,SECTOR,COMPANY,Capital Goods & Electricals contains Apar Industries,CONTAINS
124,300,Capital Goods & Electricals,HPL Electric & Power,SECTOR,COMPANY,Capital Goods & Electricals contains HPL Electric & Power,CONTAINS
124,301,Capital Goods & Electricals,BHEL,SECTOR,COMPANY,Capital Goods & Electricals contains BHEL,CONTAINS
124,302,Capital Goods & Electricals,Thermax,SECTOR,COMPANY,Capital Goods & Electricals contains Thermax,CONTAINS
125,303,HVAC & Thermal Management,Blue Star,SECTOR,COMPANY,HVAC & Thermal Management contains Blue Star,CONTAINS
125,304,HVAC & Thermal Management,Voltas,SECTOR,COMPANY,HVAC & Thermal Management contains Voltas,CONTAINS
125,305,HVAC & Thermal Management,KRN Heat Exchanger,SECTOR,COMPANY,HVAC & Thermal Management contains KRN Heat Exchanger,CONTAINS
125,306,HVAC & Thermal Management,Amber Enterprises,SECTOR,COMPANY,HVAC & Thermal Management contains Amber Enterprises,CONTAINS
125,307,HVAC & Thermal Management,Johnson Controls-Hitachi AC India,SECTOR,COMPANY,HVAC & Thermal Management contains Johnson Controls-Hitachi AC India,CONTAINS
125,308,HVAC & Thermal Management,EPACK Durable,SECTOR,COMPANY,HVAC & Thermal Management contains EPACK Durable,CONTAINS
126,320,Cables & Wires,Polycab India,SECTOR,COMPANY,Cables & Wires contains Polycab India,CONTAINS
126,321,Cables & Wires,KEI Industries,SECTOR,COMPANY,Cables & Wires contains KEI Industries,CONTAINS
126,322,Cables & Wires,R R Kabel,SECTOR,COMPANY,Cables & Wires contains R R Kabel,CONTAINS
126,323,Cables & Wires,Finolex Cables,SECTOR,COMPANY,Cables & Wires contains Finolex Cables,CONTAINS
126,324,Cables & Wires,Ram Ratna Wires,SECTOR,COMPANY,Cables & Wires contains Ram Ratna Wires,CONTAINS
126,325,Cables & Wires,Precision Wires India,SECTOR,COMPANY,Cables & Wires contains Precision Wires India,CONTAINS
126,326,Cables & Wires,Skipper,SECTOR,COMPANY,Cables & Wires contains Skipper,CONTAINS
127,309,EMS & Compute Hardware,Netweb Technologies,SECTOR,COMPANY,EMS & Compute Hardware contains Netweb Technologies,CONTAINS
127,310,EMS & Compute Hardware,Dixon Technologies,SECTOR,COMPANY,EMS & Compute Hardware contains Dixon Technologies,CONTAINS
127,311,EMS & Compute Hardware,Kaynes Technology,SECTOR,COMPANY,EMS & Compute Hardware contains Kaynes Technology,CONTAINS
127,312,EMS & Compute Hardware,Syrma SGS Technology,SECTOR,COMPANY,EMS & Compute Hardware contains Syrma SGS Technology,CONTAINS
127,313,EMS & Compute Hardware,Cyient DLM,SECTOR,COMPANY,EMS & Compute Hardware contains Cyient DLM,CONTAINS
127,314,EMS & Compute Hardware,Tata Elxsi,SECTOR,COMPANY,EMS & Compute Hardware contains Tata Elxsi,CONTAINS
127,315,EMS & Compute Hardware,MosChip Technologies,SECTOR,COMPANY,EMS & Compute Hardware contains MosChip Technologies,CONTAINS
128,211,Power & Utilities,Coal India,SECTOR,COMPANY,Power & Utilities contains Coal India,CONTAINS
128,276,Power & Utilities,Adani Enterprises,SECTOR,COMPANY,Power & Utilities contains Adani Enterprises,CONTAINS
128,334,Power & Utilities,NTPC,SECTOR,COMPANY,Power & Utilities contains NTPC,CONTAINS
128,335,Power & Utilities,NTPC Green Energy,SECTOR,COMPANY,Power & Utilities contains NTPC Green Energy,CONTAINS
128,336,Power & Utilities,Power Grid Corporation,SECTOR,COMPANY,Power & Utilities contains Power Grid Corporation,CONTAINS
128,337,Power & Utilities,Tata Power,SECTOR,COMPANY,Power & Utilities contains Tata Power,CONTAINS
128,338,Power & Utilities,Adani Power,SECTOR,COMPANY,Power & Utilities contains Adani Power,CONTAINS
128,339,Power & Utilities,Adani Green Energy,SECTOR,COMPANY,Power & Utilities contains Adani Green Energy,CONTAINS
128,340,Power & Utilities,JSW Energy,SECTOR,COMPANY,Power & Utilities contains JSW Energy,CONTAINS
128,341,Power & Utilities,Torrent Power,SECTOR,COMPANY,Power & Utilities contains Torrent Power,CONTAINS
128,342,Power & Utilities,NHPC,SECTOR,COMPANY,Power & Utilities contains NHPC,CONTAINS
128,343,Power & Utilities,Indian Energy Exchange,SECTOR,COMPANY,Power & Utilities contains Indian Energy Exchange,CONTAINS
128,344,Power & Utilities,Suzlon Energy,SECTOR,COMPANY,Power & Utilities contains Suzlon Energy,CONTAINS
