text,ground_truth
What was Canara Bank's CASA ratio in the most recently reported quarter?,29.70% in Q1 FY27 — lower than several peers running CASA ratios above 35%.
What are Canara Bank's gross NPA and net NPA ratios?,Gross NPA 1.57% and net NPA 0.36%.
"What is Canara Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 17.17% with CET1 12.91%.
What are Canara Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on equity 18.31% and return on assets 1.04%.
What was Canara Bank's total advances (loan book) and deposit growth in the latest quarter?,Advances grew 17.97% year-on-year and deposits 11.63%.
"What credit ratings has Canara Bank received, and from which rating agencies?","No current, dated credit rating for Canara Bank could be confirmed in this dataset."
"Roughly how many branches and ATMs does Canara Bank operate, and as of what date?","9,861 branches and a combination of 7,907 ATMs and 2,940 cash-recycling machines as of June 2025, plus international operations in the UK, UAE, US, Hong Kong, China, Bahrain and Tanzania."
"What products and services does Canara Bank offer, and which customer segments does it serve?","Standard product range plus trade finance, treasury, forex, cash management, and insurance/asset-management distribution through its Canara HSBC Life Insurance and Canara Robeco Asset Management joint ventures."
What is Union Bank of India's ticker symbol and on which exchange(s) does it trade?,"UNIONBANK, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Union Bank of India?","Asheesh Pandey was appointed MD & CEO in 2026, succeeding A. Manimekhalai; the current non-executive chairman could not be confirmed (sources conflict on whether Srinivasan Varadarajan still holds the role)."
"What percentage of Union Bank of India is held by its government promoter or largest shareholder, and as of what date?","Reported at roughly 74.76% by one source (ChoiceIndia), though the exact reporting period behind that figure is ambiguous."
What was Union Bank of India's CASA ratio in the most recently reported quarter?,"No precise ratio given; management referenced average CASA balances exceeding ₹24,000 crore."
What is Union Bank of India's net interest margin (NIM) for the latest reported period?,2.80% per the earnings-call transcript.
What are Union Bank of India's gross NPA and net NPA ratios?,Gross NPA improved to 2.65% from 3.52% a year earlier; net NPA 0.47%.
"What is Union Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Capital adequacy 18.46%; a separate Fitch-linked release cited CET1 at 15.7%, which does not obviously reconcile with the capital-adequacy figure and is left unresolved."
What are Union Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Return on assets 1.36%, described by management as having held for three consecutive quarters."
What was Union Bank of India's total advances (loan book) and deposit growth in the latest quarter?,Advances growth of 12.50% year-on-year and deposit growth of just 3.50% were both cited only in a single lower-confidence secondary source and should be treated cautiously.
"What credit ratings has Union Bank of India received, and from which rating agencies?",Fitch upgraded the Viability Rating from bb- to bb and affirmed the Long-Term Issuer Default Rating at BBB- Stable.
"Roughly how many branches and ATMs does Union Bank of India operate, and as of what date?","Branch count was 8,621 with 8,910 ATMs as of March 2025; an unconfirmed later 2026 reference put this closer to 8,697 branches (including two overseas) and 8,656 ATMs, with an international presence in Hong Kong, Sydney, Dubai, the UK, Shanghai, Beijing and Abu Dhabi."
"What products and services does Union Bank of India offer, and which customer segments does it serve?","Standard retail, MSME, agricultural and corporate suite, trade finance, treasury, forex and cash-management services."
What is Bank of India's ticker symbol and on which exchange(s) does it trade?,"BANKINDIA, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Bank of India?","Rajneesh Karnatak is MD & CEO, with his term extended by three years."
"What percentage of Bank of India is held by its government promoter or largest shareholder, and as of what date?","Government ownership was cited at 73.38% by Angel One, though the reporting period was not specified."
What was Bank of India's CASA ratio in the most recently reported quarter?,36.68% in Q1 FY27.
What is Bank of India's net interest margin (NIM) for the latest reported period?,2.52% globally.
What are Bank of India's gross NPA and net NPA ratios?,Gross NPA down 111 basis points year-on-year to 1.81%; net NPA down 24 basis points to 0.51%.
"What is Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Capital adequacy 18.69%, up from 17.39%."
What are Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 1.01%.
What was Bank of India's total advances (loan book) and deposit growth in the latest quarter?,Global advances grew 18.84% year-on-year to ₹7.98 lakh crore (domestic gross advances up 19.20% to ₹6.74 lakh crore); global deposits grew 14.90% to ₹9.58 lakh crore.
"What credit ratings has Bank of India received, and from which rating agencies?","No current, dated credit rating for Bank of India could be confirmed in this dataset."
"Roughly how many branches and ATMs does Bank of India operate, and as of what date?","Domestic branch count 5,202 with 8,166 ATMs; overseas branch count is unclear (one figure cites 60, another from the same source cites 22 — not reconciled), via five subsidiaries and one joint venture abroad."
"What products and services does Bank of India offer, and which customer segments does it serve?","Standard retail, MSME, agricultural and corporate range plus trade finance, treasury, forex and cash-management services."
What is Indian Bank's ticker symbol and on which exchange(s) does it trade?,"INDIANB, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Indian Bank?",Binod Kumar has been MD & CEO since January 2025. Current non-executive chairman: not stated.
"What percentage of Indian Bank is held by its government promoter or largest shareholder, and as of what date?","Government ownership stood at 73.84% (source: CRISIL's rating rationale, dated 6 February 2026)."
What are Indian Bank's gross NPA and net NPA ratios?,Gross NPA improved to 1.86% and net NPA to 0.15%.
"What is Indian Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 17.58% and CET1 16.51%.
What are Indian Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Net profit up roughly 10% year-on-year (standalone ROA/ROE not stated).
What was Indian Bank's total advances (loan book) and deposit growth in the latest quarter?,Deposits grew 13.5% year-on-year and credit grew 14%.
"What credit ratings has Indian Bank received, and from which rating agencies?","CRISIL, reaffirmed 6 February 2026: AAA Stable on Tier II Basel III bonds and infrastructure bonds, AA+ Stable on Additional Tier I bonds, and A1+ on its certificate-of-deposit programme."
"Roughly how many branches and ATMs does Indian Bank operate, and as of what date?","6,001 branches and 5,657 ATMs/cash-recycling machines, plus international branches in Colombo and Singapore and a correspondent-banking network of 227 banks across 75 countries."
"What products and services does Indian Bank offer, and which customer segments does it serve?","Standard deposit/loan suite plus trade finance, forex, treasury, cash management and wealth management, with a strategic focus on RAM (retail, agriculture, MSME) plus infrastructure lending."
What is Central Bank of India's ticker symbol and on which exchange(s) does it trade?,"CENTRALBK, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Central Bank of India?",Kalyan Kumar took charge as MD & CEO on 1 October 2025; Tapan Ray is reported as non-executive chairman (not independently re-verified).
"What percentage of Central Bank of India is held by its government promoter or largest shareholder, and as of what date?","Government ownership was 89.27% as of 31 March 2025, a figure still being referenced into 2026 filings."
What was Central Bank of India's CASA ratio in the most recently reported quarter?,A notably strong 46.61% in Q1 FY27 — among the higher levels in the PSU peer group.
What is Central Bank of India's net interest margin (NIM) for the latest reported period?,3.06%.
What are Central Bank of India's gross NPA and net NPA ratios?,Gross NPA 2.60% (improved but still a legacy overhang relative to sub-2% peers); net NPA 0.49%.
"What is Central Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 18.28% with CET1 16.54%.
What are Central Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 1.00% and return on equity 14.92%.
What was Central Bank of India's total advances (loan book) and deposit growth in the latest quarter?,"Total advances reached ₹354,348 crore, up 28.58% year-on-year, while deposit growth of 11.68% lagged well behind."
"What credit ratings has Central Bank of India received, and from which rating agencies?",India Ratings reaffirmed an IND AA Stable rating on the bank's Tier II bonds.
"Roughly how many branches and ATMs does Central Bank of India operate, and as of what date?","Most recently verified branch and ATM counts — 4,608 branches and 3,644 ATMs — date to March 2021, with no current figure found."
"What products and services does Central Bank of India offer, and which customer segments does it serve?","Retail, MSME and agricultural focus on a legacy, branch-heavy network."
What is Indian Overseas Bank's ticker symbol and on which exchange(s) does it trade?,"IOB, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Indian Overseas Bank?",Ajay Kumar Srivastava's tenure as MD & CEO was extended until 2027; Srinivasan Sridhar was appointed part-time non-official director and non-executive chairman.
"What percentage of Indian Overseas Bank is held by its government promoter or largest shareholder, and as of what date?","Reported at 92.44% in a SEBI compliance filing of uncertain period; the government launched an offer-for-sale of up to 3% in December 2025, implying a somewhat lower post-sale holding that was not precisely found."
What was Indian Overseas Bank's CASA ratio in the most recently reported quarter?,Global CASA ratio fell to 41.05% from 43.78% a year earlier.
What is Indian Overseas Bank's net interest margin (NIM) for the latest reported period?,Domestic net interest margin 3.48% and global margin 3.37%.
What are Indian Overseas Bank's gross NPA and net NPA ratios?,Gross NPA improved to 1.33% from 1.97% a year earlier; net NPA 0.18%.
"What is Indian Overseas Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 19.36%.
What are Indian Overseas Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Net profit rose 49.32% year-on-year to ₹1,659 crore (standalone ROA/ROE not stated)."
What was Indian Overseas Bank's total advances (loan book) and deposit growth in the latest quarter?,"Global advances reached ₹3.22 trillion, up 22.75% year-on-year; deposit growth 13.72% year-on-year."
"What credit ratings has Indian Overseas Bank received, and from which rating agencies?",ICRA assigned/reaffirmed an AA Stable rating on the bank's Basel III Tier II bonds.
"Roughly how many branches and ATMs does Indian Overseas Bank operate, and as of what date?","Most recently verified counts — 3,236 branches, 3,506 ATMs, 6,379 banking correspondents — date to March 2024, plus representative offices in Guangzhou, Kuala Lumpur and Dubai and a 35% stake in a Malaysian joint-venture bank, India International Bank (Malaysia)."
"What products and services does Indian Overseas Bank offer, and which customer segments does it serve?","Standard product suite, trade finance, forex, treasury and cash management including an offshore banking unit in Colombo, serving retail, MSME, agricultural, corporate and NRI customers including the Tamil diaspora."
What is UCO Bank's ticker symbol and on which exchange(s) does it trade?,"UCOBANK, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of UCO Bank?","Wikipedia names Ashwani Kumar as MD & CEO, but coverage suggests he demitted office on completing his tenure, so the current incumbent could not be reliably confirmed; Aravamudan Krishna Kumar is reported as non-executive chairman (moderate confidence)."
"What percentage of UCO Bank is held by its government promoter or largest shareholder, and as of what date?","Government ownership was 90.95% as of the December 2025 quarter, down from 95.39% a year earlier."
What is UCO Bank's net interest margin (NIM) for the latest reported period?,Around 3%.
"What is UCO Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","A capital ratio of 17.12% was separately cited for FY26 (medium confidence, secondary sourcing)."
What was UCO Bank's total advances (loan book) and deposit growth in the latest quarter?,Total advances up 21.33% year-on-year as of 30 June 2026; total business crossed ₹6 lakh crore.
"What credit ratings has UCO Bank received, and from which rating agencies?",CARE Ratings upgraded UCO Bank's bond rating to AA Stable; CRISIL reaffirmed an A1+ short-term rating on its certificate-of-deposit programme.
"Roughly how many branches and ATMs does UCO Bank operate, and as of what date?","Branch and ATM counts of 3,302 and 2,613 respectively date to March 2025, plus two overseas branches in Singapore and Hong Kong and a representative office in Tehran."
"What products and services does UCO Bank offer, and which customer segments does it serve?",Standard banking services with a historically strong presence in East and Northeast India; management cites 'digital business' tripling.
What is Bank of Maharashtra's ticker symbol and on which exchange(s) does it trade?,"MAHABANK, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Bank of Maharashtra?",Nidhu Saxena has been MD & CEO since March 2024. Current non-executive chairman: not stated.
"What percentage of Bank of Maharashtra is held by its government promoter or largest shareholder, and as of what date?","Government ownership was 79.60% as of March 2025, though a December 2025 offer-for-sale raised ₹2,492 crore for the government, implying further dilution below that figure without a precise updated number found."
What was Bank of Maharashtra's CASA ratio in the most recently reported quarter?,No ratio given; the bank is described as having repeatedly led PSU peers on CASA growth.
What are Bank of Maharashtra's gross NPA and net NPA ratios?,Gross NPA at just 1.45% — among the best asset-quality figures of any PSU bank in the dataset.
What are Bank of Maharashtra's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Standalone ROA/ROE not stated; net profit growth of 27% year-on-year (₹2,020 crore) is the cited metric."
What was Bank of Maharashtra's total advances (loan book) and deposit growth in the latest quarter?,"Total business reached ₹6.51 lakh crore, up 19% year-on-year."
"What credit ratings has Bank of Maharashtra received, and from which rating agencies?",CRISIL reaffirmed an A1+ rating on the certificate-of-deposit programme (dating to November 2024; a 2026 refresh was not independently confirmed).
"Roughly how many branches and ATMs does Bank of Maharashtra operate, and as of what date?","2,641 branches as of June 2025."
"What products and services does Bank of Maharashtra offer, and which customer segments does it serve?",Standard PSU banking suite with a track record of leading peers on loan and CASA growth.
What is Punjab & Sind Bank's ticker symbol and on which exchange(s) does it trade?,"PSB, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Punjab & Sind Bank?",Swarup Kumar Saha's tenure as MD was extended until February 2027; Charan Singh is reported as non-executive chairman (moderate confidence).
"What percentage of Punjab & Sind Bank is held by its government promoter or largest shareholder, and as of what date?",Government ownership was unchanged at 93.85% as of the June 2025 quarter — the highest government-ownership concentration of any PSU bank in the dataset.
What are Punjab & Sind Bank's gross NPA and net NPA ratios?,Gross NPA down to 2.21% from 3.34%; net NPA down to 0.65% from 0.91%.
"What is Punjab & Sind Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 17.61% with CET1 16.56%.
What are Punjab & Sind Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Net profit up 23.17% year-on-year to ₹331.51 crore (standalone ROA/ROE not stated).
What was Punjab & Sind Bank's total advances (loan book) and deposit growth in the latest quarter?,"Advances reached ₹1,17,419 crore, up from ₹97,622 crore a year earlier (roughly 20% growth); a separately reported deposit figure of ₹14,71,296 crore is flagged as almost certainly a data-extraction error and is not reported as fact."
"What credit ratings has Punjab & Sind Bank received, and from which rating agencies?","CRISIL reaffirmed an AA Stable rating on 10 September 2025 on its ₹500 crore Tier II bonds and ₹3,000 crore infrastructure bonds."
"Roughly how many branches and ATMs does Punjab & Sind Bank operate, and as of what date?","1,817 branches as of June 2025, the largest single concentration (635 branches) within Punjab itself; a 2023 target of 4,000 combined branches/ATMs by March 2026 does not appear confirmed as met."
"What products and services does Punjab & Sind Bank offer, and which customer segments does it serve?","Punjab-region-concentrated retail, agricultural and MSME franchise — the smallest of the twelve PSU banks by scale."
What is HDFC Bank's ticker symbol and on which exchange(s) does it trade?,"HDFCBANK on the NSE and BSE; ADR ""HDB"" on the NYSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of HDFC Bank?",Sashidhar Jagdishan is MD & CEO but has announced retirement effective 26 October 2026 with no successor yet named; Atanu Chakraborty is chairman.
"What percentage of HDFC Bank is held by its government promoter or largest shareholder, and as of what date?","No promoter since HDFC Limited merged into the bank in July 2023. As of September 2026: FIIs 41.82%, domestic institutions 41.75%, public 16.27%, Government of India 0.18%."
What was HDFC Bank's CASA ratio in the most recently reported quarter?,32% in Q1 FY27.
What is HDFC Bank's net interest margin (NIM) for the latest reported period?,"3.26%, well below the bank's historical range of roughly 4%."
What are HDFC Bank's gross NPA and net NPA ratios?,A net-NPA figure could not be reliably reported this session because the extracted figure was internally inconsistent (it exceeded the gross-NPA figure). Gross NPA excluding agriculture is 0.91% against a headline figure of 1.17%.
"What is HDFC Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 19.6% with CET1 17.4%.
What are HDFC Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 1.85%; return on equity 13.8%.
What was HDFC Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹31,708 billion, up 14.7% year-on-year; gross advances ₹30,608 billion, up 15.4%."
"What credit ratings has HDFC Bank received, and from which rating agencies?","No current, dated credit rating could be confirmed, though the bank is widely understood to carry top-tier domestic ratings."
"Roughly how many branches and ATMs does HDFC Bank operate, and as of what date?","9,694 branches; a current ATM count was not found."
"What products and services does HDFC Bank offer, and which customer segments does it serve?","Universal-bank model spanning retail, wholesale/corporate and treasury business plus third-party insurance and mutual-fund distribution — home, auto and personal loans, credit cards, SME and corporate loans, treasury, forex, wealth management, cash management, custody and NRI banking, serving retail, affluent, NRI, SME, mid-market, large-corporate and government customers."
What is ICICI Bank's ticker symbol and on which exchange(s) does it trade?,"ICICIBANK on the NSE and BSE; ADR ""IBN"" on the NYSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of ICICI Bank?","This session's research budget was exhausted before the bank's current MD & CEO and chairman could be independently re-confirmed, so those names are not reported here."
"What percentage of ICICI Bank is held by its government promoter or largest shareholder, and as of what date?","No promoter. FIIs and domestic institutions each held roughly 45% as of December 2024 data, with LIC around 7% (dated figures)."
What was ICICI Bank's CASA ratio in the most recently reported quarter?,38.1% average in Q1 FY27.
What is ICICI Bank's net interest margin (NIM) for the latest reported period?,4.36%.
What are ICICI Bank's gross NPA and net NPA ratios?,Gross NPA 1.38%; net NPA 0.35%.
"What is ICICI Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 16.84% with CET1 16.19%.
What are ICICI Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 2.18% (sector-leading); return on equity 11.90%.
What was ICICI Bank's total advances (loan book) and deposit growth in the latest quarter?,"Deposits ₹18,33,586 crore, up 14.0% year-on-year; total advances ₹16,31,260 crore, up 19.6% (retail 49.2% of the portfolio, up 12.0%; business banking up 28.2%; domestic corporate up 18.5%; rural lending up 35.4%, the fastest-growing segment)."
"What credit ratings has ICICI Bank received, and from which rating agencies?","No current, dated credit rating could be confirmed this session."
"Roughly how many branches and ATMs does ICICI Bank operate, and as of what date?","7,608 branches and 12,190 ATMs and cash-recycling machines."
"What products and services does ICICI Bank offer, and which customer segments does it serve?","Universal-bank model with retail, SME and corporate franchise and a large digital-payments footprint via iMobile Pay and InstaBIZ — home, auto and personal loans, credit cards, business-banking products, corporate/wholesale credit, treasury, wealth management, cash management and NRI banking."
What is Axis Bank's ticker symbol and on which exchange(s) does it trade?,AXISBANK on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Axis Bank?",Amitabh Chaudhry is MD & CEO; N. S. Vishwanathan is non-executive chairman (RBI approved his reappointment).
"What percentage of Axis Bank is held by its government promoter or largest shareholder, and as of what date?","A residual promoter category of 7.87% as of September 2026. FIIs 39.91%, domestic institutions 4.62% (mutual funds 33.00%, insurance 5.07%), retail 6.43%."
What was Axis Bank's CASA ratio in the most recently reported quarter?,38% in Q1 FY27.
What is Axis Bank's net interest margin (NIM) for the latest reported period?,3.46% — a cycle low.
What are Axis Bank's gross NPA and net NPA ratios?,Gross NPA stable at 1.28%; net NPA 0.39%.
"What is Axis Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 16.67%; CET1 14.64%.
What are Axis Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 1.51%; return on equity 14.16%.
What was Axis Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹13,72,936 crore, up 18% year-on-year; total advances ₹12,61,557 crore, up 19% (corporate lending up 38%, SME up 25%, retail up only 8%)."
"What credit ratings has Axis Bank received, and from which rating agencies?","India Ratings assigned Axis Bank's fixed deposits an IND AAA rating; a broader CRISIL reaffirmation dates to November 2024, with no precise 2026 refresh found."
"Roughly how many branches and ATMs does Axis Bank operate, and as of what date?","6,295 domestic branches including extension counters, up 7% year-on-year."
"What products and services does Axis Bank offer, and which customer segments does it serve?","Universal-bank model with growing corporate and SME lending alongside retail, wealth management under its Burgundy brand, NRI banking, cash management and trade finance."
What is Kotak Mahindra Bank's ticker symbol and on which exchange(s) does it trade?,KOTAKBANK on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Kotak Mahindra Bank?","Ashok Vaswani is MD & CEO but has announced he will step down at the end of December 2026 with no successor yet named; C. S. Rajan is part-time, non-executive chairman."
"What percentage of Kotak Mahindra Bank is held by its government promoter or largest shareholder, and as of what date?","Promoted by the Kotak family (principally Uday Kotak), holding 25.87% as of September 2026 (a figure the dataset flags as worth treating cautiously against the historical ~30%-reduced-to-below-20% RBI directive). FIIs 25.21%, domestic institutions 3.19% (mutual funds 24.50%, insurance 10.01%), retail 11.22%."
What was Kotak Mahindra Bank's CASA ratio in the most recently reported quarter?,"40.30%, down 60 basis points year-on-year — among the highest of any listed private bank in the dataset."
What is Kotak Mahindra Bank's net interest margin (NIM) for the latest reported period?,"4.53%, down 12 basis points year-on-year."
What are Kotak Mahindra Bank's gross NPA and net NPA ratios?,Gross NPA 1.18%; net NPA 0.27%.
"What is Kotak Mahindra Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 22.8% with CET1 22.4%.
What are Kotak Mahindra Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on equity 11.98%. An extracted return-on-assets figure of 0.53% looks anomalously low against the bank's typical range of over 2% and could not be corroborated — not reported here as reliable.
What was Kotak Mahindra Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹5,72,820 crore, up 12% year-on-year; total advances ₹5,12,249 crore, up 15%."
"What credit ratings has Kotak Mahindra Bank received, and from which rating agencies?","No current, dated credit rating could be confirmed this session."
"Roughly how many branches and ATMs does Kotak Mahindra Bank operate, and as of what date?","2,301 branches and 2,734 ATMs including cash recyclers."
"What products and services does Kotak Mahindra Bank offer, and which customer segments does it serve?","Conservative, historically high-margin retail and SME franchise alongside a large group ecosystem (NBFC, insurance, asset management, securities) cross-sold via Kotak Mahindra Asset Management, Kotak Life Insurance and Kotak Securities."
What is IndusInd Bank's ticker symbol and on which exchange(s) does it trade?,INDUSINDBK on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of IndusInd Bank?","Rajiv Anand took charge as MD & CEO in August 2025, having previously served as Deputy MD at Axis Bank; the current chairman was not found."
